                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  3738122992 |   879832467 |  4054955316 |   249999989 |  3935604712 |  3002035321 |   497820610 |   930261026
  Cycles                             |  4425806430 |  4425806431 |  4425806463 |  4425803531 |  4425807133 |  4425806612 |  4425808842 |  4425806758
  IPC                                |        0.84 |        0.20 |        0.92 |        0.06 |        0.89 |        0.68 |        0.11 |        0.21
  Time (ns)                          |  1475268810 |  1475268810 |  1475268821 |  1475267844 |  1475269044 |  1475268871 |  1475269614 |  1475268919
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   203537437 |   120941021 |    77037389 |    43244780 |   506315733 |    69255419 |   116610989 |   157089012
  num incorrect                      |   141213384 |    16621627 |    11698182 |    11689069 |   118376798 |     1235486 |    12941072 |    14495369
  misprediction rate                 |      40.96% |      12.08% |      13.18% |      21.28% |      18.95% |       1.75% |       9.99% |       8.45%
  mpki                               |       37.78 |       18.89 |        2.88 |       46.76 |       30.08 |        0.41 |       26.00 |       15.58
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   305466680 |   154144106 |   386582115 |    23761816 |   551966016 |   268263065 |    42092554 |   107985216
    num misses                       |          52 |         105 |         122 |           3 |         270 |           4 |       34787 |          42
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.07 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1103831660 |   409978817 |  2058331624 |    88558906 |  1539147463 |  1179230175 |   172527991 |   324227542
    num misses                       |       67170 |    15961290 |     4612227 |    21160239 |     2730187 |      630763 |     2657428 |     5584203
    miss rate                        |       0.01% |       3.89% |       0.22% |      23.89% |       0.18% |       0.05% |       1.54% |       1.72%
    mpki                             |        0.02 |       18.14 |        1.14 |       84.64 |        0.69 |        0.21 |        5.34 |        6.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |       67222 |    15961395 |     4612349 |    21160242 |     2730457 |      630767 |     2692215 |     5584245
    num misses                       |       60029 |     4780337 |       63613 |    10898458 |      437142 |      327632 |     2275518 |     1510065
    miss rate                        |      89.30% |      29.95% |       1.38% |      51.50% |      16.01% |      51.94% |      84.52% |      27.04%
    mpki                             |        0.02 |        5.43 |        0.02 |       43.59 |        0.11 |        0.11 |        4.57 |        1.62
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   305466680 |   154144106 |   386582115 |    23761816 |   551966016 |   268263065 |    42092554 |   107985216
    num cache misses                 |      349272 |     3346838 |      706119 |      189971 |    17207678 |      387326 |      805525 |      123444
    miss rate                        |       0.11% |       2.17% |       0.18% |       0.80% |       3.12% |       0.14% |       1.91% |       0.11%
    mpki                             |        0.09 |        3.80 |        0.17 |        0.76 |        4.37 |        0.13 |        1.62 |        0.13
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1103831660 |   409978817 |  2058331624 |    88558906 |  1539147463 |  1179230175 |   172527991 |   324227542
    num cache misses                 |     4651642 |    23368417 |    31919169 |    28756677 |    19122545 |    30607219 |    14840065 |    37952065
    miss rate                        |       0.42% |       5.70% |       1.55% |      32.47% |       1.24% |       2.60% |       8.60% |      11.71%
    mpki                             |        1.24 |       26.56 |        7.87 |      115.03 |        4.86 |       10.20 |       29.81 |       40.80
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     5377780 |    31218199 |    33164977 |    32640050 |    37461871 |    30997671 |    15684424 |    41775220
    num cache misses                 |     4951382 |    22953247 |    16995045 |    24335952 |    16684108 |    21479328 |    14988595 |    33582298
    miss rate                        |      92.07% |      73.53% |      51.24% |      74.56% |      44.54% |      69.29% |      95.56% |      80.39%
    mpki                             |        1.32 |       26.09 |        4.19 |       97.34 |        4.24 |        7.15 |       30.11 |       36.10
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     5330008 |    27462686 |    17535232 |    28055020 |    17820434 |    21488003 |    15028550 |    37283710
    num cache misses                 |     4919256 |    15270408 |     3434077 |    17175163 |     3245723 |    20611377 |    14338500 |    21663396
    miss rate                        |      92.29% |      55.60% |      19.58% |      61.22% |      18.21% |      95.92% |      95.41% |      58.10%
    mpki                             |        1.32 |       17.36 |        0.85 |       68.70 |        0.82 |        6.87 |       28.80 |       23.29
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |   131060351 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      176.66 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       66.65 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      88.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
