                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10      | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  1676794184 |  5407795849 |  1000244526 |  2831720944 |  4241895181 |  8778133375 |  2184203253 |  5243038011 |  6255258221 |  4885298405 |  13696966304 |  2035056853 |  1719754296 |   249999989 |  6527102182 |  3990791249
  Cycles                             |  9618665128 |  9618664942 |  9618665726 |  9618665102 |  9618665284 |  9618664921 |  9618666232 |  9618665113 |  9618665112 |  9618664955 |   9618665102 |  9618665208 |  9618664896 |  9618658591 |  9618665102 |  9618665001
  IPC                                |        0.17 |        0.56 |        0.10 |        0.29 |        0.44 |        0.91 |        0.23 |        0.55 |        0.65 |        0.51 |         1.42 |        0.21 |        0.18 |        0.03 |        0.68 |        0.41
  Time (ns)                          |  3206221709 |  3206221647 |  3206221909 |  3206221701 |  3206221761 |  3206221640 |  3206222077 |  3206221704 |  3206221704 |  3206221652 |   3206221701 |  3206221736 |  3206221632 |  3206219530 |  3206221701 |  3206221667
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |              |             |             |             |             |            
  num correct                        |    15207875 |   308843687 |   169378513 |   364651679 |     5527965 |   778394067 |   134810765 |   967605084 |   342087251 |    91180805 |   1487611413 |   310340246 |   136366774 |    43244780 |   997634065 |   176246635
  num incorrect                      |      101838 |    52240737 |    15657422 |    85183980 |       93680 |   129849204 |     4711579 |    66008652 |   235616237 |    13832847 |    226810489 |    66275524 |    11158829 |    11689069 |   255823000 |    10000220
  misprediction rate                 |       0.67% |      14.47% |       8.46% |      18.94% |       1.67% |      14.30% |       3.38% |       6.39% |      40.78% |      13.17% |       13.23% |      17.60% |       7.56% |      21.28% |      20.41% |       5.37%
  mpki                               |        0.06 |        9.66 |       15.65 |       30.08 |        0.02 |       14.79 |        2.16 |       12.59 |       37.67 |        2.83 |        16.56 |       32.57 |        6.49 |       46.76 |       39.19 |        2.51
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |              |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |              |             |             |             |             |            
    num accesses                     |   148196282 |   607770734 |   115847749 |   396979945 |   485886322 |   996761610 |   207566511 |   859725843 |   512849139 |   465151099 |   1613461316 |   280447114 |   144010234 |    23761816 |   849195073 |   380050444
    num misses                       |           3 |          56 |          42 |         223 |           6 |        2971 |          22 |          39 |          52 |         134 |           10 |         406 |          42 |           3 |          19 |           8
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |         0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |              |             |             |             |             |            
    num accesses                     |   456531577 |  2539548489 |   346366288 |  1106250142 |  3173166419 |  3670102444 |   726548826 |  1708694830 |  1849424579 |  2480821882 |   6150017785 |   789397664 |   473400958 |    88558906 |  2197103537 |  1213171581
    num misses                       |      815153 |     1637346 |     5847600 |     1971014 |   114389972 |     1929432 |     5837714 |          23 |      112755 |     5552505 |     61736951 |     4197963 |     2317866 |    21159833 |     9732399 |      387343
    miss rate                        |       0.18% |       0.06% |       1.69% |       0.18% |       3.60% |       0.05% |       0.80% |       0.00% |       0.01% |       0.22% |        1.00% |       0.53% |       0.49% |      23.89% |       0.44% |       0.03%
    mpki                             |        0.49 |        0.30 |        5.85 |        0.70 |       26.97 |        0.22 |        2.67 |        0.00 |        0.02 |        1.14 |         4.51 |        2.06 |        1.35 |       84.64 |        1.49 |        0.10
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |              |             |             |             |             |            
    num accesses                     |      815156 |     1637402 |     5847642 |     1971237 |   114389978 |     1932403 |     5837736 |          62 |      112807 |     5552639 |     61736961 |     4198369 |     2317908 |    21159836 |     9732418 |      387351
    num misses                       |      814539 |      258503 |     1589798 |      315228 |    81545343 |       61021 |      561497 |          62 |      100765 |       75858 |      5447159 |      408485 |      720628 |    10898644 |     2037423 |        9737
    miss rate                        |      99.92% |      15.79% |      27.19% |      15.99% |      71.29% |       3.16% |       9.62% |     100.00% |      89.33% |       1.37% |        8.82% |       9.73% |      31.09% |      51.51% |      20.93% |       2.51%
    mpki                             |        0.49 |        0.05 |        1.59 |        0.11 |       19.22 |        0.01 |        0.26 |        0.00 |        0.02 |        0.02 |         0.40 |        0.20 |        0.42 |       43.59 |        0.31 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |              |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |              |             |             |             |             |            
    num cache accesses               |   148196282 |   607770734 |   115847749 |   396979945 |   485886322 |   996761610 |   207566511 |   859725843 |   512849139 |   465151099 |   1613461316 |   280447114 |   144010234 |    23761816 |   849195073 |   380050444
    num cache misses                 |     1154717 |     2413831 |      142221 |    13324458 |     2132810 |    14273800 |     1405808 |    13631656 |      399062 |      938104 |      1166455 |    18281409 |      324929 |      194613 |     5111282 |      458054
