                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7       | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15     
  Instructions                       |  1547605174 |  6685171071 |   969124348 |  5486381580 |  3880377046 |  9386401903 |  2027353799 |  15403120724 |  5990732714 |  4848273880 |  5444730430 |  3217068364 |  1217674465 |   249999989 |  6499871058 |  10800844449
  Cycles                             |  8408718979 |  8408716552 |  8408716932 |  8408716817 |  8408717549 |  8408717465 |  8408717331 |   8408718322 |  8408717611 |  8408716672 |  8408717694 |  8408717911 |  8408716841 |  8408701590 |  8408716703 |   8408716599
  IPC                                |        0.18 |        0.80 |        0.12 |        0.65 |        0.46 |        1.12 |        0.24 |         1.83 |        0.71 |        0.58 |        0.65 |        0.38 |        0.14 |        0.03 |        0.77 |         1.28
  Time (ns)                          |  2802906326 |  2802905517 |  2802905644 |  2802905606 |  2802905850 |  2802905822 |  2802905777 |   2802906107 |  2802905870 |  2802905557 |  2802905898 |  2802905970 |  2802905614 |  2802900530 |  2802905568 |   2802905533
Branch predictor stats               |             |             |             |             |             |             |             |              |             |             |             |             |             |             |             |             
  num correct                        |    14052193 |   381306945 |   164017311 |   706863704 |     5049799 |   832255062 |   125604541 |   2842653149 |   327001315 |    91100895 |   592422162 |   489519077 |    96549774 |    43244780 |   993761019 |    476610834
  num incorrect                      |       94136 |    64526555 |    15148534 |   164807075 |       85578 |   138945385 |     4266482 |    193922087 |   225942640 |    13827275 |    90276160 |   105361585 |     7904150 |    11689069 |   254617536 |     27060903
  misprediction rate                 |       0.67% |      14.47% |       8.46% |      18.91% |       1.67% |      14.31% |       3.29% |        6.39% |      40.86% |      13.18% |      13.22% |      17.71% |       7.57% |      21.28% |      20.40% |        5.37%
  mpki                               |        0.06 |        9.65 |       15.63 |       30.04 |        0.02 |       14.80 |        2.10 |        12.59 |       37.72 |        2.85 |       16.58 |       32.75 |        6.49 |       46.76 |       39.17 |         2.51
TLB Summary                          |             |             |             |             |             |             |             |              |             |             |             |             |             |             |             |             
  I-TLB                              |             |             |             |             |             |             |             |              |             |             |             |             |             |             |             |             
    num accesses                     |   136779470 |   750910526 |   112433532 |   769394751 |   444496714 |  1066024835 |   192498322 |   2525724960 |   490423566 |   461768389 |   641055255 |   444396965 |   101979613 |    23761816 |   845589078 |   1028823488
    num misses                       |           3 |          56 |          42 |         337 |           6 |        3178 |          22 |           39 |          52 |         134 |          10 |         584 |          42 |           3 |          19 |            8
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |         0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |         0.00
  D-TLB                              |             |             |             |             |             |             |             |              |             |             |             |             |             |             |             |             
    num accesses                     |   421578139 |  3140528815 |   336223147 |  2142550307 |  2902661299 |  3924968874 |   671204934 |   5019849777 |  1770215754 |  2459894611 |  2441178325 |  1248061671 |   335109556 |    88558906 |  2188103771 |   3284867126
    num misses                       |      753704 |     2026044 |     5732536 |     3855972 |   104635018 |     2072215 |     5397159 |           23 |      107857 |     5513207 |    24665380 |     6630504 |     1643455 |    21159742 |     9685965 |      1051878
    miss rate                        |       0.18% |       0.06% |       1.70% |       0.18% |       3.60% |       0.05% |       0.80% |        0.00% |       0.01% |       0.22% |       1.01% |       0.53% |       0.49% |      23.89% |       0.44% |        0.03%
    mpki                             |        0.49 |        0.30 |        5.92 |        0.70 |       26.97 |        0.22 |        2.66 |         0.00 |        0.02 |        1.14 |        4.53 |        2.06 |        1.35 |       84.64 |        1.49 |         0.10
  L2 TLB                             |             |             |             |             |             |             |             |              |             |             |             |             |             |             |             |             
    num accesses                     |      753707 |     2026100 |     5732578 |     3856309 |   104635024 |     2075393 |     5397181 |           62 |      107909 |     5513341 |    24665390 |     6631088 |     1643497 |    21159745 |     9685984 |      1051886
    num misses                       |      753139 |      319452 |     1553184 |      612446 |    74723602 |       65316 |      529470 |           62 |       96349 |       75685 |     2178217 |      637824 |      511154 |    10898377 |     2028469 |        26026
    miss rate                        |      99.92% |      15.77% |      27.09% |      15.88% |      71.41% |       3.15% |       9.81% |      100.00% |      89.29% |       1.37% |       8.83% |       9.62% |      31.10% |      51.51% |      20.94% |        2.47%
