                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  2122707486 |  1069371713 |  2173210531 |  1147204450 |  3793297656 |   486373288 |  6055272909 |  3426830739 |  8272768431 |   455109569 |   689967840 |  3890963696 |   249999981 |  1723013850 |  1861744591 |  7341857330
  Cycles                             |  4490829408 |  4490828807 |  4490829460 |  4490828812 |  4490828700 |  4490829401 |  4490828731 |  4490828700 |  4490828700 |  4490829118 |  4490829407 |  4490829811 |  4490824406 |  4490829877 |  4490828700 |  4490830373
  IPC                                |        0.47 |        0.24 |        0.48 |        0.26 |        0.84 |        0.11 |        1.35 |        0.76 |        1.84 |        0.10 |        0.15 |        0.87 |        0.06 |        0.38 |        0.41 |        1.63
  Time (ns)                          |  1496943136 |  1496942936 |  1496943153 |  1496942937 |  1496942900 |  1496943134 |  1496942910 |  1496942900 |  1496942900 |  1496943039 |  1496943136 |  1496943270 |  1496941469 |  1496943292 |  1496942900 |  1496943458
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   129019365 |    35153866 |     2825627 |    70619048 |   215569800 |    66864689 |   266971267 |    63603929 |  1526743911 |    75546689 |    54749005 |   179177304 |    58565837 |    39616408 |   283302848 |   489154347
  num incorrect                      |    77637413 |    16551209 |       47886 |     2548719 |    36484913 |     9183798 |    15162554 |     9615057 |   104152977 |     4599437 |     4497714 |     1489792 |     6500447 |      706281 |    60948792 |    83976865
  misprediction rate                 |      37.57% |      32.01% |       1.67% |       3.48% |      14.47% |      12.08% |       5.37% |      13.13% |       6.39% |       5.74% |       7.59% |       0.82% |       9.99% |       1.75% |      17.70% |      14.65%
  mpki                               |       36.57 |       15.48 |        0.02 |        2.22 |        9.62 |       18.88 |        2.50 |        2.81 |       12.59 |       10.11 |        6.52 |        0.38 |       26.00 |        0.41 |       32.74 |       11.44
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   253330278 |    83518359 |   248948287 |   109115173 |   425421658 |    85188503 |   576981650 |   326234619 |  1356527295 |    76795261 |    57551361 |   297675573 |    21135842 |   154110065 |   256894365 |   890832974
    num misses                       |          10 |           3 |           6 |          22 |          56 |          92 |           8 |         110 |          39 |           4 |          42 |          43 |       17441 |           4 |         369 |          18
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.07 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   976146820 |   468365525 |  1625614439 |   381965075 |  1784168812 |   226662793 |  1842487299 |  1742039174 |  2696084869 |   137678773 |   190087145 |  2238981457 |    86633855 |   677396797 |   722532068 |  3095801110
    num misses                       |     6698082 |      483215 |    58572945 |     3048753 |     1151372 |     8829352 |      587204 |     3898179 |          23 |      164906 |      941008 |      301409 |     1331682 |      360107 |     3837365 |    22005539
    miss rate                        |       0.69% |       0.10% |       3.60% |       0.80% |       0.06% |       3.90% |       0.03% |       0.22% |       0.00% |       0.12% |       0.50% |       0.01% |       1.54% |       0.05% |       0.53% |       0.71%
    mpki                             |        3.16 |        0.45 |       26.95 |        2.66 |        0.30 |       18.15 |        0.10 |        1.14 |        0.00 |        0.36 |        1.36 |        0.08 |        5.33 |        0.21 |        2.06 |        3.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |     6698092 |      483218 |    58572951 |     3048775 |     1151428 |     8829444 |      587212 |     3898289 |          62 |      164910 |      941050 |      301452 |     1349123 |      360111 |     3837734 |    22005557
    num misses                       |     5323975 |      327536 |    41845452 |      288968 |      181582 |     2638360 |       14665 |       52826 |          62 |      164910 |      294294 |       87325 |     1140470 |      188461 |      363399 |      168023
    miss rate                        |      79.48% |      67.78% |      71.44% |       9.48% |      15.77% |      29.88% |       2.50% |       1.36% |     100.00% |     100.00% |      31.27% |      28.97% |      84.53% |      52.33% |       9.47% |       0.76%
    mpki                             |        2.51 |        0.31 |       19.26 |        0.25 |        0.05 |        5.42 |        0.00 |        0.02 |        0.00 |        0.36 |        0.43 |        0.02 |        4.56 |        0.11 |        0.20 |        0.02
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   253330278 |    83518359 |   248948287 |   109115173 |   425421658 |    85188503 |   576981650 |   326234619 |  1356527295 |    76795261 |    57551361 |   297675573 |    21135842 |   154110065 |   256894365 |   890832974
    num cache misses                 |      140146 |      121104 |     1049785 |      709148 |     1242522 |     1850455 |       98780 |      590703 |    12795468 |       12639 |      110987 |      268213 |      404196 |      220137 |    14988050 |     7713144
    miss rate                        |       0.06% |       0.15% |       0.42% |       0.65% |       0.29% |       2.17% |       0.02% |       0.18% |       0.94% |       0.02% |       0.19% |       0.09% |       1.91% |       0.14% |       5.83% |       0.87%
    mpki                             |        0.07 |        0.11 |        0.48 |        0.62 |        0.33 |        3.80 |        0.02 |        0.17 |        1.55 |        0.03 |        0.16 |        0.07 |        1.62 |        0.13 |        8.05 |        1.05
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   976146820 |   468365525 |  1625614439 |   381965075 |  1784168812 |   226662793 |  1842487299 |  1742039174 |  2696084869 |   137678773 |   190087145 |  2238981457 |    86633855 |   677396797 |   722532068 |  3095801110
    num cache misses                 |    15087675 |    23714322 |    17879828 |    21735396 |    10948235 |    12925016 |    48871986 |    26776156 |      102983 |    10556829 |    10226286 |    21053578 |     7454717 |    17515526 |    16559568 |    14602703
    miss rate                        |       1.55% |       5.06% |       1.10% |       5.69% |       0.61% |       5.70% |       2.65% |       1.54% |       0.00% |       7.67% |       5.38% |       0.94% |       8.60% |       2.59% |       2.29% |       0.47%
    mpki                             |        7.11 |       22.18 |        8.23 |       18.95 |        2.89 |       26.57 |        8.07 |        7.81 |        0.01 |       23.20 |       14.82 |        5.41 |       29.82 |       10.17 |        8.89 |        1.99
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    16423910 |    25425128 |    18930459 |    24015547 |    12203743 |    17257248 |    49147858 |    27707835 |    12912110 |    13988965 |    10426492 |    21347829 |     7878984 |    17737465 |    32256387 |    22409039
    num cache misses                 |    14183021 |    21215437 |    13238819 |    10512631 |     8593771 |    12692206 |     1607719 |    14267907 |      290552 |    10569468 |     9561353 |    14739050 |     7531624 |    12341819 |    16111162 |     2251400
    miss rate                        |      86.36% |      83.44% |      69.93% |      43.77% |      70.42% |      73.55% |       3.27% |      51.49% |       2.25% |      75.56% |      91.70% |      69.04% |      95.59% |      69.58% |      49.95% |      10.05%
    mpki                             |        6.68 |       19.84 |        6.09 |        9.16 |        2.27 |       26.10 |        0.27 |        4.16 |        0.04 |       23.22 |       13.86 |        3.79 |       30.13 |        7.16 |        8.65 |        0.31
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    15552504 |    22805139 |    13239970 |    12088068 |     8607996 |    15177436 |     1790186 |    14609215 |      304211 |    13988965 |     9650793 |    14766150 |     7552259 |    12346026 |    16820787 |     2346432
    num cache misses                 |     3861856 |    20959031 |    11321604 |     6034437 |     4957371 |     8431269 |     1032405 |     2468652 |      286353 |    10550441 |     8339689 |     7524351 |     7242057 |    11848913 |     4082778 |      566048
    miss rate                        |      24.83% |      91.90% |      85.51% |      49.92% |      57.59% |      55.55% |      57.67% |      16.90% |      94.13% |      75.42% |      86.41% |      50.96% |      95.89% |      95.97% |      24.27% |      24.12%
    mpki                             |        1.82 |       19.60 |        5.21 |        5.26 |        1.31 |       17.33 |        0.17 |        0.72 |        0.03 |       23.18 |       12.09 |        1.93 |       28.97 |        6.88 |        2.19 |        0.08
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |   143127807 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      347.56 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      237.55 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      95.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
