                                     | Core 0    
  Instructions                       |  249999969
  Cycles                             |  220496896
  IPC                                |       1.13
  Time (ns)                          |   73498966
Branch predictor stats               |           
  num correct                        |   32217105
  num incorrect                      |    7507996
  misprediction rate                 |     18.90%
  mpki                               |      30.03
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   35058549
    num misses                       |        106
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   97606891
    num misses                       |     176155
    miss rate                        |      0.18%
    mpki                             |       0.70
  L2 TLB                             |           
    num accesses                     |     176261
    num misses                       |      28106
    miss rate                        |     15.95%
    mpki                             |       0.11
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   35058549
    num cache misses                 |    1015998
    miss rate                        |      2.90%
    mpki                             |       4.06
  Cache L1-D                         |           
    num cache accesses               |   97606891
    num cache misses                 |    1201280
    miss rate                        |      1.23%
    mpki                             |       4.81
  Cache L2                           |           
    num cache accesses               |    2250067
    num cache misses                 |     583338
    miss rate                        |     25.93%
    mpki                             |       2.33
  Cache L3                           |           
    num cache accesses               |     616428
    num cache misses                 |      58018
    miss rate                        |      9.41%
    mpki                             |       0.23
DRAM summary                         |           
  num dram accesses                  |      58462
  average dram access latency (ns)   |     110.34
  average dram queueing delay        |       0.33
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
