                                   | Core 0    
  Instructions                     |   99999886
  Cycles                           |   65049410
  IPC                              |       1.54
  Time (ns)                        |   21683137
Branch predictor stats             |           
  num correct                      |    5251304
  num incorrect                    |     927634
  misprediction rate               |     15.01%
  mpki                             |       9.28
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   11061074
    num misses                     |         56
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   47995299
    num misses                     |      48665
    miss rate                      |      0.10%
    mpki                           |       0.49
  L2 TLB                           |           
    num accesses                   |      48721
    num misses                     |       5761
    miss rate                      |     11.82%
    mpki                           |       0.06
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   11061074
    num cache misses               |      30672
    miss rate                      |      0.28%
    mpki                           |       0.31
  Cache L1-D                       |           
    num cache accesses             |   47995299
    num cache misses               |     282442
    miss rate                      |      0.59%
    mpki                           |       2.82
  Cache L2                         |           
    num cache accesses             |     313541
    num cache misses               |     226970
    miss rate                      |     72.39%
    mpki                           |       2.27
  Cache L3                         |           
    num cache accesses             |     227462
    num cache misses               |     151665
    miss rate                      |     66.68%
    mpki                           |       1.52
DRAM summary                       |           
  num dram accesses                |     214759
  average dram access latency (ns) |      55.77
  average dram queueing delay      |       0.76
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
