                                   | Core 0    
  Instructions                     |   99999890
  Cycles                           |  149528840
  IPC                              |       0.67
  Time (ns)                        |   49842947
Branch predictor stats             |           
  num correct                      |    4412429
  num incorrect                    |      77840
  misprediction rate               |      1.73%
  mpki                             |       0.78
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    8826080
    num misses                     |         57
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   38104616
    num misses                     |      39053
    miss rate                      |      0.10%
    mpki                           |       0.39
  L2 TLB                           |           
    num accesses                   |      39110
    num misses                     |      30502
    miss rate                      |     77.99%
    mpki                           |       0.31
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    8826080
    num cache misses               |      89971
    miss rate                      |      1.02%
    mpki                           |       0.90
  Cache L1-D                       |           
    num cache accesses             |   38104616
    num cache misses               |    2607103
    miss rate                      |      6.84%
    mpki                           |      26.07
  Cache L2                         |           
    num cache accesses             |    2869263
    num cache misses               |    2519960
    miss rate                      |     87.83%
    mpki                           |      25.20
  Cache L3                         |           
    num cache accesses             |    2693692
    num cache misses               |    2495334
    miss rate                      |     92.64%
    mpki                           |      24.95
DRAM summary                       |           
  num dram accesses                |    4974284
  average dram access latency (ns) |      53.27
  average dram queueing delay      |       3.27
Coherency Traffic                  |           
  num loads from dram              |    1985230
  num loads from dram cache        |          0
  num loads from remote cache      |          0
