                                     | Core 0     | Core 1      | Core 2     | Core 3     | Core 4      | Core 5      | Core 6     | Core 7    
  Instructions                       |  539471582 |  1523870680 |  249999898 |  846262184 |  1250888828 |  1269397479 |  426434890 |  259162499
  Cycles                             |  880618212 |   880618214 |  880614849 |  880618200 |   880618204 |   880618475 |  880618340 |  880618279
  IPC                                |       0.61 |        1.73 |       0.28 |       0.96 |        1.42 |        1.44 |       0.48 |       0.29
  Time (ns)                          |  293539404 |   293539405 |  293538283 |  293539400 |   293539401 |   293539492 |  293539447 |  293539426
Branch predictor stats               |            |             |            |            |             |             |            |           
  num correct                        |   81979542 |   101309025 |    4856955 |   17319530 |   110802178 |    58452632 |   22788962 |   20524597
  num incorrect                      |   17697030 |    17427632 |    6669357 |    2560911 |    18478235 |      486081 |     533178 |    1677623
  misprediction rate                 |     17.75% |      14.68% |     57.86% |     12.88% |      14.29% |       0.82% |      2.29% |      7.56%
  mpki                               |      32.80 |       11.44 |      26.68 |       3.03 |       14.77 |        0.38 |       1.25 |       6.47
TLB Summary                          |            |             |            |            |             |             |            |           
  I-TLB                              |            |             |            |            |             |             |            |           
    num accesses                     |   74597358 |   184857974 |   27532058 |   81023531 |   142053697 |    97111949 |   43052406 |   21756234
    num misses                       |        178 |          18 |         14 |         70 |         510 |          43 |         47 |         42
    miss rate                        |      0.00% |       0.00% |      0.00% |      0.00% |       0.00% |       0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |        0.00 |       0.00 |       0.00 |        0.00 |        0.00 |       0.00 |       0.00
  D-TLB                              |            |             |            |            |             |             |            |           
    num accesses                     |  209555549 |   642406651 |   93614435 |  426058118 |   523110892 |   730452972 |  150727433 |   71432972
    num misses                       |    1120516 |     4553950 |     661938 |    1014057 |      275404 |       98226 |     229137 |     346102
    miss rate                        |      0.53% |       0.71% |      0.71% |      0.24% |       0.05% |       0.01% |      0.15% |      0.48%
    mpki                             |       2.08 |        2.99 |       2.65 |       1.20 |        0.22 |        0.08 |       0.54 |       1.34
  L2 TLB                             |            |             |            |            |             |             |            |           
    num accesses                     |    1120694 |     4553968 |     661952 |    1014127 |      275914 |       98269 |     229184 |     346144
    num misses                       |     104727 |       35019 |     661946 |      13981 |        8940 |       28646 |      73071 |     107731
    miss rate                        |      9.34% |       0.77% |    100.00% |      1.38% |       3.24% |      29.15% |     31.88% |     31.12%
    mpki                             |       0.19 |        0.02 |       2.65 |       0.02 |        0.01 |        0.02 |       0.17 |       0.42
Cache Summary                        |            |             |            |            |             |             |            |           
  Cache L1-I                         |            |             |            |            |             |             |            |           
    num cache accesses               |   74597358 |   184857974 |   27532058 |   81023531 |   142053697 |    97111949 |   43052406 |   21756234
    num cache misses                 |    4366872 |     1597968 |      20917 |     152184 |     1950697 |       87457 |      43452 |      41693
    miss rate                        |      5.85% |       0.86% |      0.08% |      0.19% |       1.37% |       0.09% |      0.10% |      0.19%
    mpki                             |       8.09 |        1.05 |       0.08 |       0.18 |        1.56 |        0.07 |       0.10 |       0.16
  Cache L1-D                         |            |             |            |            |             |             |            |           
    num cache accesses               |  209555549 |   642406651 |   93614435 |  426058118 |   523110892 |   730452972 |  150727433 |   71432972
    num cache misses                 |    4749435 |     3030427 |    7313758 |    6829979 |     4869379 |     6868097 |    5326794 |    3803113
    miss rate                        |      2.27% |       0.47% |      7.81% |      1.60% |       0.93% |       0.94% |      3.53% |      5.32%
    mpki                             |       8.80 |        1.99 |      29.26 |       8.07 |        3.89 |        5.41 |      12.49 |      14.67
  Cache L2                           |            |             |            |            |             |             |            |           
    num cache accesses               |    9309407 |     4649443 |    8279513 |    7062185 |     6830097 |     6961858 |    6064005 |    3874952
    num cache misses                 |    4625388 |      479614 |    7334670 |    3532413 |     2717178 |     4807649 |    4375538 |    3562083
    miss rate                        |     49.69% |      10.32% |     88.59% |     50.02% |      39.78% |      69.06% |     72.16% |     91.93%
    mpki                             |       8.57 |        0.31 |      29.34 |       4.17 |        2.17 |        3.79 |      10.26 |      13.74
  Cache L3                           |            |             |            |            |             |             |            |           
    num cache accesses               |    4818767 |      501125 |    8279505 |    3612535 |     2727383 |     4814141 |    5080107 |    3592318
    num cache misses                 |    1126864 |      130215 |    7314406 |     572884 |      229305 |     1981148 |    3765246 |    3025655
    miss rate                        |     23.38% |      25.98% |     88.34% |     15.86% |       8.41% |      41.15% |     74.12% |     84.23%
    mpki                             |       2.09 |        0.09 |      29.26 |       0.68 |        0.18 |        1.56 |       8.83 |      11.67
DRAM summary                         |            |             |            |            |             |             |            |           
  num dram accesses                  |   25592330 |           0 |          0 |          0 |           0 |           0 |          0 |          0
  average dram access latency (ns)   |     175.33 |         inf |        inf |        inf |         inf |         inf |        inf |        inf
  average dram queueing delay        |      65.32 |        0.00 |       0.00 |       0.00 |        0.00 |        0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     87.00% |       0.00% |      0.00% |      0.00% |       0.00% |       0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |             |            |            |             |             |            |           
  num loads from dram                |          0 |           0 |          0 |          0 |           0 |           0 |          0 |          0
  num loads from dram cache          |          0 |           0 |          0 |          0 |           0 |           0 |          0 |          0
  num loads from remote cache        |          0 |           0 |          0 |          0 |           0 |           0 |          0 |          0
