                                   | Core 0    
  Instructions                     |   99999946
  Cycles                           |   82571327
  IPC                              |       1.21
  Time (ns)                        |   27523776
Branch predictor stats             |           
  num correct                      |    7935581
  num incorrect                    |     671619
  misprediction rate               |      7.80%
  mpki                             |       6.72
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   10577831
    num misses                     |         37
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   29343428
    num misses                     |      80286
    miss rate                      |      0.27%
    mpki                           |       0.80
  L2 TLB                           |           
    num accesses                   |      80323
    num misses                     |       3360
    miss rate                      |      4.18%
    mpki                           |       0.03
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   10577831
    num cache misses               |     199409
    miss rate                      |      1.89%
    mpki                           |       1.99
  Cache L1-D                       |           
    num cache accesses             |   29343428
    num cache misses               |     311992
    miss rate                      |      1.06%
    mpki                           |       3.12
  Cache L2                         |           
    num cache accesses             |     519815
    num cache misses               |     184891
    miss rate                      |     35.57%
    mpki                           |       1.85
  Cache L3                         |           
    num cache accesses             |     193424
    num cache misses               |     160154
    miss rate                      |     82.80%
    mpki                           |       1.60
DRAM summary                       |           
  num dram accesses                |     184349
  average dram access latency (ns) |      51.20
  average dram queueing delay      |       1.19
Coherency Traffic                  |           
  num loads from dram              |     109540
  num loads from dram cache        |          0
  num loads from remote cache      |          0
