                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  3079910199 |   808446212 |  6386603965 |  3394523705 |  4214374373 |   528552781 |  2472793698 |   249999989
  Cycles                             |  3438692805 |  3438693068 |  3438692925 |  3438692802 |  3438693103 |  3438693259 |  3438693169 |  3438690291
  IPC                                |        0.90 |        0.24 |        1.86 |        0.99 |        1.23 |        0.15 |        0.72 |        0.07
  Time (ns)                          |  1146230935 |  1146231023 |  1146230975 |  1146230934 |  1146231034 |  1146231086 |  1146231056 |  1146230097
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   470808694 |   111185082 |  1178651549 |   181456209 |   635608671 |   123854637 |   375859072 |    43244780
  num incorrect                      |   120735033 |    15243753 |    80406475 |   129442170 |    71419552 |    13749156 |    81141164 |    11689069
  misprediction rate                 |      20.41% |      12.06% |       6.39% |      41.63% |      10.10% |       9.99% |      17.76% |      21.28%
  mpki                               |       39.20 |       18.86 |       12.59 |       38.13 |       16.95 |       26.01 |       32.81 |       46.76
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   400742058 |   141644311 |  1047243818 |   275574866 |   674762640 |    44660819 |   341968102 |    23761816
    num misses                       |          19 |         100 |          39 |          52 |       24717 |       36558 |         471 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.07 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1036611778 |   376776795 |  2081386541 |   999455439 |  1697417429 |   183128060 |   959869953 |    88558906
    num misses                       |     4587599 |    14667034 |          23 |       58962 |     9494740 |     2809725 |     5102541 |    21159940
    miss rate                        |       0.44% |       3.89% |       0.00% |       0.01% |       0.56% |       1.53% |       0.53% |      23.89%
    mpki                             |        1.49 |       18.14 |        0.00 |        0.02 |        2.25 |        5.32 |        2.06 |       84.64
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     4587618 |    14667134 |          62 |       59014 |     9519457 |     2846283 |     5103012 |    21159943
    num misses                       |      960374 |     4403088 |          62 |       52576 |     1353901 |     2407679 |      496950 |    10898578
    miss rate                        |      20.93% |      30.02% |     100.00% |      89.09% |      14.22% |      84.59% |       9.74% |      51.51%
    mpki                             |        0.31 |        5.45 |        0.00 |        0.02 |        0.32 |        4.56 |        0.20 |       43.59
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   400742058 |   141644311 |  1047243818 |   275574866 |   674762640 |    44660819 |   341968102 |    23761816
    num cache misses                 |     2453265 |     3206058 |    10171236 |      111815 |    12852762 |      854903 |    19900791 |      196115
    miss rate                        |       0.61% |       2.26% |       0.97% |       0.04% |       1.90% |       1.91% |       5.82% |       0.83%
    mpki                             |        0.80 |        3.97 |        1.59 |        0.03 |        3.05 |        1.62 |        8.05 |        0.78
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1036611778 |   376776795 |  2081386541 |   999455439 |  1697417429 |   183128060 |   959869953 |    88558906
    num cache misses                 |     4608150 |    21645609 |      175287 |     3668111 |    15886090 |    15760738 |    21833592 |    28782910
    miss rate                        |       0.44% |       5.74% |       0.01% |       0.37% |       0.94% |       8.61% |       2.27% |      32.50%
    mpki                             |        1.50 |       26.77 |        0.03 |        1.08 |        3.77 |       29.82 |        8.83 |      115.13
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7990920 |    29527128 |    10377086 |     3948278 |    29111767 |    16654340 |    42639009 |    32573480
    num cache misses                 |     3629610 |    21380057 |      608080 |     3664910 |    15342105 |    15927497 |    21302165 |    24475128
    miss rate                        |      45.42% |      72.41% |       5.86% |      92.82% |      52.70% |      95.64% |      49.96% |      75.14%
    mpki                             |        1.18 |       26.45 |        0.10 |        1.08 |        3.64 |       30.13 |        8.61 |       97.90
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     4578594 |    26063492 |      638643 |     3836064 |    15716474 |    15967277 |    22207823 |    28094966
    num cache misses                 |     2137928 |    15755526 |      591934 |     3637993 |     3494034 |    14626977 |     4792797 |    17951698
    miss rate                        |      46.69% |      60.45% |      92.69% |      94.84% |      22.23% |      91.61% |      21.58% |      63.90%
    mpki                             |        0.69 |       19.49 |        0.09 |        1.07 |        0.83 |       27.67 |        1.94 |       71.81
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    79942892 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      127.36 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       17.35 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      69.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
