                                   | Core 0    
  Instructions                     |   99999944
  Cycles                           |  488740928
  IPC                              |       0.20
  Time (ns)                        |  162913643
Branch predictor stats             |           
  num correct                      |     129398
  num incorrect                    |       2196
  misprediction rate               |      1.67%
  mpki                             |       0.02
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   11457119
    num misses                     |          6
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   74796247
    num misses                     |    2949438
    miss rate                      |      3.94%
    mpki                           |      29.49
  L2 TLB                           |           
    num accesses                   |    2949444
    num misses                     |    1857945
    miss rate                      |     62.99%
    mpki                           |      18.58
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   11457119
    num cache misses               |    2189532
    miss rate                      |     19.11%
    mpki                           |      21.90
  Cache L1-D                       |           
    num cache accesses             |   74796247
    num cache misses               |    3436133
    miss rate                      |      4.59%
    mpki                           |      34.36
  Cache L2                         |           
    num cache accesses             |    6806227
    num cache misses               |    5458433
    miss rate                      |     80.20%
    mpki                           |      54.58
  Cache L3                         |           
    num cache accesses             |    6638995
    num cache misses               |    5441205
    miss rate                      |     81.96%
    mpki                           |      54.41
DRAM summary                       |           
  num dram accesses                |   10866026
  average dram access latency (ns) |      51.68
  average dram queueing delay      |       1.67
Coherency Traffic                  |           
  num loads from dram              |    2608502
  num loads from dram cache        |          0
  num loads from remote cache      |          0
