                                     | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7       | Core 8       | Core 9       | Core 10      | Core 11      | Core 12      | Core 13      | Core 14      | Core 15     
  Instructions                       |   1973291611 |  10781711157 |   7934573136 |   3118321226 |   4497025481 |    249999989 |  18032163482 |   7225537340 |    827834547 |   1263907518 |   7041493719 |    837892510 |   3563756739 |   1239824768 |   4079155816 |   2275741924
  Cycles                             |  10194043201 |  10194044215 |  10194043207 |  10194044011 |  10194043663 |  10194038662 |  10194043163 |  10194044393 |  10194043912 |  10194044432 |  10194043211 |  10194043344 |  10194043210 |  10194044275 |  10194044687 |  10194044396
  IPC                                |         0.19 |         1.06 |         0.78 |         0.31 |         0.44 |         0.02 |         1.77 |         0.71 |         0.08 |         0.12 |         0.69 |         0.08 |         0.35 |         0.12 |         0.40 |         0.22
  Time (ns)                          |   3398014401 |   3398014739 |   3398014403 |   3398014671 |   3398014555 |   3398012888 |   3398014388 |   3398014798 |   3398014638 |   3398014811 |   3398014404 |   3398014448 |   3398014404 |   3398014759 |   3398014896 |   3398014799
Branch predictor stats               |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  num correct                        |     65746491 |    496506026 |   1213248344 |     71273968 |    273402784 |     43244780 |   3327844344 |    132881888 |    134744749 |    100192847 |    762835024 |    115337711 |    543473705 |     23959766 |      5314005 |    141007145
  num incorrect                      |     30822907 |      4131747 |    310795943 |      1269206 |    164518839 |     11689069 |    227021319 |     20185864 |      8680275 |      8192168 |    116210622 |     15809233 |    116058174 |     32943214 |        90056 |      4795648
  misprediction rate                 |       31.92% |        0.83% |       20.39% |        1.75% |       37.57% |       21.28% |        6.39% |       13.19% |        6.05% |        7.56% |       13.22% |       12.05% |       17.60% |       57.89% |        1.67% |        3.29%
  mpki                               |        15.62 |         0.38 |        39.17 |         0.41 |        36.58 |        46.76 |        12.59 |         2.79 |        10.49 |         6.48 |        16.50 |        18.87 |        32.57 |        26.57 |         0.02 |         2.11
TLB Summary                          |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  I-TLB                              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |    155602028 |    824850398 |   1032240383 |    279348249 |    536837469 |     23761816 |   2956821935 |    687455660 |    137566588 |    105860784 |    829190771 |    146842014 |    491092894 |    136203424 |    467250833 |    216075307
    num misses                       |            3 |           43 |           19 |            4 |           10 |            3 |           39 |          170 |            4 |           42 |           10 |          101 |          634 |           14 |            6 |           22
    miss rate                        |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                             |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |    857012770 |   6204155935 |   2670915902 |   1227637491 |   2067315511 |     88558906 |   5876651090 |   3675233703 |    254021450 |    347949259 |   3164941040 |    390500584 |   1382319158 |    463669576 |   3051409871 |    753493113
    num misses                       |       884479 |       836461 |     11817899 |       645436 |     14231317 |     21159626 |           23 |      8140371 |       296974 |      1700546 |     31957360 |     15221878 |      7345886 |      3289209 |    110064498 |      6050109
    miss rate                        |        0.10% |        0.01% |        0.44% |        0.05% |        0.69% |       23.89% |        0.00% |        0.22% |        0.12% |        0.49% |        1.01% |        3.90% |        0.53% |        0.71% |        3.61% |        0.80%
    mpki                             |         0.45 |         0.08 |         1.49 |         0.21 |         3.16 |        84.64 |         0.00 |         1.13 |         0.36 |         1.35 |         4.54 |        18.17 |         2.06 |         2.65 |        26.98 |         2.66
  L2 TLB                             |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |       884482 |       836504 |     11817918 |       645440 |     14231327 |     21159629 |           62 |      8140541 |       296978 |      1700588 |     31957370 |     15221979 |      7346520 |      3289223 |    110064504 |      6050131
    num misses                       |       604322 |       239679 |      2475089 |       342250 |     11317044 |     10898391 |           62 |       110912 |       296978 |       528632 |      2824473 |      4572117 |       714729 |      3289185 |     78555970 |       594366
    miss rate                        |       68.32% |       28.65% |       20.94% |       53.03% |       79.52% |       51.51% |      100.00% |        1.36% |      100.00% |       31.09% |        8.84% |       30.04% |        9.73% |      100.00% |       71.37% |        9.82%
