                                   | Core 0    
  Instructions                     |   99999895
  Cycles                           |   99749416
  IPC                              |       1.00
  Time (ns)                        |   33249805
Branch predictor stats             |           
  num correct                      |    1021249
  num incorrect                    |     248524
  misprediction rate               |     19.57%
  mpki                             |       2.49
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    9191444
    num misses                     |         49
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   51375930
    num misses                     |      62539
    miss rate                      |      0.12%
    mpki                           |       0.63
  L2 TLB                           |           
    num accesses                   |      62588
    num misses                     |       1643
    miss rate                      |      2.63%
    mpki                           |       0.02
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    9191444
    num cache misses               |      19116
    miss rate                      |      0.21%
    mpki                           |       0.19
  Cache L1-D                       |           
    num cache accesses             |   51375930
    num cache misses               |     710341
    miss rate                      |      1.38%
    mpki                           |       7.10
  Cache L2                         |           
    num cache accesses             |     760051
    num cache misses               |     312583
    miss rate                      |     41.13%
    mpki                           |       3.13
  Cache L3                         |           
    num cache accesses             |     343277
    num cache misses               |     269396
    miss rate                      |     78.48%
    mpki                           |       2.69
DRAM summary                       |           
  num dram accesses                |     522408
  average dram access latency (ns) |      51.60
  average dram queueing delay      |       1.59
Coherency Traffic                  |           
  num loads from dram              |     194885
  num loads from dram cache        |          0
  num loads from remote cache      |          0
