                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |   249999973 |   856568056 |  1390209782 |  1695505322 |   966895423 |   754198045 |  1206951431 |  1875176332
  Cycles                             |  1126160176 |  1126162964 |  1126162837 |  1126162835 |  1126162800 |  1126162953 |  1126163230 |  1126162841
  IPC                                |        0.22 |        0.76 |        1.23 |        1.51 |        0.86 |        0.67 |        1.07 |        1.67
  Time (ns)                          |   375386726 |   375387655 |   375387613 |   375387612 |   375387600 |   375387651 |   375387744 |   375387614
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    40600608 |    19248219 |    79927194 |    74406001 |     1253479 |    45850698 |   182057452 |   248821190
  num incorrect                      |     2521753 |      341120 |    13526772 |     4236292 |       21244 |    27590853 |    20435068 |    25232667
  misprediction rate                 |       5.85% |       1.74% |      14.47% |       5.39% |       1.67% |      37.57% |      10.09% |       9.21%
  mpki                               |       10.09 |        0.40 |        9.73 |        2.50 |        0.02 |       36.58 |       16.93 |       13.46
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    41868591 |    77277403 |   156743138 |   161812831 |   110771650 |    90029790 |   193198627 |   282249569
    num misses                       |           4 |           4 |          56 |           8 |           6 |          10 |        7273 |        1293
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    75636447 |   338096248 |   651674394 |   517242167 |   723224700 |   346726901 |   485929484 |   734351026
    num misses                       |       88470 |      170710 |      419443 |      164447 |    25999271 |     2386902 |     2714325 |      234305
    miss rate                        |       0.12% |       0.05% |       0.06% |       0.03% |       3.59% |       0.69% |       0.56% |       0.03%
    mpki                             |        0.35 |        0.20 |        0.30 |        0.10 |       26.89 |        3.16 |        2.25 |        0.12
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |       88474 |      170714 |      419499 |      164455 |    25999277 |     2386912 |     2721598 |      235598
    num misses                       |       88474 |       94920 |       66084 |        4205 |    18606251 |     1897967 |      389807 |        6942
    miss rate                        |     100.00% |      55.60% |      15.75% |       2.56% |      71.56% |      79.52% |      14.32% |       2.95%
    mpki                             |        0.35 |        0.11 |        0.05 |        0.00 |       19.24 |        2.52 |        0.32 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |    41868591 |    77277403 |   156743138 |   161812831 |   110771650 |    90029790 |   193198627 |   282249569
    num cache misses                 |        7090 |       99869 |      453767 |       31502 |      467512 |       49220 |     3694340 |     5840051
    miss rate                        |       0.02% |       0.13% |       0.29% |       0.02% |       0.42% |       0.05% |       1.91% |       2.07%
    mpki                             |        0.03 |        0.12 |        0.33 |        0.02 |        0.48 |        0.07 |        3.06 |        3.11
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |    75636447 |   338096248 |   651674394 |   517242167 |   723224700 |   346726901 |   485929484 |   734351026
    num cache misses                 |     5663703 |     8460569 |     3990839 |    13781976 |     7945536 |     5353175 |     4558780 |     9557724
    miss rate                        |       7.49% |       2.50% |       0.61% |       2.66% |       1.10% |       1.54% |       0.94% |       1.30%
    mpki                             |       22.65 |        9.88 |        2.87 |        8.13 |        8.22 |        7.10 |        3.78 |        5.10
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7690468 |     8561034 |     4449851 |    13873961 |     8413420 |     5846230 |     8407190 |    15468458
    num cache misses                 |     5670793 |     6179516 |     3133709 |      508792 |     5881658 |     5029341 |     4424999 |      935154
    miss rate                        |      73.74% |      72.18% |      70.42% |       3.67% |      69.91% |      86.03% |      52.63% |       6.05%
    mpki                             |       22.68 |        7.21 |        2.25 |        0.30 |        6.08 |        6.67 |        3.67 |        0.50
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7690468 |     6181048 |     3139433 |      571497 |     5882144 |     5538186 |     4579702 |     1006067
    num cache misses                 |     5660136 |     5954254 |     1826928 |      355927 |     5013917 |     1454724 |     1369390 |      502631
    miss rate                        |      73.60% |      96.33% |      58.19% |      62.28% |      85.24% |      26.27% |      29.90% |      49.96%
    mpki                             |       22.64 |        6.95 |        1.31 |        0.21 |        5.19 |        1.93 |        1.13 |        0.27
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    29627865 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      152.88 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       42.87 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      79.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
