                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  1078143939 |  1076230903 |  2129864430 |  1127182891 |  3195552498 |   442733592 |  4987454876 |  1943154845 |  7136403597 |   458693707 |  8398429871 |  3456549731 |   249999981 |  1716677556 |  1718080729 |  5564609536
  Cycles                             |  4438188810 |  4438187913 |  4438187731 |  4438188669 |  4438187574 |  4438187686 |  4438187610 |  4438187702 |  4438188912 |  4438188647 |  4438188649 |  4438187529 |  4438182733 |  4438188069 |  4438188618 |  4438188251
  IPC                                |        0.24 |        0.24 |        0.48 |        0.25 |        0.72 |        0.10 |        1.12 |        0.44 |        1.61 |        0.10 |        1.89 |        0.78 |        0.06 |        0.39 |        0.39 |        1.25
  Time (ns)                          |  1479396270 |  1479395971 |  1479395911 |  1479396223 |  1479395858 |  1479395896 |  1479395870 |  1479395901 |  1479396304 |  1479396216 |  1479396217 |  1479395843 |  1479394245 |  1479396023 |  1479396206 |  1479396084
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    65518547 |    35261826 |     2769361 |    69463535 |   182585700 |    60867712 |   220283559 |    35972709 |  1317027389 |    76139850 |   665789756 |   159170466 |    58565837 |    39437953 |   260699907 |   370576963
  num incorrect                      |    39426332 |    16616155 |       46932 |     2406178 |    30931506 |     8380383 |    12498422 |     5393267 |    89846259 |     4648921 |    54461237 |     1323310 |     6500447 |      702988 |    56649901 |    63646347
  misprediction rate                 |      37.57% |      32.03% |       1.67% |       3.35% |      14.49% |      12.10% |       5.37% |      13.04% |       6.39% |       5.75% |       7.56% |       0.82% |       9.99% |       1.75% |      17.85% |      14.66%
  mpki                               |       36.57 |       15.44 |        0.02 |        2.13 |        9.68 |       18.93 |        2.51 |        2.78 |       12.59 |       10.14 |        6.48 |        0.38 |       26.00 |        0.41 |       32.97 |       11.44
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   128649085 |    84031509 |   243982583 |   107205974 |   359216072 |    77543167 |   474964241 |   185015172 |  1170192006 |    77437905 |   703085810 |   264437253 |    21135842 |   153577610 |   238085551 |   675155142
    num misses                       |          10 |           3 |           6 |          22 |          56 |          92 |           8 |          86 |          39 |           4 |          42 |          43 |       17441 |           4 |         356 |          18
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.07 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   495961710 |   472033734 |  1593191404 |   374386788 |  1500206756 |   206312961 |  1516070600 |   989007095 |  2325744582 |   138667482 |  2311455001 |  1989019365 |    86633855 |   675037222 |   666822589 |  2346295574
    num misses                       |     3396441 |      486113 |    57436054 |     3041053 |      967773 |     8021898 |      486178 |     2220131 |          23 |      166161 |    11302175 |      267750 |     1331674 |      358247 |     3547050 |    16675906
    miss rate                        |       0.68% |       0.10% |       3.61% |       0.81% |       0.06% |       3.89% |       0.03% |       0.22% |       0.00% |       0.12% |       0.49% |       0.01% |       1.54% |       0.05% |       0.53% |       0.71%
    mpki                             |        3.15 |        0.45 |       26.97 |        2.70 |        0.30 |       18.12 |        0.10 |        1.14 |        0.00 |        0.36 |        1.35 |        0.08 |        5.33 |        0.21 |        2.06 |        3.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |     3396451 |      486116 |    57436060 |     3041075 |      967829 |     8021990 |      486186 |     2220217 |          62 |      166165 |    11302217 |      267793 |     1349115 |      358251 |     3547406 |    16675924
    num misses                       |     2699914 |      329595 |    41028305 |      286370 |      152573 |     2394591 |       12144 |       29731 |          62 |      166165 |     3516303 |       77305 |     1140469 |      187888 |      336762 |      127501
    miss rate                        |      79.49% |      67.80% |      71.43% |       9.42% |      15.76% |      29.85% |       2.50% |       1.34% |     100.00% |     100.00% |      31.11% |      28.87% |      84.53% |      52.45% |       9.49% |       0.76%
    mpki                             |        2.50 |        0.31 |       19.26 |        0.25 |        0.05 |        5.41 |        0.00 |        0.02 |        0.00 |        0.36 |        0.42 |        0.02 |        4.56 |        0.11 |        0.20 |        0.02
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   128649085 |    84031509 |   243982583 |   107205974 |   359216072 |    77543167 |   474964241 |   185015172 |  1170192006 |    77437905 |   703085810 |   264437253 |    21135842 |   153577610 |   238085551 |   675155142
    num cache misses                 |       50252 |       61896 |      509530 |      348616 |      850216 |     1240105 |       75035 |      141603 |    11459645 |        6952 |      938481 |      179370 |      367779 |      108514 |    13752866 |     6025988
    miss rate                        |       0.04% |       0.07% |       0.21% |       0.33% |       0.24% |       1.60% |       0.02% |       0.08% |       0.98% |       0.01% |       0.13% |       0.07% |       1.74% |       0.07% |       5.78% |       0.89%
    mpki                             |        0.05 |        0.06 |        0.24 |        0.31 |        0.27 |        2.80 |        0.02 |        0.07 |        1.61 |        0.02 |        0.11 |        0.05 |        1.47 |        0.06 |        8.00 |        1.08
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   495961710 |   472033734 |  1593191404 |   374386788 |  1500206756 |   206312961 |  1516070600 |   989007095 |  2325744582 |   138667482 |  2311455001 |  1989019365 |    86633855 |   675037222 |   666822589 |  2346295574
    num cache misses                 |     7763427 |    23838153 |    17437829 |    21548205 |     9128256 |    11579259 |    40433771 |    15326101 |      225282 |    10634164 |   123322689 |    18153929 |     7426788 |    17423328 |    14366707 |    11392729
    miss rate                        |       1.57% |       5.05% |       1.09% |       5.76% |       0.61% |       5.61% |       2.67% |       1.55% |       0.01% |       7.67% |       5.34% |       0.91% |       8.57% |       2.58% |       2.15% |       0.49%
    mpki                             |        7.20 |       22.15 |        8.19 |       19.12 |        2.86 |       26.15 |        8.11 |        7.89 |        0.03 |       23.18 |       14.68 |        5.25 |       29.71 |       10.15 |        8.36 |        2.05
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     9134009 |    25492272 |    17962760 |    23481988 |    10020502 |    15407714 |    40761159 |    16788101 |    11722247 |    14081465 |   124302842 |    18368099 |     7814835 |    17558210 |    28873429 |    17620173
    num cache misses                 |     6809542 |    21177408 |    12142466 |     6753159 |     6061148 |    10436201 |     1784531 |     5564700 |      801914 |    10641116 |   107388362 |    11269341 |     7408215 |    12017533 |    13238398 |     1813988
    miss rate                        |      74.55% |      83.07% |      67.60% |      28.76% |      60.49% |      67.73% |       4.38% |      33.15% |       6.84% |      75.57% |      86.39% |      61.35% |      94.80% |      68.44% |      45.85% |      10.29%
    mpki                             |        6.32 |       19.68 |        5.70 |        5.99 |        1.90 |       23.57 |        0.36 |        2.86 |        0.11 |       23.20 |       12.79 |        3.26 |       29.63 |        7.00 |        7.71 |        0.33
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     8297215 |    22769631 |    12158201 |     8355203 |     6110631 |    13031827 |     2047328 |     6886207 |      839234 |    14081465 |   107430107 |    11308224 |     7429360 |    12052659 |    13994942 |     2021904
    num cache misses                 |     5051846 |    21091562 |    11381993 |     6217146 |     5437822 |     8679368 |     1725617 |     4060876 |      792234 |    10623513 |     1057273 |     7081983 |     7299230 |    11882649 |     4297679 |     1727814
    miss rate                        |      60.89% |      92.63% |      93.62% |      74.41% |      88.99% |      66.60% |      84.29% |      58.97% |      94.40% |      75.44% |       0.98% |      62.63% |      98.25% |      98.59% |      30.71% |      85.45%
    mpki                             |        4.69 |       19.60 |        5.34 |        5.52 |        1.70 |       19.60 |        0.35 |        2.09 |        0.11 |       23.16 |        0.13 |        2.05 |       29.20 |        6.92 |        2.50 |        0.31
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |   141379719 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      339.43 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      229.42 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      95.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
