                                     | Core 0     | Core 1      | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     
  Instructions                       |  467981612 |  1312419347 |  249999898 |  523698793 |  977665724 |  998020311 |  414841185 |  1345391646
  Cycles                             |  920037683 |   920037909 |  920034091 |  920037581 |  920037600 |  920037781 |  920037600 |   920037600
  IPC                                |       0.51 |        1.43 |       0.27 |       0.57 |       1.06 |       1.08 |       0.45 |        1.46
  Time (ns)                          |  306679228 |   306679303 |  306678031 |  306679194 |  306679200 |  306679261 |  306679200 |   306679200
Branch predictor stats               |            |             |            |            |            |            |            |            
  num correct                        |   69852637 |    87282797 |    4856955 |   10809196 |   86242392 |   45957883 |   22254111 |   106665778
  num incorrect                      |   16030983 |    15012395 |    6669357 |    1630567 |   14394409 |     382393 |     520583 |     8721489
  misprediction rate                 |     18.67% |      14.68% |     57.86% |     13.11% |     14.30% |      0.83% |      2.29% |       7.56%
  mpki                               |      34.26 |       11.44 |      26.68 |       3.11 |      14.72 |       0.38 |       1.25 |        6.48
TLB Summary                          |            |             |            |            |            |            |            |            
  I-TLB                              |            |             |            |            |            |            |            |            
    num accesses                     |   66002738 |   159162652 |   27532058 |   50269498 |  110904781 |   76351387 |   41620688 |   113075712
    num misses                       |        166 |          18 |         14 |         66 |        419 |         43 |         47 |          42
    miss rate                        |      0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |        0.00
  D-TLB                              |            |             |            |            |            |            |            |            
    num accesses                     |  182119005 |   553166680 |   93614435 |  265688120 |  409181022 |  574296780 |  147188031 |   370216247
    num misses                       |     973597 |     3921673 |     661938 |     600474 |     217899 |      77271 |     226983 |     1810053
    miss rate                        |      0.53% |       0.71% |      0.71% |      0.23% |      0.05% |      0.01% |      0.15% |       0.49%
    mpki                             |       2.08 |        2.99 |       2.65 |       1.15 |       0.22 |       0.08 |       0.55 |        1.35
  L2 TLB                             |            |             |            |            |            |            |            |            
    num accesses                     |     973763 |     3921691 |     661952 |     600540 |     218318 |      77314 |     227030 |     1810095
    num misses                       |      82719 |       29993 |     661946 |       8478 |       7100 |      22518 |      70809 |      565198
    miss rate                        |      8.49% |       0.76% |    100.00% |      1.41% |      3.25% |     29.13% |     31.19% |      31.22%
    mpki                             |       0.18 |        0.02 |       2.65 |       0.02 |       0.01 |       0.02 |       0.17 |        0.42
Cache Summary                        |            |             |            |            |            |            |            |            
  Cache L1-I                         |            |             |            |            |            |            |            |            
    num cache accesses               |   66002738 |   159162652 |   27532058 |   50269498 |  110904781 |   76351387 |   41620688 |   113075712
    num cache misses                 |    3954269 |     1441390 |       3896 |      31097 |    1422596 |      32432 |      14188 |       95234
    miss rate                        |      5.99% |       0.91% |      0.01% |      0.06% |      1.28% |      0.04% |      0.03% |       0.08%
    mpki                             |       8.45 |        1.10 |       0.02 |       0.06 |       1.46 |       0.03 |       0.03 |        0.07
  Cache L1-D                         |            |             |            |            |            |            |            |            
    num cache accesses               |  182119005 |   553166680 |   93614435 |  265688120 |  409181022 |  574296780 |  147188031 |   370216247
    num cache misses                 |    2933627 |     2722021 |    7293668 |    4286901 |    3803768 |    5206937 |    5179815 |    19716729
    miss rate                        |      1.61% |       0.49% |      7.79% |      1.61% |      0.93% |      0.91% |      3.52% |       5.33%
    mpki                             |       6.27 |        2.07 |      29.17 |       8.19 |       3.89 |       5.22 |      12.49 |       14.66
  Cache L2                           |            |             |            |            |            |            |            |            
    num cache accesses               |    7090733 |     4224006 |    8242594 |    4786202 |    5287948 |    5258026 |    5921698 |    19837020
    num cache misses                 |    1347694 |      504981 |    7297507 |    1415547 |     958721 |    2809022 |    3854673 |    16330984
    miss rate                        |     19.01% |      11.96% |     88.53% |     29.58% |     18.13% |     53.42% |     65.09% |      82.33%
    mpki                             |       2.88 |        0.38 |      29.19 |       2.70 |       0.98 |       2.81 |       9.29 |       12.14
  Cache L3                           |            |             |            |            |            |            |            |            
    num cache accesses               |    1553949 |      567751 |    8242537 |    1888521 |    1036647 |    2835418 |    4626354 |    16358072
    num cache misses                 |    1330094 |      504717 |    7295950 |    1406294 |     954410 |    2526284 |    3830700 |      925414
    miss rate                        |     85.59% |      88.90% |     88.52% |     74.47% |     92.07% |     89.10% |     82.80% |       5.66%
    mpki                             |       2.84 |        0.38 |      29.18 |       2.69 |       0.98 |       2.53 |       9.23 |        0.69
DRAM summary                         |            |             |            |            |            |            |            |            
  num dram accesses                  |   27321411 |           0 |          0 |          0 |          0 |          0 |          0 |           0
  average dram access latency (ns)   |     183.35 |         inf |        inf |        inf |        inf |        inf |        inf |         inf
  average dram queueing delay        |      73.34 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |        0.00
  average dram bandwidth utilization |     89.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |       0.00%
Coherency Traffic                    |            |             |            |            |            |            |            |            
  num loads from dram                |          0 |           0 |          0 |          0 |          0 |          0 |          0 |           0
  num loads from dram cache          |          0 |           0 |          0 |          0 |          0 |          0 |          0 |           0
  num loads from remote cache        |          0 |           0 |          0 |          0 |          0 |          0 |          0 |           0
