                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  4452551009 |   820685573 |  4832310006 |   249999989 |  5263392493 |  3310512219 |   585994029 |  1074968260
  Cycles                             |  5004976067 |  5004976453 |  5004976200 |  5004973385 |  5004976200 |  5004976298 |  5004976200 |  5004976350
  IPC                                |        0.89 |        0.16 |        0.97 |        0.05 |        1.05 |        0.66 |        0.12 |        0.21
  Time (ns)                          |  1668325356 |  1668325484 |  1668325400 |  1668324462 |  1668325400 |  1668325433 |  1668325400 |  1668325450
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   239671431 |   112922048 |    91066440 |    43244780 |   678184756 |    76173449 |   137214372 |   181815861
  num incorrect                      |   169451566 |    15474799 |    13824857 |    11689069 |   158132437 |     1357562 |    15234016 |    16744425
  misprediction rate                 |      41.42% |      12.05% |      13.18% |      21.28% |      18.91% |       1.75% |       9.99% |       8.43%
  mpki                               |       38.06 |       18.86 |        2.86 |       46.76 |       30.04 |        0.41 |       26.00 |       15.58
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   360842569 |   143797552 |   460309883 |    23761816 |   738117493 |   296121353 |    49581332 |   124822331
    num misses                       |          52 |         100 |         134 |           3 |         326 |           4 |       40847 |          42
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.07 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1310668886 |   382506599 |  2450871294 |    88558906 |  2055152884 |  1299087189 |   203091074 |   373922024
    num misses                       |       79258 |    14885058 |     5496594 |    21160773 |     3703966 |      687883 |     3122940 |     6395237
    miss rate                        |       0.01% |       3.89% |       0.22% |      23.89% |       0.18% |       0.05% |       1.54% |       1.71%
    mpki                             |        0.02 |       18.14 |        1.14 |       84.64 |        0.70 |        0.21 |        5.33 |        5.95
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |       79310 |    14885158 |     5496728 |    21160776 |     3704292 |      687887 |     3163787 |     6395279
    num misses                       |       70718 |     4470598 |       75717 |    10898897 |      588538 |      360218 |     2673890 |     1736963
    miss rate                        |      89.17% |      30.03% |       1.38% |      51.51% |      15.89% |      52.37% |      84.52% |      27.16%
    mpki                             |        0.02 |        5.45 |        0.02 |       43.60 |        0.11 |        0.11 |        4.56 |        1.62
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   360842569 |   143797552 |   460309883 |    23761816 |   738117493 |   296121353 |    49581332 |   124822331
    num cache misses                 |      234505 |     3511053 |      840707 |      225740 |    22926511 |      511084 |      973073 |      154982
    miss rate                        |       0.06% |       2.44% |       0.18% |       0.95% |       3.11% |       0.17% |       1.96% |       0.12%
    mpki                             |        0.05 |        4.28 |        0.17 |        0.90 |        4.36 |        0.15 |        1.66 |        0.14
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1310668886 |   382506599 |  2450871294 |    88558906 |  2055152884 |  1299087189 |   203091074 |   373922024
    num cache misses                 |     5077985 |    22193721 |    37867704 |    28889733 |    25734961 |    33828013 |    17510351 |    43965875
    miss rate                        |       0.39% |       5.80% |       1.55% |      32.62% |       1.25% |       2.60% |       8.62% |      11.76%
    mpki                             |        1.14 |       27.04 |        7.84 |      115.56 |        4.89 |       10.22 |       29.88 |       40.90
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     5578198 |    31200217 |    39089969 |    33132907 |    49451731 |    34558026 |    18539098 |    48631712
    num cache misses                 |     5181485 |    22282137 |    20240488 |    25082155 |    22087173 |    24506549 |    17734382 |    39126712
    miss rate                        |      92.89% |      71.42% |      51.78% |      75.70% |      44.66% |      70.91% |      95.66% |      80.46%
    mpki                             |        1.16 |       27.15 |        4.19 |      100.33 |        4.20 |        7.40 |       30.26 |       36.40
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     5450844 |    27788816 |    20623049 |    29127291 |    22879877 |    24807076 |    17791608 |    43639350
    num cache misses                 |     5118221 |    18556966 |     3025411 |    21974336 |     1717243 |    23499436 |    16394984 |    24022397
    miss rate                        |      93.90% |      66.78% |      14.67% |      75.44% |       7.51% |      94.73% |      92.15% |      55.05%
    mpki                             |        1.15 |       22.61 |        0.63 |       87.90 |        0.33 |        7.10 |       27.98 |       22.35
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |   147757592 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      172.71 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       62.70 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      88.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
