                                   | Core 0    
  Instructions                     |   99999882
  Cycles                           |  169868661
  IPC                              |       0.59
  Time (ns)                        |   56622887
Branch predictor stats             |           
  num correct                      |     586923
  num incorrect                    |       5938
  misprediction rate               |      1.00%
  mpki                             |       0.06
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    8642534
    num misses                     |         18
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   52081001
    num misses                     |    1064253
    miss rate                      |      2.04%
    mpki                           |      10.64
  L2 TLB                           |           
    num accesses                   |    1064271
    num misses                     |     656442
    miss rate                      |     61.68%
    mpki                           |       6.56
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    8642534
    num cache misses               |      97550
    miss rate                      |      1.13%
    mpki                           |       0.98
  Cache L1-D                       |           
    num cache accesses             |   52081001
    num cache misses               |    3873893
    miss rate                      |      7.44%
    mpki                           |      38.74
  Cache L2                         |           
    num cache accesses             |    4310366
    num cache misses               |    3331519
    miss rate                      |     77.29%
    mpki                           |      33.32
  Cache L3                         |           
    num cache accesses             |    3670442
    num cache misses               |    3311678
    miss rate                      |     90.23%
    mpki                           |      33.12
DRAM summary                       |           
  num dram accesses                |    6606972
  average dram access latency (ns) |      51.88
  average dram queueing delay      |       1.87
Coherency Traffic                  |           
  num loads from dram              |    3116500
  num loads from dram cache        |          0
  num loads from remote cache      |          0
