                                   | Core 0    
  Instructions                     |   99999948
  Cycles                           |  481483739
  IPC                              |       0.21
  Time (ns)                        |  160494580
Branch predictor stats             |           
  num correct                      |     129398
  num incorrect                    |       2196
  misprediction rate               |      1.67%
  mpki                             |       0.02
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   11457119
    num misses                     |          6
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   74796250
    num misses                     |    2951478
    miss rate                      |      3.95%
    mpki                           |      29.51
  L2 TLB                           |           
    num accesses                   |    2951484
    num misses                     |    1862160
    miss rate                      |     63.09%
    mpki                           |      18.62
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   11457119
    num cache misses               |    2189439
    miss rate                      |     19.11%
    mpki                           |      21.89
  Cache L1-D                       |           
    num cache accesses             |   74796250
    num cache misses               |    3436271
    miss rate                      |      4.59%
    mpki                           |      34.36
  Cache L2                         |           
    num cache accesses             |    6781612
    num cache misses               |    5458479
    miss rate                      |     80.49%
    mpki                           |      54.58
  Cache L3                         |           
    num cache accesses             |    6614381
    num cache misses               |    5441251
    miss rate                      |     82.26%
    mpki                           |      54.41
DRAM summary                       |           
  num dram accesses                |   10866118
  average dram access latency (ns) |      51.62
  average dram queueing delay      |       1.62
Coherency Traffic                  |           
  num loads from dram              |    2584083
  num loads from dram cache        |          0
  num loads from remote cache      |          0
