                                   | Core 0    
  Instructions                     |   99999959
  Cycles                           |   75386312
  IPC                              |       1.33
  Time (ns)                        |   25128771
Branch predictor stats             |           
  num correct                      |    5563644
  num incorrect                    |     913023
  misprediction rate               |     14.10%
  mpki                             |       9.13
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    9896916
    num misses                     |          5
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   29723328
    num misses                     |     205112
    miss rate                      |      0.69%
    mpki                           |       2.05
  L2 TLB                           |           
    num accesses                   |     205117
    num misses                     |       5378
    miss rate                      |      2.62%
    mpki                           |       0.05
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    9896916
    num cache misses               |       7144
    miss rate                      |      0.07%
    mpki                           |       0.07
  Cache L1-D                       |           
    num cache accesses             |   29723328
    num cache misses               |    1220934
    miss rate                      |      4.11%
    mpki                           |      12.21
  Cache L2                         |           
    num cache accesses             |    1233824
    num cache misses               |     450005
    miss rate                      |     36.47%
    mpki                           |       4.50
  Cache L3                         |           
    num cache accesses             |     455796
    num cache misses               |     347803
    miss rate                      |     76.31%
    mpki                           |       3.48
DRAM summary                       |           
  num dram accesses                |     437159
  average dram access latency (ns) |      50.53
  average dram queueing delay      |       0.52
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
