                                   | Core 0    
  Instructions                     |   99999892
  Cycles                           |  145754513
  IPC                              |       0.69
  Time (ns)                        |   48584838
Branch predictor stats             |           
  num correct                      |    5563643
  num incorrect                    |     913021
  misprediction rate               |     14.10%
  mpki                             |       9.13
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    9896916
    num misses                     |          5
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   29723322
    num misses                     |     202228
    miss rate                      |      0.68%
    mpki                           |       2.02
  L2 TLB                           |           
    num accesses                   |     202233
    num misses                     |       5394
    miss rate                      |      2.67%
    mpki                           |       0.05
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    9896916
    num cache misses               |     279939
    miss rate                      |      2.83%
    mpki                           |       2.80
  Cache L1-D                       |           
    num cache accesses             |   29723322
    num cache misses               |    1594237
    miss rate                      |      5.36%
    mpki                           |      15.94
  Cache L2                         |           
    num cache accesses             |    2021070
    num cache misses               |    1412746
    miss rate                      |     69.90%
    mpki                           |      14.13
  Cache L3                         |           
    num cache accesses             |    1561308
    num cache misses               |    1371201
    miss rate                      |     87.82%
    mpki                           |      13.71
DRAM summary                       |           
  num dram accesses                |    2726018
  average dram access latency (ns) |      51.83
  average dram queueing delay      |       1.83
Coherency Traffic                  |           
  num loads from dram              |     883540
  num loads from dram cache        |          0
  num loads from remote cache      |          0
