                                   | Core 0    
  Instructions                     |   99999981
  Cycles                           |  393440545
  IPC                              |       0.25
  Time (ns)                        |  131146849
Branch predictor stats             |           
  num correct                      |   23433647
  num incorrect                    |    2590854
  misprediction rate               |      9.96%
  mpki                             |      25.91
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    8435880
    num misses                     |       7367
    miss rate                      |      0.09%
    mpki                           |       0.07
  D-TLB                            |           
    num accesses                   |   34662789
    num misses                     |     538315
    miss rate                      |      1.55%
    mpki                           |       5.38
  L2 TLB                           |           
    num accesses                   |     545682
    num misses                     |     457790
    miss rate                      |     83.89%
    mpki                           |       4.58
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    8435880
    num cache misses               |     255646
    miss rate                      |      3.03%
    mpki                           |       2.56
  Cache L1-D                       |           
    num cache accesses             |   34662789
    num cache misses               |    3096682
    miss rate                      |      8.93%
    mpki                           |      30.97
  Cache L2                         |           
    num cache accesses             |    3390995
    num cache misses               |    3326633
    miss rate                      |     98.10%
    mpki                           |      33.27
  Cache L3                         |           
    num cache accesses             |    3365430
    num cache misses               |    3246426
    miss rate                      |     96.46%
    mpki                           |      32.46
DRAM summary                       |           
  num dram accesses                |    6476468
  average dram access latency (ns) |      51.09
  average dram queueing delay      |       1.08
Coherency Traffic                  |           
  num loads from dram              |    2968900
  num loads from dram cache        |          0
  num loads from remote cache      |          0
