                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  3006008327 |   899547638 |  6147149343 |  3195463030 |  3523977399 |   489353735 |  2199103772 |   249999989
  Cycles                             |  3222812703 |  3222813064 |  3222812706 |  3222812700 |  3222812703 |  3222812925 |  3222812709 |  3222808486
  IPC                                |        0.93 |        0.28 |        1.91 |        0.99 |        1.09 |        0.15 |        0.68 |        0.08
  Time (ns)                          |  1074270901 |  1074271021 |  1074270902 |  1074270900 |  1074270901 |  1074270975 |  1074270903 |  1074269495
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   459509219 |   123650125 |  1134459931 |   169663887 |   531392372 |   114636622 |   334116140 |    43244780
  num incorrect                      |   117782232 |    17001757 |    77391810 |   122379702 |    59770337 |    12733694 |    72254208 |    11689069
  misprediction rate                 |      20.40% |      12.09% |       6.39% |      41.90% |      10.11% |      10.00% |      17.78% |      21.28%
  mpki                               |       39.18 |       18.90 |       12.59 |       38.30 |       16.96 |       26.02 |       32.86 |       46.76
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   391072608 |   157574396 |  1007978866 |   258099587 |   564289623 |    41381084 |   303720304 |    23761816
    num misses                       |          19 |         107 |          39 |          52 |       20483 |       33928 |         430 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.07 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1011935729 |   419184873 |  2003348451 |   939056649 |  1419557262 |   169561640 |   853739830 |    88558906
    num misses                       |     4481250 |    16320080 |          23 |       55241 |     7930628 |     2614242 |     4526045 |    21160378
    miss rate                        |       0.44% |       3.89% |       0.00% |       0.01% |       0.56% |       1.54% |       0.53% |      23.89%
    mpki                             |        1.49 |       18.14 |        0.00 |        0.02 |        2.25 |        5.34 |        2.06 |       84.64
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     4481269 |    16320187 |          62 |       55293 |     7951111 |     2648170 |     4526475 |    21160381
    num misses                       |      938378 |     4881609 |          62 |       49142 |     1130787 |     2241248 |      420365 |    10898157
    miss rate                        |      20.94% |      29.91% |     100.00% |      88.88% |      14.22% |      84.63% |       9.29% |      51.50%
    mpki                             |        0.31 |        5.43 |        0.00 |        0.02 |        0.32 |        4.58 |        0.19 |       43.59
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   391072608 |   157574396 |  1007978866 |   258099587 |   564289623 |    41381084 |   303720304 |    23761816
    num cache misses                 |     1457088 |     1867006 |     9573346 |       68623 |     9591567 |      674892 |    17431398 |       54582
    miss rate                        |       0.37% |       1.18% |       0.95% |       0.03% |       1.70% |       1.63% |       5.74% |       0.23%
    mpki                             |        0.48 |        2.08 |        1.56 |        0.02 |        2.72 |        1.38 |        7.93 |        0.22
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1011935729 |   419184873 |  2003348451 |   939056649 |  1419557262 |   169561640 |   853739830 |    88558906
    num cache misses                 |     3900406 |    23198945 |       98647 |     3431314 |    12656562 |    14517044 |    18588634 |    28753453
    miss rate                        |       0.39% |       5.53% |       0.00% |       0.37% |       0.89% |       8.56% |       2.18% |      32.47%
    mpki                             |        1.30 |       25.79 |        0.02 |        1.07 |        3.59 |       29.67 |        8.45 |      115.01
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     6220632 |    29116574 |     9686356 |     3620913 |    22731366 |    15226542 |    36848680 |    32439748
    num cache misses                 |     1667127 |    19057191 |      305324 |     3330967 |     5020603 |    14374072 |    13449341 |    20241411
    miss rate                        |      26.80% |      65.45% |       3.15% |      91.99% |      22.09% |      94.40% |      36.50% |      62.40%
    mpki                             |        0.55 |       21.19 |        0.05 |        1.04 |        1.42 |       29.37 |        6.12 |       80.97
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     2549513 |    23124671 |      319687 |     3454654 |     5511090 |    14410409 |    14283583 |    23945263
    num cache misses                 |     1607436 |    13865426 |      305318 |     3326674 |     4365102 |    13753638 |     4846930 |    16133891
    miss rate                        |      63.05% |      59.96% |      95.51% |      96.30% |      79.21% |      95.44% |      33.93% |      67.38%
    mpki                             |        0.53 |       15.41 |        0.05 |        1.04 |        1.24 |       28.11 |        2.20 |       64.54
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    74114476 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      127.18 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       17.17 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      69.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
