                                   | Core 0    
  Instructions                     |  499999976
  Cycles                           |  237663550
  IPC                              |       2.10
  Time (ns)                        |   79221183
Branch predictor stats             |           
  num correct                      |   23023477
  num incorrect                    |     192475
  misprediction rate               |      0.83%
  mpki                             |       0.38
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   38247215
    num misses                     |         43
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  287727657
    num misses                     |      35619
    miss rate                      |      0.01%
    mpki                           |       0.07
  L2 TLB                           |           
    num accesses                   |      35662
    num misses                     |       6814
    miss rate                      |     19.11%
    mpki                           |       0.01
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   38247215
    num cache misses               |      35830
    miss rate                      |      0.09%
    mpki                           |       0.07
  Cache L1-D                       |           
    num cache accesses             |  287727657
    num cache misses               |    2722748
    miss rate                      |      0.95%
    mpki                           |       5.45
  Cache L2                         |           
    num cache accesses             |    2760092
    num cache misses               |    1900156
    miss rate                      |     68.84%
    mpki                           |       3.80
  Cache L3                         |           
    num cache accesses             |    1901728
    num cache misses               |     424823
    miss rate                      |     22.34%
    mpki                           |       0.85
DRAM summary                       |           
  num dram accesses                |     807922
  average dram access latency (ns) |      71.79
  average dram queueing delay      |       6.77
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
