                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  5877340653 |  1829726802 |   249999989 |  2213681965 |   851360376 |  5455392641 |  4715587434 |  9920037505
  Cycles                             |  7030497984 |  7030497900 |  7030481498 |  7030498040 |  7030498078 |  7030497831 |  7030497634 |  7030497975
  IPC                                |        0.84 |        0.26 |        0.04 |        0.31 |        0.12 |        0.78 |        0.67 |        1.41
  Time (ns)                          |  2343499328 |  2343499300 |  2343493833 |  2343499347 |  2343499359 |  2343499277 |  2343499211 |  2343499325
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   335830540 |    16610657 |    43244780 |   117805269 |   117092439 |   251217573 |   711219247 |   661213613
  num incorrect                      |    56772130 |      111266 |    11689069 |     2756453 |    16080583 |     2089124 |    79914439 |   113391147
  misprediction rate                 |      14.46% |       0.67% |      21.28% |       2.29% |      12.07% |       0.82% |      10.10% |      14.64%
  mpki                               |        9.66 |        0.06 |       46.76 |        1.25 |       18.89 |        0.38 |       16.95 |       11.43
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   660786850 |   161713606 |    23761816 |   220578720 |   149197725 |   417357082 |   755001493 |  1203631401
    num misses                       |          56 |           3 |           3 |          47 |         101 |          43 |       27613 |          18
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  2759816046 |   498386269 |    88558906 |   769246955 |   396735793 |  3139221276 |  1899222664 |  4182566222
    num misses                       |     1781475 |      890828 |    21159850 |     1165141 |    15458247 |      422685 |    10617188 |    29679009
    miss rate                        |       0.06% |       0.18% |      23.89% |       0.15% |       3.90% |       0.01% |       0.56% |       0.71%
    mpki                             |        0.30 |        0.49 |       84.64 |        0.53 |       18.16 |        0.08 |        2.25 |        2.99
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1781531 |      890831 |    21159853 |     1165188 |    15458348 |      422728 |    10644801 |    29679027
    num misses                       |      280918 |      890158 |    10898761 |      361777 |     4636579 |      121616 |     1513606 |      226575
    miss rate                        |      15.77% |      99.92% |      51.51% |      31.05% |      29.99% |      28.77% |      14.22% |       0.76%
    mpki                             |        0.05 |        0.49 |       43.60 |        0.16 |        5.45 |        0.02 |        0.32 |        0.02
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   660786850 |   161713606 |    23761816 |   220578720 |   149197725 |   417357082 |   755001493 |  1203631401
    num cache misses                 |     1448053 |      519515 |      108498 |      135340 |     2307871 |      286729 |    13505494 |    10630421
    miss rate                        |       0.22% |       0.32% |       0.46% |       0.06% |       1.55% |       0.07% |       1.79% |       0.88%
    mpki                             |        0.25 |        0.28 |        0.43 |        0.06 |        2.71 |        0.05 |        2.86 |        1.07
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  2759816046 |   498386269 |    88558906 |   769246955 |   396735793 |  3139221276 |  1899222664 |  4182566222
    num cache misses                 |    16751576 |    94017895 |    28793348 |    27034816 |    22309138 |    28824769 |    17323147 |    20162662
    miss rate                        |       0.61% |      18.86% |      32.51% |       3.51% |       5.62% |       0.92% |       0.91% |       0.48%
    mpki                             |        2.85 |       51.38 |      115.17 |       12.21 |       26.20 |        5.28 |        3.67 |        2.03
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    18261462 |    94537429 |    32735450 |    31256325 |    29721087 |    29242647 |    31716418 |    31131630
    num cache misses                 |    10820426 |    57536552 |    22538191 |    20511665 |    19963487 |    18397179 |    10592566 |     2794585
    miss rate                        |      59.25% |      60.86% |      68.85% |      65.62% |      67.17% |      62.91% |      33.40% |       8.98%
    mpki                             |        1.84 |       31.45 |       90.15 |        9.27 |       23.45 |        3.37 |        2.25 |        0.28
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    10894985 |    57536571 |    26418372 |    24807111 |    25081947 |    18541092 |    11488629 |     3143074
    num cache misses                 |     9749538 |    51614946 |    19220172 |    19773445 |    16956214 |    15953166 |     7716907 |     2704650
    miss rate                        |      89.49% |      89.71% |      72.75% |      79.71% |      67.60% |      86.04% |      67.17% |      86.05%
    mpki                             |        1.66 |       28.21 |       76.88 |        8.93 |       19.92 |        2.92 |        1.64 |        0.27
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |   221227680 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      268.52 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      158.51 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      94.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
