                                   | Core 0    
  Instructions                     |   99999890
  Cycles                           |  145414744
  IPC                              |       0.69
  Time (ns)                        |   48471582
Branch predictor stats             |           
  num correct                      |    4412429
  num incorrect                    |      77840
  misprediction rate               |      1.73%
  mpki                             |       0.78
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    8826080
    num misses                     |         57
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   38104616
    num misses                     |      39050
    miss rate                      |      0.10%
    mpki                           |       0.39
  L2 TLB                           |           
    num accesses                   |      39107
    num misses                     |      30500
    miss rate                      |     77.99%
    mpki                           |       0.31
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    8826080
    num cache misses               |      89921
    miss rate                      |      1.02%
    mpki                           |       0.90
  Cache L1-D                       |           
    num cache accesses             |   38104616
    num cache misses               |    2607097
    miss rate                      |      6.84%
    mpki                           |      26.07
  Cache L2                         |           
    num cache accesses             |    2869144
    num cache misses               |    2520188
    miss rate                      |     87.84%
    mpki                           |      25.20
  Cache L3                         |           
    num cache accesses             |    2693857
    num cache misses               |    2495562
    miss rate                      |     92.64%
    mpki                           |      24.96
DRAM summary                       |           
  num dram accesses                |    4974740
  average dram access latency (ns) |      53.17
  average dram queueing delay      |       3.16
Coherency Traffic                  |           
  num loads from dram              |    1985340
  num loads from dram cache        |          0
  num loads from remote cache      |          0
