                                     | Core 0      | Core 1       | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  1139593536 |  10355274290 |   455873777 |  5791470280 |   424097607 |  7126055195 |  2889932771 |   639617219 |  1153596656 |  1750029247 |  1065745495 |  3826868360 |   249999981 |   687959101 |  8717555402 |  6619660984
  Cycles                             |  6020330666 |   6020330133 |  6020330526 |  6020330357 |  6020330774 |  6020330129 |  6020330106 |  6020331281 |  6020330595 |  6020330190 |  6020330112 |  6020330110 |  6020326157 |  6020330100 |  6020330166 |  6020330131
  IPC                                |        0.19 |         1.72 |        0.08 |        0.96 |        0.07 |        1.18 |        0.48 |        0.11 |        0.19 |        0.29 |        0.18 |        0.64 |        0.04 |        0.11 |        1.45 |        1.10
  Time (ns)                          |  2006776889 |   2006776711 |  2006776842 |  2006776786 |  2006776925 |  2006776710 |  2006776702 |  2006777094 |  2006776865 |  2006776730 |  2006776704 |  2006776704 |  2006775386 |  2006776700 |  2006776722 |  2006776711
Branch predictor stats               |             |              |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    61229238 |   1911071417 |    75672365 |   513691708 |    58313742 |   949866050 |   435979502 |   108536126 |    10458311 |    40377971 |    35096790 |   207108037 |    58565837 |    12673790 |   580863156 |   291369562
  num incorrect                      |     1432303 |    130371070 |     4610650 |    85686951 |     8027746 |    95850652 |    48928503 |     9994683 |       70024 |      720349 |    16516876 |   144968936 |     6500447 |    17681612 |    99675419 |    16551164
  misprediction rate                 |       2.29% |        6.39% |       5.74% |      14.30% |      12.10% |       9.17% |      10.09% |       8.43% |       0.67% |       1.75% |      32.00% |      41.18% |       9.99% |      58.25% |      14.65% |       5.38%
  mpki                               |        1.26 |        12.59 |       10.11 |       14.80 |       18.93 |       13.45 |       16.93 |       15.63 |        0.06 |        0.41 |       15.50 |       37.88 |       26.00 |       25.70 |       11.43 |        2.50
TLB Summary                          |             |              |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |              |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   114147293 |   1698005498 |    76932149 |   657676482 |    74278240 |  1068380006 |   462575264 |    74117459 |   101955480 |   156381658 |    83247075 |   312332737 |    21135842 |    74329241 |  1057812314 |   631166727
    num misses                       |          47 |           39 |           4 |        1987 |          92 |        4632 |       16986 |          42 |           3 |           4 |           3 |          52 |       17441 |          14 |          18 |           8
    miss rate                        |       0.00% |        0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00% |       0.00% |       0.00%
