                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  5696908580 |  5689788403 |  4345775108 |  4907826683 |   952996505 |  1612357539 |  8322921035 |   249999989
  Cycles                             |  4723460926 |  4723460869 |  4723460836 |  4723461000 |  4723460764 |  4723461017 |  4723460816 |  4723456679
  IPC                                |        1.21 |        1.20 |        0.92 |        1.04 |        0.20 |        0.34 |        1.76 |        0.05
  Time (ns)                          |  1574486976 |  1574486957 |  1574486946 |  1574487000 |  1574486922 |  1574487006 |  1574486939 |  1574485560
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   503787428 |   618816146 |   559952888 |   280343510 |   160991703 |    97989668 |   383273508 |    43244780
  num incorrect                      |    84037128 |    94282946 |   130630470 |    47421881 |    14893590 |    58965028 |     3188774 |    11689069
  misprediction rate                 |      14.30% |      13.22% |      18.92% |      14.47% |       8.47% |      37.57% |       0.83% |      21.28%
  mpki                               |       14.75 |       16.57 |       30.06 |        9.66 |       15.63 |       36.57 |        0.38 |       46.76
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   646593496 |   669755954 |   609371589 |   551624474 |   110478871 |   192407085 |   636739885 |    23761816
    num misses                       |        1962 |          10 |         289 |          56 |          42 |          10 |          43 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  2382969294 |  2552050173 |  1697006651 |  2304620725 |   331234673 |   741569096 |  4789285899 |    88558906
    num misses                       |     1261113 |    25737210 |     3043034 |     1486790 |     5673870 |     5082795 |      646017 |    21161469
    miss rate                        |       0.05% |       1.01% |       0.18% |       0.06% |       1.71% |       0.69% |       0.01% |      23.90%
    mpki                             |        0.22 |        4.52 |        0.70 |        0.30 |        5.95 |        3.15 |        0.08 |       84.65
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1263075 |    25737220 |     3043323 |     1486846 |     5673912 |     5082805 |      646060 |    21161472
    num misses                       |       39908 |     2275979 |      484409 |      234634 |     1534938 |     4039594 |      185281 |    10898855
    miss rate                        |       3.16% |       8.84% |      15.92% |      15.78% |      27.05% |      79.48% |      28.68% |      51.50%
    mpki                             |        0.01 |        0.40 |        0.11 |        0.05 |        1.61 |        2.51 |        0.02 |       43.60
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   646593496 |   669755954 |   609371589 |   551624474 |   110478871 |   192407085 |   636739885 |    23761816
    num cache misses                 |     9419481 |      574208 |    19061296 |     1836249 |      146336 |      118186 |      575124 |      278523
    miss rate                        |       1.46% |       0.09% |       3.13% |       0.33% |       0.13% |       0.06% |       0.09% |       1.17%
    mpki                             |        1.65 |        0.10 |        4.39 |        0.37 |        0.15 |        0.07 |        0.07 |        1.11
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  2382969294 |  2552050173 |  1697006651 |  2304620725 |   331234673 |   741569096 |  4789285899 |    88558906
    num cache misses                 |    22468512 |    82547714 |    21358787 |    14876590 |    38989106 |    12033586 |    45031770 |    29097418
    miss rate                        |       0.94% |       3.23% |       1.26% |       0.65% |      11.77% |       1.62% |       0.94% |      32.86%
    mpki                             |        3.94 |       14.51 |        4.91 |        3.03 |       40.91 |        7.46 |        5.41 |      116.39
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    32050706 |    83708804 |    41585992 |    16789396 |    45090540 |    14396680 |    45622989 |    33711015
    num cache misses                 |    13555021 |    58361261 |    18848388 |    13388304 |    34931414 |    11592399 |    31525371 |    26111728
    miss rate                        |      42.29% |      69.72% |      45.32% |      79.74% |      77.47% |      80.52% |      69.10% |      77.46%
    mpki                             |        2.38 |       10.26 |        4.34 |        2.73 |       36.65 |        7.19 |        3.79 |      104.45
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    13722427 |    58954352 |    20019024 |    13469163 |    40887914 |    13865091 |    31541867 |    30470594
    num cache misses                 |     3356380 |     4197314 |     3601748 |    10031870 |    28639879 |    10788273 |     6587107 |    24469310
    miss rate                        |      24.46% |       7.12% |      17.99% |      74.48% |      70.04% |      77.81% |      20.88% |      80.30%
    mpki                             |        0.59 |        0.74 |        0.83 |        2.04 |       30.05 |        6.69 |        0.79 |       97.88
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |   125917169 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      158.19 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       48.18 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      80.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
