                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   371857729 |  6130362019 |   275632420 |   373669511 |   249999973 |  1347426501 |   644663653 |   253724205 |  4270140275 |   600559463 |  1726667885 |   475848257 |  4420813585 |  1278400117 |  2340205198 |  4634156672
  Cycles                             |  3444143953 |  3444142800 |  3444146459 |  3444144508 |  3444139090 |  3444142809 |  3444143587 |  3444144566 |  3444142813 |  3444143002 |  3444143122 |  3444143522 |  3444142800 |  3444143692 |  3444143403 |  3444144477
  IPC                                |        0.11 |        1.78 |        0.08 |        0.11 |        0.07 |        0.39 |        0.19 |        0.07 |        1.24 |        0.17 |        0.50 |        0.14 |        1.28 |        0.37 |        0.68 |        1.35
  Time (ns)                          |  1148047985 |  1148047600 |  1148048820 |  1148048170 |  1148046364 |  1148047603 |  1148047863 |  1148048189 |  1148047605 |  1148047668 |  1148047708 |  1148047841 |  1148047600 |  1148047898 |  1148047801 |  1148048159
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    29469469 |  1131362006 |    46957957 |     7097675 |    40600608 |    81885314 |    39485693 |    34903070 |   188429192 |    18613756 |   187312724 |     4291635 |   355571559 |     1669786 |   133507322 |   616247204
  num incorrect                      |     2412016 |    77180453 |     4253315 |     9861695 |     2521753 |    49274561 |     1465723 |     4790608 |    10699874 |     8899311 |    28757687 |       28684 |    59711183 |       28298 |    22577312 |    62308304
  misprediction rate                 |       7.57% |       6.39% |       8.31% |      58.15% |       5.85% |      37.57% |       3.58% |      12.07% |       5.37% |      32.35% |      13.31% |       0.66% |      14.38% |       1.67% |      14.46% |       9.18%
  mpki                               |        6.49 |       12.59 |       15.43 |       26.39 |       10.09 |       36.57 |        2.27 |       18.88 |        2.51 |       14.82 |       16.66 |        0.06 |       13.51 |        0.02 |        9.65 |       13.45
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    31442884 |  1005226009 |    32038347 |    41188025 |    41868591 |   160785238 |    61406570 |    44451820 |   406748294 |    46687320 |   202873069 |    42054456 |   647655870 |   146422894 |   263404529 |   695357410
    num misses                       |          42 |          39 |          42 |          14 |           4 |          10 |          22 |          84 |           8 |           3 |          10 |           3 |          65 |           6 |          56 |        3060
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   102371562 |  1997877313 |    95345557 |   137833576 |    75636447 |   619816921 |   215440025 |   118221533 |  1298682359 |   269411114 |   770426800 |   129225477 |  2119600866 |   956349988 |  1099411932 |  1810187792
    num misses                       |      500271 |          23 |     1597160 |      988776 |       88470 |     4244738 |     1727624 |     4610578 |      415853 |      274683 |     7860250 |      229314 |    11832049 |    34582113 |      711945 |      564817
    miss rate                        |       0.49% |       0.00% |       1.68% |       0.72% |       0.12% |       0.68% |       0.80% |       3.90% |       0.03% |       0.10% |       1.02% |       0.18% |       0.56% |       3.62% |       0.06% |       0.03%
    mpki                             |        1.35 |        0.00 |        5.79 |        2.65 |        0.35 |        3.15 |        2.68 |       18.17 |        0.10 |        0.46 |        4.55 |        0.48 |        2.68 |       27.05 |        0.30 |        0.12
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |      500313 |          62 |     1597202 |      988790 |       88474 |     4244748 |     1727646 |     4610662 |      415861 |      274686 |     7860260 |      229317 |    11832114 |    34582119 |      712001 |      567877
    num misses                       |      157794 |          62 |      449101 |      988779 |       88474 |     3373473 |      157878 |     1381620 |       10426 |      183522 |      693290 |      229139 |       74923 |    24657347 |      111981 |       16649
    miss rate                        |      31.54% |     100.00% |      28.12% |     100.00% |     100.00% |      79.47% |       9.14% |      29.97% |       2.51% |      66.81% |       8.82% |      99.92% |       0.63% |      71.30% |      15.73% |       2.93%
    mpki                             |        0.42 |        0.00 |        1.63 |        2.65 |        0.35 |        2.50 |        0.24 |        5.45 |        0.00 |        0.31 |        0.40 |        0.48 |        0.02 |       19.29 |        0.05 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    31442884 |  1005226009 |    32038347 |    41188025 |    41868591 |   160785238 |    61406570 |    44451820 |   406748294 |    46687320 |   202873069 |    42054456 |   647655870 |   146422894 |   263404529 |   695357410
    num cache misses                 |       59560 |     9498158 |       35961 |       33356 |        7090 |       90462 |      404798 |      970507 |       70020 |       69635 |      150183 |      326453 |    21432332 |      616384 |      764948 |    14299897
    miss rate                        |       0.19% |       0.94% |       0.11% |       0.08% |       0.02% |       0.06% |       0.66% |       2.18% |       0.02% |       0.15% |       0.07% |       0.78% |       3.31% |       0.42% |       0.29% |       2.06%
    mpki                             |        0.16 |        1.55 |        0.13 |        0.09 |        0.03 |        0.07 |        0.63 |        3.83 |        0.02 |        0.12 |        0.09 |        0.69 |        4.85 |        0.48 |        0.33 |        3.09
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   102371562 |  1997877313 |    95345557 |   137833576 |    75636447 |   619816921 |   215440025 |   118221533 |  1298682359 |   269411114 |   770426800 |   129225477 |  2119600866 |   956349988 |  1099411932 |  1810187792
    num cache misses                 |     5481314 |       82872 |    11345655 |    10604387 |     5663674 |     9603154 |    12258987 |     6759094 |    34427590 |    13357723 |    25176687 |    24228190 |    71316113 |    10536928 |     6747835 |    24458178
    miss rate                        |       5.35% |       0.00% |      11.90% |       7.69% |       7.49% |       1.55% |       5.69% |       5.72% |       2.65% |       4.96% |       3.27% |      18.75% |       3.36% |       1.10% |       0.61% |       1.35%
    mpki                             |       14.74 |        0.01 |       41.16 |       28.38 |       22.65 |        7.13 |       19.02 |       26.64 |        8.06 |       22.24 |       14.58 |       50.92 |       16.13 |        8.24 |        2.88 |        5.28
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     5588127 |     9592311 |    12648285 |    12047590 |     7690458 |    10431218 |    13549256 |     9089568 |    34625078 |    14222225 |    25534619 |    24554647 |    92766329 |    11153752 |     7519152 |    38929761
    num cache misses                 |     5132832 |      238189 |    10062541 |    10637743 |     5670764 |     9033735 |     5899962 |     6631329 |     1146812 |    11889430 |    17774252 |    15959740 |    14234160 |     7806261 |     5290238 |     2242929
    miss rate                        |      91.85% |       2.48% |      79.56% |      88.30% |      73.74% |      86.60% |      43.54% |      72.96% |       3.31% |      83.60% |      69.61% |      65.00% |      15.34% |      69.99% |      70.36% |       5.76%
    mpki                             |       13.80 |        0.04 |       36.51 |       28.47 |       22.68 |        6.70 |        9.15 |       26.14 |        0.27 |       19.80 |       10.29 |       33.54 |        3.22 |        6.11 |        2.26 |        0.48
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     5180208 |      249470 |    11329691 |    12047590 |     7690458 |     9882637 |     6787860 |     7993569 |     1278091 |    12684297 |    17996058 |    15959744 |    14255626 |     7806891 |     5297434 |     2414904
    num cache misses                 |     4449361 |      234496 |     6751534 |    10602872 |     5660106 |     2424706 |     3314944 |     4625221 |      725059 |    11736957 |     2873805 |    14557549 |      367065 |     6763003 |     3098654 |     1026137
    miss rate                        |      85.89% |      94.00% |      59.59% |      88.01% |      73.60% |      24.54% |      48.84% |      57.86% |      56.73% |      92.53% |      15.97% |      91.21% |       2.57% |      86.63% |      58.49% |      42.49%
    mpki                             |       11.97 |        0.04 |       24.49 |       28.37 |       22.64 |        1.80 |        5.14 |       18.23 |        0.17 |       19.54 |        1.66 |       30.59 |        0.08 |        5.29 |        1.32 |        0.22
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |   111224955 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      485.87 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      375.87 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      96.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
