                                   | Core 0    
  Instructions                     |   99999981
  Cycles                           |  393164231
  IPC                              |       0.25
  Time (ns)                        |  131054744
Branch predictor stats             |           
  num correct                      |   23433647
  num incorrect                    |    2590854
  misprediction rate               |      9.96%
  mpki                             |      25.91
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    8435880
    num misses                     |       7367
    miss rate                      |      0.09%
    mpki                           |       0.07
  D-TLB                            |           
    num accesses                   |   34662789
    num misses                     |     538331
    miss rate                      |      1.55%
    mpki                           |       5.38
  L2 TLB                           |           
    num accesses                   |     545698
    num misses                     |     457793
    miss rate                      |     83.89%
    mpki                           |       4.58
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    8435880
    num cache misses               |     255393
    miss rate                      |      3.03%
    mpki                           |       2.55
  Cache L1-D                       |           
    num cache accesses             |   34662789
    num cache misses               |    3096522
    miss rate                      |      8.93%
    mpki                           |      30.97
  Cache L2                         |           
    num cache accesses             |    3390629
    num cache misses               |    3326221
    miss rate                      |     98.10%
    mpki                           |      33.26
  Cache L3                         |           
    num cache accesses             |    3365065
    num cache misses               |    3246014
    miss rate                      |     96.46%
    mpki                           |      32.46
DRAM summary                       |           
  num dram accesses                |    6475644
  average dram access latency (ns) |      51.09
  average dram queueing delay      |       1.08
Coherency Traffic                  |           
  num loads from dram              |    2968799
  num loads from dram cache        |          0
  num loads from remote cache      |          0
