                                     | Core 0       | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      
  Instructions                       |  11952841640 |  1848370279 |   249999989 |  2374165461 |   869896051 |  8917903397 |  5786493544 |  10641718057
  Cycles                             |   6740072571 |  6740072567 |  6740070087 |  6740072674 |  6740072884 |  6740072565 |  6740072603 |   6740072566
  IPC                                |         1.77 |        0.27 |        0.04 |        0.35 |        0.13 |        1.32 |        0.86 |         1.58
  Time (ns)                          |   2246690857 |  2246690856 |  2246690029 |  2246690892 |  2246690962 |  2246690855 |  2246690868 |   2246690856
Branch predictor stats               |              |             |             |             |             |             |             |             
  num correct                        |    681558840 |    16777245 |    43244780 |   127111226 |   119578587 |   410667992 |   872496714 |    709192065
  num incorrect                      |    115307069 |      112378 |    11689069 |     2973729 |    16430325 |     3415873 |    98156298 |    121686050
  misprediction rate                 |       14.47% |       0.67% |      21.28% |       2.29% |      12.08% |       0.82% |      10.11% |       14.65%
  mpki                               |         9.65 |        0.06 |       46.76 |        1.25 |       18.89 |        0.38 |       16.96 |        11.43
TLB Summary                          |              |             |             |             |             |             |             |             
  I-TLB                              |              |             |             |             |             |             |             |             
    num accesses                     |   1342445531 |   163361044 |    23761816 |   237026457 |   152414325 |   682255741 |   926605329 |   1291236358
    num misses                       |           56 |           3 |           3 |          47 |         105 |          43 |       34074 |           18
    miss rate                        |        0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00%
    mpki                             |         0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |         0.00
  D-TLB                              |              |             |             |             |             |             |             |             
    num accesses                     |   5615784764 |   503427419 |    88558906 |   824601971 |   405332084 |  5131658311 |  2331366090 |   4487116173
    num misses                       |      3625189 |      899679 |    21160331 |     1271580 |    15773637 |      691796 |    13055697 |     31873228
    miss rate                        |        0.06% |       0.18% |      23.89% |       0.15% |       3.89% |       0.01% |       0.56% |        0.71%
    mpki                             |         0.30 |        0.49 |       84.64 |        0.54 |       18.13 |        0.08 |        2.26 |         3.00
  L2 TLB                             |              |             |             |             |             |             |             |             
    num accesses                     |      3625245 |      899682 |    21160334 |     1271627 |    15773742 |      691839 |    13089771 |     31873246
    num misses                       |       571577 |      899002 |    10898861 |      391173 |     4729307 |      198628 |     1863314 |       243368
    miss rate                        |       15.77% |      99.92% |      51.51% |      30.76% |      29.98% |      28.71% |      14.23% |        0.76%
    mpki                             |         0.05 |        0.49 |       43.60 |        0.16 |        5.44 |        0.02 |        0.32 |         0.02
Cache Summary                        |              |             |             |             |             |             |             |             
  Cache L1-I                         |              |             |             |             |             |             |             |             
    num cache accesses               |   1342445531 |   163361044 |    23761816 |   237026457 |   152414325 |   682255741 |   926605329 |   1291236358
    num cache misses                 |      3908523 |     1299263 |      207914 |      246077 |     3519891 |      615295 |    17690135 |     11513910
    miss rate                        |        0.29% |       0.80% |       0.87% |       0.10% |       2.31% |       0.09% |       1.91% |        0.89%
    mpki                             |         0.33 |        0.70 |        0.83 |        0.10 |        4.05 |        0.07 |        3.06 |         1.08
  Cache L1-D                         |              |             |             |             |             |             |             |             
    num cache accesses               |   5615784764 |   503427419 |    88558906 |   824601971 |   405332084 |  5131658311 |  2331366090 |   4487116173
    num cache misses                 |     34449932 |    95049549 |    28838848 |    29210485 |    23314485 |    48240519 |    21938103 |     21917711
    miss rate                        |        0.61% |      18.88% |      32.56% |       3.54% |       5.75% |       0.94% |       0.94% |        0.49%
    mpki                             |         2.88 |       51.42 |      115.36 |       12.30 |       26.80 |        5.41 |        3.79 |         2.06
  Cache L2                           |              |             |             |             |             |             |             |             
    num cache accesses               |     38361474 |    96351922 |    33009454 |    33758875 |    32315564 |    48876838 |    40425315 |     33683184
    num cache misses                 |     26930705 |    62659503 |    24735688 |    23980848 |    23121368 |    33767600 |    21330536 |      4678259
    miss rate                        |       70.20% |      65.03% |      74.94% |      71.04% |      71.55% |      69.09% |      52.77% |       13.89%
    mpki                             |         2.25 |       33.90 |       98.94 |       10.10 |       26.58 |        3.79 |        3.69 |         0.44
  Cache L3                           |              |             |             |             |             |             |             |             
    num cache accesses               |     26934006 |    62662613 |    28725375 |    28413003 |    28613080 |    33789903 |    22131222 |      4938233
    num cache misses                 |       502756 |    57564095 |    20751084 |    21314088 |    18301884 |     9297976 |     6773431 |      1805984
    miss rate                        |        1.87% |      91.86% |      72.24% |      75.02% |      63.96% |      27.52% |      30.61% |       36.57%
    mpki                             |         0.04 |       31.14 |       83.00 |        8.98 |       21.04 |        1.04 |        1.17 |         0.17
DRAM summary                         |              |             |             |             |             |             |             |             
  num dram accesses                  |    211447007 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  average dram access latency (ns)   |       233.44 |         inf |         inf |         inf |         inf |         inf |         inf |          inf
  average dram queueing delay        |       123.43 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |         0.00
  average dram bandwidth utilization |       94.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00%
Coherency Traffic                    |              |             |             |             |             |             |             |             
  num loads from dram                |            0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  num loads from dram cache          |            0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  num loads from remote cache        |            0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
