                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   420978893 |  1747264400 |  1253415657 |  1055918770 |  1278938252 |  1984528661 |  5908723479 |  1435958394 |   513803387 |   249999886 |   720919024 |   526933268 |  2270576800 |   697318343 |   384599821 |  2003095397
  Cycles                             |  3317551500 |  3317552405 |  3317552439 |  3317552892 |  3317552149 |  3317551500 |  3317551500 |  3317552574 |  3317552467 |  3317547254 |  3317553086 |  3317551822 |  3317552876 |  3317552856 |  3317552719 |  3317552097
  IPC                                |        0.13 |        0.53 |        0.38 |        0.32 |        0.39 |        0.60 |        1.78 |        0.43 |        0.15 |        0.08 |        0.22 |        0.16 |        0.68 |        0.21 |        0.12 |        0.60
  Time (ns)                          |  1105850500 |  1105850802 |  1105850813 |  1105850964 |  1105850716 |  1105850500 |  1105850500 |  1105850858 |  1105850822 |  1105849085 |  1105851029 |  1105850607 |  1105850959 |  1105850952 |  1105850906 |  1105850699
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    70749507 |   140495505 |    71316746 |    24124766 |    56236440 |   255573774 |   272091991 |   219694457 |    31229485 |    34399075 |   108443758 |     4783245 |   151064370 |    37279071 |    30493322 |   369671928
  num incorrect                      |     6519367 |    23604164 |    12066802 |      429162 |     3196460 |    59642407 |     2262419 |    56222229 |    18793075 |     4720676 |    24230123 |       32038 |    25965025 |      871723 |     2503160 |    25218634
  misprediction rate                 |       8.44% |      14.38% |      14.47% |       1.75% |       5.38% |      18.92% |       0.82% |      20.38% |      37.57% |      12.07% |      18.26% |       0.67% |      14.67% |       2.28% |       7.59% |       6.39%
  mpki                               |       15.49 |       13.51 |        9.63 |        0.41 |        2.50 |       30.05 |        0.38 |       39.15 |       36.58 |       18.88 |       33.61 |        0.06 |       11.44 |        1.25 |        6.51 |       12.59
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
