                                   | Core 0    
  Instructions                     |  499999988
  Cycles                           |  372149969
  IPC                              |       1.34
  Time (ns)                        |  124049990
Branch predictor stats             |           
  num correct                      |   27991202
  num incorrect                    |    4784151
  misprediction rate               |     14.60%
  mpki                             |       9.57
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   55470952
    num misses                     |         56
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  236294951
    num misses                     |     329174
    miss rate                      |      0.14%
    mpki                           |       0.66
  L2 TLB                           |           
    num accesses                   |     329230
    num misses                     |      32373
    miss rate                      |      9.83%
    mpki                           |       0.06
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   55470952
    num cache misses               |     158134
    miss rate                      |      0.29%
    mpki                           |       0.32
  Cache L1-D                       |           
    num cache accesses             |  236294951
    num cache misses               |    1476584
    miss rate                      |      0.62%
    mpki                           |       2.95
  Cache L2                         |           
    num cache accesses             |    1637076
    num cache misses               |    1205985
    miss rate                      |     73.67%
    mpki                           |       2.41
  Cache L3                         |           
    num cache accesses             |    1208612
    num cache misses               |     799239
    miss rate                      |     66.13%
    mpki                           |       1.60
DRAM summary                       |           
  num dram accesses                |    1136779
  average dram access latency (ns) |      92.11
  average dram queueing delay      |       7.07
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
