                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |   249999973 |   839026979 |  1969944706 |  1608037807 |   935092552 |   508635280 |  1159806534 |  1879674855
  Cycles                             |  1089689700 |  1089692057 |  1089692100 |  1089692100 |  1089692206 |  1089692102 |  1089691981 |  1089692082
  IPC                                |        0.23 |        0.77 |        1.81 |        1.48 |        0.86 |        0.47 |        1.06 |        1.72
  Time (ns)                          |   363229900 |   363230686 |   363230700 |   363230700 |   363230735 |   363230701 |   363230660 |   363230694
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    40600608 |    19122099 |   112510299 |    70086470 |     1218586 |    30919636 |   174935727 |   248920483
  num incorrect                      |     2521753 |      339020 |    19018552 |     3991284 |       20652 |    18606302 |    19602406 |    25278990
  misprediction rate                 |       5.85% |       1.74% |      14.46% |       5.39% |       1.67% |      37.57% |      10.08% |       9.22%
  mpki                               |       10.09 |        0.40 |        9.65 |        2.48 |        0.02 |       36.58 |       16.90 |       13.45
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    41868591 |    75761885 |   221387885 |   153893533 |   107109866 |    60709289 |   185595829 |   282953892
    num misses                       |           4 |           4 |          56 |           8 |           6 |          10 |        6850 |        1293
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    75636447 |   329387727 |   925072252 |   492429783 |   699499586 |   233854472 |   466262913 |   736765939
    num misses                       |       88470 |      167981 |      597210 |      148547 |    25280936 |     1609396 |     2530347 |      234376
    miss rate                        |       0.12% |       0.05% |       0.06% |       0.03% |       3.61% |       0.69% |       0.54% |       0.03%
    mpki                             |        0.35 |        0.20 |        0.30 |        0.09 |       27.04 |        3.16 |        2.18 |        0.12
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |       88474 |      167985 |      597266 |      148555 |    25280942 |     1609406 |     2537197 |      235669
    num misses                       |       88474 |       92277 |       94137 |        3943 |    18104309 |     1279373 |      364918 |        6970
    miss rate                        |     100.00% |      54.93% |      15.76% |       2.65% |      71.61% |      79.49% |      14.38% |       2.96%
    mpki                             |        0.35 |        0.11 |        0.05 |        0.00 |       19.36 |        2.52 |        0.31 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |    41868591 |    75761885 |   221387885 |   153893533 |   107109866 |    60709289 |   185595829 |   282953892
    num cache misses                 |        1395 |       15987 |      303083 |       14352 |       90128 |       12045 |     3051221 |     5787863
    miss rate                        |       0.00% |       0.02% |       0.14% |       0.01% |       0.08% |       0.02% |       1.64% |       2.05%
    mpki                             |        0.01 |        0.02 |        0.15 |        0.01 |        0.10 |        0.02 |        2.63 |        3.08
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |    75636447 |   329387727 |   925072252 |   492429783 |   699499586 |   233854472 |   466262913 |   736765939
    num cache misses                 |     5660704 |     8284596 |     5521778 |    13211128 |     7643437 |     3640818 |     4036257 |     9534159
    miss rate                        |       7.48% |       2.52% |       0.60% |       2.68% |       1.09% |       1.56% |       0.87% |       1.29%
    mpki                             |       22.64 |        9.87 |        2.80 |        8.22 |        8.17 |        7.16 |        3.48 |        5.07
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7674108 |     8316051 |     5825294 |    13299897 |     7741488 |     4237961 |     7243255 |    15374593
    num cache misses                 |     5662099 |     5858017 |     2143485 |      424793 |     5148384 |     2351594 |     1541349 |      434247
    miss rate                        |      73.78% |      70.44% |      36.80% |       3.19% |      66.50% |      55.49% |      21.28% |       2.82%
    mpki                             |       22.65 |        6.98 |        1.09 |        0.26 |        5.51 |        4.62 |        1.33 |        0.23
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7674108 |     5878900 |     2149477 |      500815 |     5158130 |     3073667 |     1700004 |      491244
    num cache misses                 |     5624484 |     5837009 |       96976 |      406929 |     5017930 |     2105175 |     1385214 |      381001
    miss rate                        |      73.29% |      99.29% |       4.51% |      81.25% |      97.28% |      68.49% |      81.48% |      77.56%
    mpki                             |       22.50 |        6.96 |        0.05 |        0.25 |        5.37 |        4.14 |        1.19 |        0.20
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    27428330 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      145.76 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       35.75 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      75.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
