                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  2128950296 |  1066464387 |  2171045070 |  1146563775 |  3787913559 |   486423894 |  6058257949 |  3418212434 |  8246781927 |   452625205 |   687272317 |  3888055890 |   249999981 |  1717054273 |  1857409089 |  7338687947
  Cycles                             |  4478380267 |  4478379996 |  4478380089 |  4478379922 |  4478379917 |  4478380195 |  4478379929 |  4478379941 |  4478379918 |  4478380216 |  4478380330 |  4478379913 |  4478376061 |  4478380059 |  4478379928 |  4478379911
  IPC                                |        0.48 |        0.24 |        0.48 |        0.26 |        0.85 |        0.11 |        1.35 |        0.76 |        1.84 |        0.10 |        0.15 |        0.87 |        0.06 |        0.38 |        0.41 |        1.64
  Time (ns)                          |  1492793423 |  1492793332 |  1492793363 |  1492793308 |  1492793306 |  1492793399 |  1492793310 |  1492793314 |  1492793306 |  1492793406 |  1492793444 |  1492793305 |  1492792021 |  1492793353 |  1492793310 |  1492793304
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   129396446 |    35108106 |     2824182 |    70584448 |   215454506 |    66873241 |   267080093 |    63585354 |  1521946792 |    75135329 |    54569217 |   179037950 |    58565837 |    39448366 |   282674881 |   488899598
  num incorrect                      |    77864647 |    16523681 |       47862 |     2543442 |    36456001 |     9184690 |    15169589 |     9613525 |   103824989 |     4565301 |     4479728 |     1488125 |     6500447 |      703179 |    60788611 |    83942849
  misprediction rate                 |      37.57% |      32.00% |       1.67% |       3.48% |      14.47% |      12.08% |       5.37% |      13.13% |       6.39% |       5.73% |       7.59% |       0.82% |       9.99% |       1.75% |      17.70% |      14.65%
  mpki                               |       36.57 |       15.49 |        0.02 |        2.22 |        9.62 |       18.88 |        2.50 |        2.81 |       12.59 |       10.09 |        6.52 |        0.38 |       26.00 |        0.41 |       32.73 |       11.44
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   254066875 |    83300855 |   248696266 |   109053726 |   424974552 |    85197533 |   577288685 |   325447442 |  1352264787 |    76349765 |    57371709 |   297446455 |    21135842 |   153609100 |   256286896 |   890440885
    num misses                       |          10 |           3 |           6 |          22 |          56 |          92 |           8 |         110 |          39 |           4 |          42 |          43 |       17441 |           4 |         368 |          18
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.07 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   978996174 |   466810728 |  1624008290 |   381733734 |  1781077525 |   226686342 |  1843480943 |  1737166351 |  2687609195 |   136993461 |   189364449 |  2237322676 |    86633855 |   675177036 |   720837474 |  3094463237
    num misses                       |     6717917 |      481785 |    58539857 |     3048368 |     1149905 |     8830700 |      587322 |     3893235 |          23 |      164036 |      937974 |      301054 |     1331689 |      358478 |     3828160 |    21999977
    miss rate                        |       0.69% |       0.10% |       3.60% |       0.80% |       0.06% |       3.90% |       0.03% |       0.22% |       0.00% |       0.12% |       0.50% |       0.01% |       1.54% |       0.05% |       0.53% |       0.71%
    mpki                             |        3.16 |        0.45 |       26.96 |        2.66 |        0.30 |       18.15 |        0.10 |        1.14 |        0.00 |        0.36 |        1.36 |        0.08 |        5.33 |        0.21 |        2.06 |        3.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |     6717927 |      481788 |    58539863 |     3048390 |     1149961 |     8830792 |      587330 |     3893345 |          62 |      164040 |      938016 |      301097 |     1349130 |      358482 |     3828528 |    21999995
    num misses                       |     5339358 |      326670 |    41825243 |      288898 |      181413 |     2638933 |       14666 |       52800 |          62 |      164040 |      293010 |       87244 |     1140461 |      187921 |      363075 |      167992
    miss rate                        |      79.48% |      67.80% |      71.45% |       9.48% |      15.78% |      29.88% |       2.50% |       1.36% |     100.00% |     100.00% |      31.24% |      28.98% |      84.53% |      52.42% |       9.48% |       0.76%
