                                   | Core 0    
  Instructions                     |  499999882
  Cycles                           |  300368825
  IPC                              |       1.66
  Time (ns)                        |  100122942
Branch predictor stats             |           
  num correct                      |   42276330
  num incorrect                    |    6969949
  misprediction rate               |     14.15%
  mpki                             |      13.94
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   61159538
    num misses                     |        174
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  190148716
    num misses                     |     463320
    miss rate                      |      0.24%
    mpki                           |       0.93
  L2 TLB                           |           
    num accesses                   |     463494
    num misses                     |       4911
    miss rate                      |      1.06%
    mpki                           |       0.01
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   61159538
    num cache misses               |     560865
    miss rate                      |      0.92%
    mpki                           |       1.12
  Cache L1-D                       |           
    num cache accesses             |  190148716
    num cache misses               |    3044875
    miss rate                      |      1.60%
    mpki                           |       6.09
  Cache L2                         |           
    num cache accesses             |    3614435
    num cache misses               |    1862557
    miss rate                      |     51.53%
    mpki                           |       3.73
  Cache L3                         |           
    num cache accesses             |    1871261
    num cache misses               |     138529
    miss rate                      |      7.40%
    mpki                           |       0.28
DRAM summary                       |           
  num dram accesses                |     228979
  average dram access latency (ns) |      50.99
  average dram queueing delay      |       0.99
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
