                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   613375544 |  2266239244 |   624937583 |   898098503 |  1909544366 |  2046533826 |   360965184 |  1175261503 |  1919803058 |  3935941621 |   563042495 |  3553218639 |   249999886 |  2129788622 |  2028401025 |  1602461813
  Cycles                             |  2741093768 |  2741094546 |  2741094272 |  2741094764 |  2741093478 |  2741094642 |  2741094239 |  2741093405 |  2741093400 |  2741093939 |  2741093686 |  2741093287 |  2741089717 |  2741093406 |  2741093400 |  2741094407
  IPC                                |        0.22 |        0.83 |        0.23 |        0.33 |        0.70 |        0.75 |        0.13 |        0.43 |        0.70 |        1.44 |        0.21 |        1.30 |        0.09 |        0.78 |        0.74 |        0.58
  Time (ns)                          |   913697923 |   913698182 |   913698091 |   913698255 |   913697826 |   913698214 |   913698080 |   913697802 |   913697800 |   913697980 |   913697896 |   913697763 |   913696573 |   913697802 |   913697800 |   913698136
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    32792511 |   291979119 |    38319673 |    20199935 |   288012513 |    94239712 |     6956335 |     1524237 |   100017539 |   348000112 |    18023256 |   285754598 |    34399075 |   122280048 |    38891622 |   173359824
  num incorrect                      |      767380 |    68130919 |     1335484 |      358562 |    32309294 |      783503 |     9635551 |       25834 |    74195726 |    58042231 |     8544091 |    48015400 |     4720676 |    20662731 |     5911293 |    26401579
  misprediction rate                 |       2.29% |      18.92% |       3.37% |       1.74% |      10.09% |       0.82% |      58.07% |       1.67% |      42.59% |      14.29% |      32.16% |      14.39% |      12.07% |      14.46% |      13.19% |      13.22%
  mpki                               |        1.25 |       30.06 |        2.14 |        0.40 |       16.92 |        0.38 |       26.69 |        0.02 |       38.65 |       14.75 |       15.17 |       13.51 |       18.88 |        9.70 |        2.91 |       16.48
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    61597043 |   317788915 |    59529854 |    80792487 |   305632814 |   156566043 |    40085580 |   134641128 |   154150450 |   446633108 |    43880601 |   520535169 |    43801034 |   239974393 |   193554021 |   188381576
    num misses                       |          47 |         197 |          22 |           4 |       11194 |          43 |          14 |           6 |          52 |        1383 |           3 |          65 |          84 |          56 |          90 |          10
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   214224772 |   884950868 |   207851296 |   354863940 |   768191999 |  1177640047 |   134118379 |   879086016 |   562658872 |  1646518346 |   249347549 |  1703686606 |   116504258 |   998682211 |  1030226834 |   719816535
    num misses                       |      337779 |     1591245 |     1720945 |      181277 |     4211603 |      158132 |      962163 |    31640135 |       31908 |      872372 |      256118 |     9501941 |     4542193 |      645273 |     2296512 |     7426070
    miss rate                        |       0.16% |       0.18% |       0.83% |       0.05% |       0.55% |       0.01% |       0.72% |       3.60% |       0.01% |       0.05% |       0.10% |       0.56% |       3.90% |       0.06% |       0.22% |       1.03%
    mpki                             |        0.55 |        0.70 |        2.75 |        0.20 |        2.21 |        0.08 |        2.67 |       26.92 |        0.02 |        0.22 |        0.45 |        2.67 |       18.17 |        0.30 |        1.13 |        4.63
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |      337826 |     1591442 |     1720967 |      181281 |     4222797 |      158175 |      962177 |    31640141 |       31960 |      873755 |      256121 |     9502006 |     4542277 |      645329 |     2296602 |     7426080
    num misses                       |      103842 |      253629 |      155170 |       99502 |      604241 |       46026 |      962166 |    22603892 |       28432 |       27632 |      172274 |       60603 |     1361679 |      101599 |       31779 |      666263
    miss rate                        |      30.74% |      15.94% |       9.02% |      54.89% |      14.31% |      29.10% |     100.00% |      71.44% |      88.96% |       3.16% |      67.26% |       0.64% |      29.98% |      15.74% |       1.38% |       8.97%
    mpki                             |        0.17 |        0.11 |        0.25 |        0.11 |        0.32 |        0.02 |        2.67 |       19.23 |        0.01 |        0.01 |        0.31 |        0.02 |        5.45 |        0.05 |        0.02 |        0.42
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    61597043 |   317788915 |    59529854 |    80792487 |   305632814 |   156566043 |    40085580 |   134641128 |   154150450 |   446633108 |    43880601 |   520535169 |    43801034 |   239974393 |   193554021 |   188381576
    num cache misses                 |       60565 |     9876526 |      396444 |      107232 |     5684204 |      140754 |       31836 |      567559 |       43575 |     6136824 |       64466 |    17203336 |      950129 |      695112 |      353565 |      139434
    miss rate                        |       0.10% |       3.11% |       0.67% |       0.13% |       1.86% |       0.09% |       0.08% |       0.42% |       0.03% |       1.37% |       0.15% |       3.30% |       2.17% |       0.29% |       0.18% |       0.07%
    mpki                             |        0.10 |        4.36 |        0.63 |        0.12 |        2.98 |        0.07 |        0.09 |        0.48 |        0.02 |        1.56 |        0.11 |        4.84 |        3.80 |        0.33 |        0.17 |        0.09
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   214224772 |   884950868 |   207851296 |   354863940 |   768191999 |  1177640047 |   134118379 |   879086016 |   562658872 |  1646518346 |   249347549 |  1703686606 |   116504258 |   998682211 |  1030226834 |   719816535
    num cache misses                 |     7662203 |    11049712 |    12145131 |     8942890 |     7044039 |    11069080 |    10368029 |     9655080 |     1973811 |    15187706 |    12503268 |    57407295 |     6655010 |     6124984 |    16000286 |    23086464
    miss rate                        |       3.58% |       1.25% |       5.84% |       2.52% |       0.92% |       0.94% |       7.73% |       1.10% |       0.35% |       0.92% |       5.01% |       3.37% |       5.71% |       0.61% |       1.55% |       3.21%
    mpki                             |       12.49 |        4.88 |       19.43 |        9.96 |        3.69 |        5.41 |       28.72 |        8.22 |        1.03 |        3.86 |       22.21 |       16.16 |       26.62 |        2.88 |        7.89 |       14.41
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     8768590 |    21352632 |    13408413 |     9050858 |    12945066 |    11221754 |    11809658 |    10223027 |     2084332 |    21332030 |    13362594 |    74625902 |     8907531 |     6825790 |    16571317 |    23420712
    num cache misses                 |     6247561 |     9481992 |     5794115 |     6483464 |     6840299 |     7746904 |    10399865 |     7146643 |     1921741 |     8439215 |    11159245 |    11508699 |     6530952 |     4802982 |     8474442 |    16182161
    miss rate                        |      71.25% |      44.41% |      43.21% |      71.63% |      52.84% |      69.03% |      88.06% |      69.91% |      92.20% |      39.56% |      83.51% |      15.42% |      73.32% |      70.37% |      51.14% |      69.09%
