                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   249999886 |  1327355915 |  2262752996 |  1856422000 |  1658524281 |   925729804 |   560140512 |  1443505948 |   277428870 |  2345817110 |   559290989 |  2217524892 |   807995475 |  1408530725 |  2761021282 |  1390316382
  Cycles                             |  1633700339 |  1633704652 |  1633704613 |  1633704635 |  1633704649 |  1633704982 |  1633704955 |  1633704613 |  1633704731 |  1633704620 |  1633704736 |  1633704620 |  1633704878 |  1633704626 |  1633704654 |  1633704616
  IPC                                |        0.15 |        0.81 |        1.39 |        1.14 |        1.02 |        0.57 |        0.34 |        0.88 |        0.17 |        1.44 |        0.34 |        1.36 |        0.49 |        0.86 |        1.69 |        0.85
  Time (ns)                          |   544566780 |   544568217 |   544568204 |   544568212 |   544568216 |   544568327 |   544568318 |   544568204 |   544568244 |   544568207 |   544568245 |   544568207 |   544568293 |   544568209 |   544568218 |   544568205
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    34399075 |    70337586 |   200740255 |    85475055 |    95125614 |    56251311 |    30359721 |   220874597 |    47099722 |   102779980 |    34488674 |   178292300 |    18417521 |    26676011 |   183850227 |   209780246
  num incorrect                      |     4720676 |    50849628 |    33498799 |      709150 |    16104679 |    33849906 |      710130 |    56505452 |     4276482 |     5845586 |     1118256 |    29945178 |      327272 |     3978705 |    31568663 |    23510801
  misprediction rate                 |      12.07% |      41.96% |      14.30% |       0.82% |      14.48% |      37.57% |       2.29% |      20.37% |       8.32% |       5.38% |       3.14% |      14.38% |       1.75% |      12.98% |      14.65% |      10.08%
  mpki                               |       18.88 |       38.31 |       14.80 |        0.38 |        9.71 |       36.57 |        1.27 |       39.14 |       15.41 |        2.49 |        2.00 |       13.50 |        0.41 |        2.82 |       11.43 |       16.91
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    43801034 |   107355007 |   256935346 |   142013566 |   186737711 |   110423626 |    56601891 |   187793449 |    32209439 |   224057628 |    53182441 |   324842963 |    72427276 |   134282638 |   334999359 |   222483763
    num misses                       |          84 |          52 |         839 |          43 |          56 |          10 |          47 |          19 |          42 |           8 |          22 |          65 |           4 |          78 |          18 |        8298
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   116504258 |   390202992 |   946074755 |  1068255671 |   777796023 |   425726139 |   194208608 |   485795970 |    96223212 |   716277049 |   184643342 |  1063085253 |   315978316 |   715342315 |  1164121944 |   559272487
    num misses                       |     4543990 |       22685 |      496501 |      143359 |      501581 |     2913166 |      295339 |     2146823 |     1618931 |      221590 |     1575713 |     5934493 |      162675 |     1639405 |     8267285 |     3087331
