                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   249999886 |  1459761894 |  2271810654 |  3509030074 |  1724171980 |   619244304 |   624798391 |  1424384128 |   289151222 |  2293935689 |   601745098 |  2121054108 |   905371006 |  1144018269 |  2654752491 |  1507005453
  Cycles                             |  1840029914 |  1840034577 |  1840033814 |  1840033800 |  1840034165 |  1840033800 |  1840034007 |  1840034478 |  1840034478 |  1840033800 |  1840033868 |  1840033800 |  1840033802 |  1840034163 |  1840034243 |  1840034104
  IPC                                |        0.14 |        0.79 |        1.23 |        1.91 |        0.94 |        0.34 |        0.34 |        0.77 |        0.16 |        1.25 |        0.33 |        1.15 |        0.49 |        0.62 |        1.44 |        0.82
  Time (ns)                          |   613343305 |   613344859 |   613344605 |   613344600 |   613344722 |   613344600 |   613344669 |   613344826 |   613344826 |   613344600 |   613344623 |   613344600 |   613344601 |   613344721 |   613344748 |   613344702
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    34399075 |    76525824 |   201886568 |   161596817 |    98572862 |    37612107 |    33887425 |   217883522 |    48231294 |   100937173 |    37013667 |   170610141 |    20405060 |    22033655 |   177126901 |   227228427
  num incorrect                      |     4720676 |    56480620 |    33706581 |     1345339 |    16687516 |    22633225 |      792496 |    55795424 |     4458072 |     5736556 |     1203052 |    28639780 |      362349 |     3272255 |    30310676 |    25570733
  misprediction rate                 |      12.07% |      42.46% |      14.31% |       0.83% |      14.48% |      37.57% |       2.29% |      20.39% |       8.46% |       5.38% |       3.15% |      14.37% |       1.74% |      12.93% |      14.61% |      10.12%
  mpki                               |       18.88 |       38.69 |       14.84 |        0.38 |        9.68 |       36.55 |        1.27 |       39.17 |       15.42 |        2.50 |        2.00 |       13.50 |        0.40 |        2.86 |       11.42 |       16.97
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    43801034 |   116074679 |   257928976 |   268461829 |   193866442 |    73849978 |    62893950 |   185333971 |    33665998 |   218744647 |    57313973 |   310735129 |    81404009 |   109171771 |   322017284 |   241322444
    num misses                       |          84 |          52 |         839 |          43 |          56 |          10 |          47 |          19 |          42 |           8 |          22 |          65 |           4 |          74 |          18 |        8894
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   116504258 |   426642401 |   949640084 |  2019198399 |   809329246 |   285007896 |   218333252 |   479342317 |   102233717 |   698761479 |   199468473 |  1016930870 |   357572935 |   580094995 |  1118924660 |   607318526
    num misses                       |     4541559 |       25434 |      497136 |      272190 |      523485 |     1939714 |      340221 |     2117549 |     1836021 |      220188 |     1709870 |     5678097 |      183446 |     1346348 |     7899835 |     3423219
    miss rate                        |       3.90% |       0.01% |       0.05% |       0.01% |       0.06% |       0.68% |       0.16% |       0.44% |       1.80% |       0.03% |       0.86% |       0.56% |       0.05% |       0.23% |       0.71% |       0.56%
    mpki                             |       18.17 |        0.02 |        0.22 |        0.08 |        0.30 |        3.13 |        0.54 |        1.49 |        6.35 |        0.10 |        2.84 |        2.68 |        0.20 |        1.18 |        2.98 |        2.27
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |     4541643 |       25486 |      497975 |      272233 |      523541 |     1939724 |      340268 |     2117568 |     1836063 |      220196 |     1709892 |     5678162 |      183450 |     1346422 |     7899853 |     3432113
    num misses                       |     1361660 |       22701 |       15904 |       78046 |       82300 |     1540160 |      105985 |      443634 |      497796 |        5664 |      152725 |       36014 |      100179 |       17993 |       60086 |      489832
    miss rate                        |      29.98% |      89.07% |       3.19% |      28.67% |      15.72% |      79.40% |      31.15% |      20.95% |      27.11% |       2.57% |       8.93% |       0.63% |      54.61% |       1.34% |       0.76% |      14.27%
    mpki                             |        5.45 |        0.02 |        0.01 |        0.02 |        0.05 |        2.49 |        0.17 |        0.31 |        1.72 |        0.00 |        0.25 |        0.02 |        0.11 |        0.02 |        0.02 |        0.33
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    43801034 |   116074679 |   257928976 |   268461829 |   193866442 |    73849978 |    62893950 |   185333971 |    33665998 |   218744647 |    57313973 |   310735129 |    81404009 |   109171771 |   322017284 |   241322444
    num cache misses                 |      978441 |       55073 |     3539305 |      242774 |      578216 |       44170 |       62360 |     1105275 |       39806 |       58410 |      395326 |    10432866 |      113476 |      215325 |     2992431 |     4640605
    miss rate                        |       2.23% |       0.05% |       1.37% |       0.09% |       0.30% |       0.06% |       0.10% |       0.60% |       0.12% |       0.03% |       0.69% |       3.36% |       0.14% |       0.20% |       0.93% |       1.92%
