                                     | Core 0      | Core 1       | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  1159769158 |  10877759489 |   448862241 |  8753067850 |   474671345 |  8366833143 |  3857844089 |   525495610 |   885043527 |  1763037947 |  1075479834 |  3895456133 |   249999981 |   681410886 |  9777267945 |  7752926353
  Cycles                             |  6048471926 |   6048471909 |  6048471905 |  6048471925 |  6048471920 |  6048471920 |  6048471910 |  6048472162 |  6048472257 |  6048471900 |  6048472216 |  6048471909 |  6048466643 |  6048472144 |  6048471909 |  6048471917
  IPC                                |        0.19 |         1.80 |        0.07 |        1.45 |        0.08 |        1.38 |        0.64 |        0.09 |        0.15 |        0.29 |        0.18 |        0.64 |        0.04 |        0.11 |        1.62 |        1.28
  Time (ns)                          |  2016157309 |   2016157303 |  2016157302 |  2016157309 |  2016157307 |  2016157307 |  2016157304 |  2016157388 |  2016157419 |  2016157300 |  2016157406 |  2016157303 |  2016155548 |  2016157382 |  2016157303 |  2016157306
Branch predictor stats               |             |              |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    62026679 |   2007496391 |    74515278 |   775508953 |    65253345 |  1115691942 |   581828842 |    89273285 |     8021196 |    40614169 |    35250005 |   208836290 |    58565837 |    12600544 |   651155677 |   342409131
  num incorrect                      |     1451109 |    136948996 |     4511027 |   129342830 |     8970575 |   112540121 |    65369224 |     8160573 |       53702 |      724289 |    16609041 |   148316331 |     6500447 |    17564418 |   111825575 |    19438480
  misprediction rate                 |       2.29% |        6.39% |       5.71% |      14.29% |      12.09% |       9.16% |      10.10% |       8.38% |       0.67% |       1.75% |      32.03% |      41.53% |       9.99% |      58.23% |      14.66% |       5.37%
  mpki                               |        1.25 |        12.59 |       10.05 |       14.78 |       18.90 |       13.45 |       16.94 |       15.53 |        0.06 |        0.41 |       15.44 |       38.07 |       26.00 |       25.78 |       11.44 |        2.51
TLB Summary                          |             |              |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |              |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   115874880 |   1783679303 |    75675441 |   993969914 |    83137572 |  1253974919 |   617685033 |    60982314 |    78220410 |   157562693 |    83975318 |   316634894 |    21135842 |    73757922 |  1186380702 |   738256915
    num misses                       |          47 |           39 |           4 |        2971 |          92 |        5415 |       22778 |          42 |           3 |           4 |           3 |          52 |       17441 |          14 |          18 |           8
