                                   | Core 0    
  Instructions                     |   99999965
  Cycles                           |   79534981
  IPC                              |       1.26
  Time (ns)                        |   26511660
Branch predictor stats             |           
  num correct                      |   14892968
  num incorrect                    |    1727764
  misprediction rate               |     10.40%
  mpki                             |      17.28
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   16017485
    num misses                     |        569
    miss rate                      |      0.00%
    mpki                           |       0.01
  D-TLB                            |           
    num accesses                   |   40530029
    num misses                     |     232165
    miss rate                      |      0.57%
    mpki                           |       2.32
  L2 TLB                           |           
    num accesses                   |     232734
    num misses                     |      36044
    miss rate                      |     15.49%
    mpki                           |       0.36
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   16017485
    num cache misses               |     283384
    miss rate                      |      1.77%
    mpki                           |       2.83
  Cache L1-D                       |           
    num cache accesses             |   40530029
    num cache misses               |     364524
    miss rate                      |      0.90%
    mpki                           |       3.65
  Cache L2                         |           
    num cache accesses             |     662803
    num cache misses               |     361553
    miss rate                      |     54.55%
    mpki                           |       3.62
  Cache L3                         |           
    num cache accesses             |     376479
    num cache misses               |     139526
    miss rate                      |     37.06%
    mpki                           |       1.40
DRAM summary                       |           
  num dram accesses                |     150398
  average dram access latency (ns) |      70.02
  average dram queueing delay      |       5.00
Coherency Traffic                  |           
  num loads from dram              |     130164
  num loads from dram cache        |          0
  num loads from remote cache      |          0
