                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      
  Instructions                       |  6088549789 |  1602356734 |   249999989 |  2116415604 |   867491425 |  6002473007 |  5428522433 |  10749033157
  Cycles                             |  6655815233 |  6655815112 |  6655811366 |  6655815062 |  6655815437 |  6655815000 |  6655814949 |   6655814926
  IPC                                |        0.91 |        0.24 |        0.04 |        0.32 |        0.13 |        0.90 |        0.82 |         1.61
  Time (ns)                          |  2218605078 |  2218605037 |  2218603789 |  2218605021 |  2218605146 |  2218605000 |  2218604983 |   2218604975
Branch predictor stats               |             |             |             |             |             |             |             |             
  num correct                        |   347102394 |    14542125 |    43244780 |   113114707 |   119254548 |   276427045 |   818967572 |    716171271
  num incorrect                      |    58712426 |       97400 |    11689069 |     2646533 |    16383528 |     2301565 |    91957165 |    122945336
  misprediction rate                 |      14.47% |       0.67% |      21.28% |       2.29% |      12.08% |       0.83% |      10.09% |       14.65%
  mpki                               |        9.64 |        0.06 |       46.76 |        1.25 |       18.89 |        0.38 |       16.94 |        11.44
TLB Summary                          |             |             |             |             |             |             |             |             
  I-TLB                              |             |             |             |             |             |             |             |             
    num accesses                     |   684274369 |   141618139 |    23761816 |   211181574 |   151997036 |   459226854 |   868907057 |   1304390446
    num misses                       |          56 |           3 |           3 |          47 |         105 |          43 |       31466 |           18
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |         0.00
  D-TLB                              |             |             |             |             |             |             |             |             
    num accesses                     |  2860829573 |   436394048 |    88558906 |   735172486 |   404241178 |  3453999096 |  2184672104 |   4532902849
    num misses                       |     1849402 |      779761 |    21159771 |     1136779 |    15737312 |      465736 |    12059687 |     32246097
    miss rate                        |       0.06% |       0.18% |      23.89% |       0.15% |       3.89% |       0.01% |       0.55% |        0.71%
    mpki                             |        0.30 |        0.49 |       84.64 |        0.54 |       18.14 |        0.08 |        2.22 |         3.00
  L2 TLB                             |             |             |             |             |             |             |             |             
    num accesses                     |     1849458 |      779764 |    21159774 |     1136826 |    15737417 |      465779 |    12091153 |     32246115
    num misses                       |      291263 |      779174 |    10898394 |      348964 |     4717083 |      133317 |     1721461 |       246555
    miss rate                        |      15.75% |      99.92% |      51.51% |      30.70% |      29.97% |      28.62% |      14.24% |        0.76%
    mpki                             |        0.05 |        0.49 |       43.59 |        0.16 |        5.44 |        0.02 |        0.32 |         0.02
Cache Summary                        |             |             |             |             |             |             |             |             
  Cache L1-I                         |             |             |             |             |             |             |             |             
    num cache accesses               |   684274369 |   141618139 |    23761816 |   211181574 |   151997036 |   459226854 |   868907057 |   1304390446
    num cache misses                 |     1991503 |     1100458 |      190141 |      209144 |     3321726 |      416609 |    16336970 |     11451511
    miss rate                        |       0.29% |       0.78% |       0.80% |       0.10% |       2.19% |       0.09% |       1.88% |        0.88%
    mpki                             |        0.33 |        0.69 |        0.76 |        0.10 |        3.83 |        0.07 |        3.01 |         1.07
  Cache L1-D                         |             |             |             |             |             |             |             |             
    num cache accesses               |  2860829573 |   436394048 |    88558906 |   735172486 |   404241178 |  3453999096 |  2184672104 |   4532902849
    num cache misses                 |    17558187 |    82377005 |    28759796 |    26025850 |    23077279 |    32487157 |    20215865 |     21617825
    miss rate                        |       0.61% |      18.88% |      32.48% |       3.54% |       5.71% |       0.94% |       0.93% |        0.48%
    mpki                             |        2.88 |       51.41 |      115.04 |       12.30 |       26.60 |        5.41 |        3.72 |         2.01
  Cache L2                           |             |             |             |             |             |             |             |             
    num cache accesses               |    19571207 |    83477484 |    32667901 |    30072212 |    31091324 |    32958677 |    37273090 |     33248585
    num cache misses                 |    13755918 |    54249255 |    24335803 |    21176847 |    22664107 |    22758977 |    19633016 |      3747878
    miss rate                        |      70.29% |      64.99% |      74.49% |      70.42% |      72.90% |      69.05% |      52.67% |       11.27%
    mpki                             |        2.26 |       33.86 |       97.34 |       10.01 |       26.13 |        3.79 |        3.62 |         0.35
  Cache L3                           |             |             |             |             |             |             |             |             
    num cache accesses               |    13779551 |    54249276 |    28079094 |    25072014 |    27364128 |    22817755 |    20356001 |      3931400
    num cache misses                 |     8765244 |    49851564 |    17697820 |    18745307 |    15778373 |    14932267 |     6306170 |      1216537
    miss rate                        |      63.61% |      91.89% |      63.03% |      74.77% |      57.66% |      65.44% |      30.98% |       30.94%
    mpki                             |        1.44 |       31.11 |       70.79 |        8.86 |       18.19 |        2.49 |        1.16 |         0.11
DRAM summary                         |             |             |             |             |             |             |             |             
  num dram accesses                  |   209316415 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  average dram access latency (ns)   |      267.57 |         inf |         inf |         inf |         inf |         inf |         inf |          inf
  average dram queueing delay        |      157.56 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |         0.00
  average dram bandwidth utilization |      94.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
