                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   372254337 |  6285650267 |   269510349 |   374332229 |   249999973 |  1275225248 |   630964918 |   253409428 |  4331935863 |   600811137 |  1464146457 |   471615879 |  4329498205 |  1282234285 |  2302517266 |  4616611653
  Cycles                             |  3487137634 |  3487136100 |  3487137874 |  3487137272 |  3487132736 |  3487136156 |  3487137555 |  3487136865 |  3487136100 |  3487137040 |  3487136369 |  3487136255 |  3487136114 |  3487136513 |  3487137021 |  3487136107
  IPC                                |        0.11 |        1.80 |        0.08 |        0.11 |        0.07 |        0.37 |        0.18 |        0.07 |        1.24 |        0.17 |        0.42 |        0.14 |        1.24 |        0.37 |        0.66 |        1.32
  Time (ns)                          |  1162379212 |  1162378700 |  1162379292 |  1162379091 |  1162377579 |  1162378719 |  1162379185 |  1162378955 |  1162378700 |  1162379014 |  1162378790 |  1162378752 |  1162378705 |  1162378838 |  1162379007 |  1162378703
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    29486214 |  1160020986 |    46202493 |     7105088 |    40600608 |    77517371 |    38703612 |    34857343 |   190623272 |    18617716 |   159745892 |     4253858 |   348222033 |     1672345 |   130852393 |   614930231
  num incorrect                      |     2414594 |    79135698 |     4113834 |     9873557 |     2521753 |    46646969 |     1374212 |     4784786 |    10829492 |     8901695 |    24395287 |       28432 |    58507830 |       28342 |    22097356 |    62102126
  misprediction rate                 |       7.57% |       6.39% |       8.18% |      58.15% |       5.85% |      37.57% |       3.43% |      12.07% |       5.38% |      32.35% |      13.25% |       0.66% |      14.38% |       1.67% |      14.45% |       9.17%
  mpki                               |        6.49 |       12.59 |       15.26 |       26.38 |       10.09 |       36.58 |        2.18 |       18.88 |        2.50 |       14.82 |       16.66 |        0.06 |       13.51 |        0.02 |        9.60 |       13.45
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    31480218 |  1030690017 |    31452090 |    41245849 |    41868591 |   152202282 |    60100931 |    44395128 |   413076258 |    46706149 |   171896699 |    41680492 |   634279161 |   146869129 |   258208987 |   692513600
    num misses                       |          42 |          39 |          42 |          14 |           4 |          10 |          22 |          84 |           8 |           3 |          10 |           3 |          65 |           6 |          56 |        3030
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   102472068 |  2048487411 |    93183522 |   138024835 |    75636447 |   586322876 |   210316074 |   118072604 |  1319539378 |   269545711 |   651782290 |   128081708 |  2076016974 |   959193978 |  1083049479 |  1801817167
    num misses                       |      500342 |          23 |     1547891 |      989570 |       88470 |     4033347 |     1721953 |     4604088 |      416695 |      274773 |     6736957 |      227309 |    11579947 |    34647841 |      701971 |      564232
    miss rate                        |       0.49% |       0.00% |       1.66% |       0.72% |       0.12% |       0.69% |       0.82% |       3.90% |       0.03% |       0.10% |       1.03% |       0.18% |       0.56% |       3.61% |       0.06% |       0.03%
    mpki                             |        1.34 |        0.00 |        5.74 |        2.64 |        0.35 |        3.16 |        2.73 |       18.17 |        0.10 |        0.46 |        4.60 |        0.48 |        2.67 |       27.02 |        0.30 |        0.12
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |      500384 |          62 |     1547933 |      989584 |       88474 |     4033357 |     1721975 |     4604172 |      416703 |      274776 |     6736967 |      227312 |    11580012 |    34647847 |      702027 |      567262
    num misses                       |      157873 |          62 |      425900 |      989573 |       88474 |     3206140 |      156183 |     1379076 |       10491 |      183593 |      594233 |      227135 |       73998 |    24707288 |      110608 |       16472
    miss rate                        |      31.55% |     100.00% |      27.51% |     100.00% |     100.00% |      79.49% |       9.07% |      29.95% |       2.52% |      66.82% |       8.82% |      99.92% |       0.64% |      71.31% |      15.76% |       2.90%
    mpki                             |        0.42 |        0.00 |        1.58 |        2.64 |        0.35 |        2.51 |        0.25 |        5.44 |        0.00 |        0.31 |        0.41 |        0.48 |        0.02 |       19.27 |        0.05 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    31480218 |  1030690017 |    31452090 |    41245849 |    41868591 |   152202282 |    60100931 |    44395128 |   413076258 |    46706149 |   171896699 |    41680492 |   634279161 |   146869129 |   258208987 |   692513600
    num cache misses                 |       59578 |     9715048 |       35267 |       33261 |        7090 |       83937 |      398825 |      970771 |       68845 |       69668 |      128310 |      323573 |    20979544 |      618353 |      755089 |    14276734
    miss rate                        |       0.19% |       0.94% |       0.11% |       0.08% |       0.02% |       0.06% |       0.66% |       2.19% |       0.02% |       0.15% |       0.07% |       0.78% |       3.31% |       0.42% |       0.29% |       2.06%
    mpki                             |        0.16 |        1.55 |        0.13 |        0.09 |        0.03 |        0.07 |        0.63 |        3.83 |        0.02 |        0.12 |        0.09 |        0.69 |        4.85 |        0.48 |        0.33 |        3.09
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   102472068 |  2048487411 |    93183522 |   138024835 |    75636447 |   586322876 |   210316074 |   118072604 |  1319539378 |   269545711 |   651782290 |   128081708 |  2076016974 |   959193978 |  1083049479 |  1801817167
    num cache misses                 |     5486567 |       74295 |    11084295 |    10616484 |     5663675 |     9058696 |    12182147 |     6751403 |    35030346 |    13364100 |    21556623 |    24016175 |    69943165 |    10561306 |     6661347 |    24446747
    miss rate                        |       5.35% |       0.00% |      11.90% |       7.69% |       7.49% |       1.55% |       5.79% |       5.72% |       2.65% |       4.96% |       3.31% |      18.75% |       3.37% |       1.10% |       0.62% |       1.36%
    mpki                             |       14.74 |        0.01 |       41.13 |       28.36 |       22.65 |        7.10 |       19.31 |       26.64 |        8.09 |       22.24 |       14.72 |       50.92 |       16.16 |        8.24 |        2.89 |        5.30
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
