                                   | Core 0    
  Instructions                     |   99999931
  Cycles                           |  100475902
  IPC                              |       1.00
  Time (ns)                        |   33491968
Branch predictor stats             |           
  num correct                      |    1021249
  num incorrect                    |     248524
  misprediction rate               |     19.57%
  mpki                             |       2.49
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    9191444
    num misses                     |         49
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   51375935
    num misses                     |      62534
    miss rate                      |      0.12%
    mpki                           |       0.63
  L2 TLB                           |           
    num accesses                   |      62583
    num misses                     |       1646
    miss rate                      |      2.63%
    mpki                           |       0.02
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    9191444
    num cache misses               |      19223
    miss rate                      |      0.21%
    mpki                           |       0.19
  Cache L1-D                       |           
    num cache accesses             |   51375935
    num cache misses               |     705526
    miss rate                      |      1.37%
    mpki                           |       7.06
  Cache L2                         |           
    num cache accesses             |     755428
    num cache misses               |     307871
    miss rate                      |     40.75%
    mpki                           |       3.08
  Cache L3                         |           
    num cache accesses             |     338650
    num cache misses               |     264685
    miss rate                      |     78.16%
    mpki                           |       2.65
DRAM summary                       |           
  num dram accesses                |     512986
  average dram access latency (ns) |      51.41
  average dram queueing delay      |       1.41
Coherency Traffic                  |           
  num loads from dram              |     192618
  num loads from dram cache        |          0
  num loads from remote cache      |          0
