                                     | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7       | Core 8       | Core 9       | Core 10      | Core 11      | Core 12      | Core 13      | Core 14      | Core 15     
  Instructions                       |   2166672051 |  20602940734 |   7041238487 |   3483381126 |   1783945909 |    249999989 |   6407414118 |   2601691026 |    926929355 |   1427912245 |   9919445434 |    823972130 |   1419586253 |   1376138439 |   4381550954 |   2252522441
  Cycles                             |  11062147955 |  11062147552 |  11062147686 |  11062149323 |  11062147990 |  11062130040 |  11062148850 |  11062147759 |  11062148719 |  11062148892 |  11062148309 |  11062149241 |  11062147978 |  11062148114 |  11062147912 |  11062148370
  IPC                                |         0.20 |         1.86 |         0.64 |         0.31 |         0.16 |         0.02 |         0.58 |         0.24 |         0.08 |         0.13 |         0.90 |         0.07 |         0.13 |         0.12 |         0.40 |         0.20
  Time (ns)                          |   3687382652 |   3687382518 |   3687382562 |   3687383108 |   3687382664 |   3687376680 |   3687382950 |   3687382587 |   3687382907 |   3687382964 |   3687382770 |   3687383081 |   3687382660 |   3687382705 |   3687382638 |   3687382790
Branch predictor stats               |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  num correct                        |     70747306 |    948776746 |   1076290050 |     80286440 |    108444802 |     43244780 |   1182492068 |     49608694 |    151859285 |    113260252 |   1076185391 |    113366562 |    215351772 |     26553260 |      5704751 |    139636478
  num incorrect                      |     33366859 |      7894900 |    275945473 |      1432030 |     65256776 |     11689069 |     80668412 |      7490609 |      9444059 |      9280702 |    164234270 |     15535460 |     46811420 |     36583162 |        96678 |      4774770
  misprediction rate                 |       32.05% |        0.83% |       20.41% |        1.75% |       37.57% |       21.28% |        6.39% |       13.12% |        5.85% |        7.57% |       13.24% |       12.05% |       17.86% |       57.94% |        1.67% |        3.31%
  mpki                               |        15.40 |         0.38 |        39.19 |         0.41 |        36.58 |        46.76 |        12.59 |         2.88 |        10.19 |         6.50 |        16.56 |        18.85 |        32.98 |        26.58 |         0.02 |         2.12
TLB Summary                          |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  I-TLB                              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |    169126103 |   1576217491 |    916076685 |    311360690 |    212931383 |     23761816 |   1050655470 |    248015023 |    155444933 |    119280639 |   1168711253 |    144379211 |    196164644 |    151531668 |    501898202 |    213833911
    num misses                       |            3 |           43 |           19 |            4 |           10 |            3 |           39 |           98 |            4 |           42 |           10 |          100 |          312 |           14 |            6 |           22
    miss rate                        |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                             |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |    951666849 |  11855615351 |   2370224876 |   1368712468 |    820228823 |     88558906 |   2088167520 |   1318432512 |    281220958 |    393219360 |   4456567399 |    384028095 |    551355351 |    513003894 |   3277584637 |    746052219
    num misses                       |       979797 |      1598447 |     10496555 |       730490 |      5642322 |     21160056 |           23 |      2985249 |       331904 |      1933015 |     44742814 |     14946528 |      2910605 |      3639480 |    118164306 |      5949694
    miss rate                        |        0.10% |        0.01% |        0.44% |        0.05% |        0.69% |       23.89% |        0.00% |        0.23% |        0.12% |        0.49% |        1.00% |        3.89% |        0.53% |        0.71% |        3.61% |        0.80%
    mpki                             |         0.45 |         0.08 |         1.49 |         0.21 |         3.16 |        84.64 |         0.00 |         1.15 |         0.36 |         1.35 |         4.51 |        18.14 |         2.05 |         2.64 |        26.97 |         2.64
  L2 TLB                             |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |       979800 |      1598490 |     10496574 |       730494 |      5642332 |     21160059 |           62 |      2985347 |       331908 |      1933057 |     44742824 |     14946628 |      2910917 |      3639494 |    118164312 |      5949716
    num misses                       |       663433 |       457496 |      2197447 |       380491 |      4485805 |     10898687 |           62 |        41038 |       331908 |       602110 |      3956055 |      4488083 |       265652 |      3639451 |     84270842 |       589536
