                                   | Core 0    
  Instructions                     |  499999987
  Cycles                           |  748580469
  IPC                              |       0.67
  Time (ns)                        |  249526823
Branch predictor stats             |           
  num correct                      |   31054328
  num incorrect                    |   18596704
  misprediction rate               |     37.45%
  mpki                             |      37.19
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   60169693
    num misses                     |         10
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  228459203
    num misses                     |    1651688
    miss rate                      |      0.72%
    mpki                           |       3.30
  L2 TLB                           |           
    num accesses                   |    1651698
    num misses                     |    1295106
    miss rate                      |     78.41%
    mpki                           |       2.59
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   60169693
    num cache misses               |      27681
    miss rate                      |      0.05%
    mpki                           |       0.06
  Cache L1-D                       |           
    num cache accesses             |  228459203
    num cache misses               |    3384072
    miss rate                      |      1.48%
    mpki                           |       6.77
  Cache L2                         |           
    num cache accesses             |    3952682
    num cache misses               |    3212393
    miss rate                      |     81.27%
    mpki                           |       6.42
  Cache L3                         |           
    num cache accesses             |    3798671
    num cache misses               |    2249801
    miss rate                      |     59.23%
    mpki                           |       4.50
DRAM summary                       |           
  num dram accesses                |    3153927
  average dram access latency (ns) |      55.50
  average dram queueing delay      |       0.49
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
