                                   | Core 0    
  Instructions                     |   99999993
  Cycles                           |  421568219
  IPC                              |       0.24
  Time (ns)                        |  140522740
Branch predictor stats             |           
  num correct                      |   23486620
  num incorrect                    |    2600551
  misprediction rate               |      9.97%
  mpki                             |      26.01
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    8410170
    num misses                     |       6937
    miss rate                      |      0.08%
    mpki                           |       0.07
  D-TLB                            |           
    num accesses                   |   34625062
    num misses                     |     562669
    miss rate                      |      1.63%
    mpki                           |       5.63
  L2 TLB                           |           
    num accesses                   |     569606
    num misses                     |     485729
    miss rate                      |     85.27%
    mpki                           |       4.86
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    8410170
    num cache misses               |     157690
    miss rate                      |      1.87%
    mpki                           |       1.58
  Cache L1-D                       |           
    num cache accesses             |   34625062
    num cache misses               |    2988451
    miss rate                      |      8.63%
    mpki                           |      29.88
  Cache L2                         |           
    num cache accesses             |    3154812
    num cache misses               |    3031365
    miss rate                      |     96.09%
    mpki                           |      30.31
  Cache L3                         |           
    num cache accesses             |    3040219
    num cache misses               |    2926269
    miss rate                      |     96.25%
    mpki                           |      29.26
DRAM summary                       |           
  num dram accesses                |    2945893
  average dram access latency (ns) |      73.40
  average dram queueing delay      |       8.38
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
