                                   | Core 0    
  Instructions                     |   99999899
  Cycles                           |  161936824
  IPC                              |       0.62
  Time (ns)                        |   53978941
Branch predictor stats             |           
  num correct                      |    7976092
  num incorrect                    |     656868
  misprediction rate               |      7.61%
  mpki                             |       6.57
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    8296535
    num misses                     |         42
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   27674768
    num misses                     |     135460
    miss rate                      |      0.49%
    mpki                           |       1.35
  L2 TLB                           |           
    num accesses                   |     135502
    num misses                     |      42575
    miss rate                      |     31.42%
    mpki                           |       0.43
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    8296535
    num cache misses               |      46254
    miss rate                      |      0.56%
    mpki                           |       0.46
  Cache L1-D                       |           
    num cache accesses             |   27674768
    num cache misses               |    1671462
    miss rate                      |      6.04%
    mpki                           |      16.71
  Cache L2                         |           
    num cache accesses             |    1738164
    num cache misses               |    1568495
    miss rate                      |     90.24%
    mpki                           |      15.68
  Cache L3                         |           
    num cache accesses             |    1589512
    num cache misses               |    1440423
    miss rate                      |     90.62%
    mpki                           |      14.40
DRAM summary                       |           
  num dram accesses                |    2864462
  average dram access latency (ns) |      51.38
  average dram queueing delay      |       1.38
Coherency Traffic                  |           
  num loads from dram              |    1315057
  num loads from dram cache        |          0
  num loads from remote cache      |          0
