                                   | Core 0    
  Instructions                     |   99999886
  Cycles                           |   64360462
  IPC                              |       1.55
  Time (ns)                        |   21453488
Branch predictor stats             |           
  num correct                      |    5251304
  num incorrect                    |     927634
  misprediction rate               |     15.01%
  mpki                             |       9.28
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   11061074
    num misses                     |         56
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   47995301
    num misses                     |      48668
    miss rate                      |      0.10%
    mpki                           |       0.49
  L2 TLB                           |           
    num accesses                   |      48724
    num misses                     |       5761
    miss rate                      |     11.82%
    mpki                           |       0.06
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   11061074
    num cache misses               |      30673
    miss rate                      |      0.28%
    mpki                           |       0.31
  Cache L1-D                       |           
    num cache accesses             |   47995301
    num cache misses               |     282418
    miss rate                      |      0.59%
    mpki                           |       2.82
  Cache L2                         |           
    num cache accesses             |     313403
    num cache misses               |     226726
    miss rate                      |     72.34%
    mpki                           |       2.27
  Cache L3                         |           
    num cache accesses             |     227093
    num cache misses               |     132680
    miss rate                      |     58.43%
    mpki                           |       1.33
DRAM summary                       |           
  num dram accesses                |     193388
  average dram access latency (ns) |      55.88
  average dram queueing delay      |       0.87
Coherency Traffic                  |           
  num loads from dram              |      77122
  num loads from dram cache        |          0
  num loads from remote cache      |          0
