                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |   847831207 |   249999981 |   440842333 |  2913899562 |  1997931144 |  1087022257 |  3135789583 |  4357940189
  Cycles                             |  3406182667 |  3406178823 |  3406182476 |  3406182209 |  3406182413 |  3406182390 |  3406182168 |  3406182064
  IPC                                |        0.25 |        0.07 |        0.13 |        0.86 |        0.59 |        0.32 |        0.92 |        1.28
  Time (ns)                          |  1135394223 |  1135392941 |  1135394159 |  1135394070 |  1135394138 |  1135394130 |  1135394056 |  1135394022
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |     7688377 |    58565837 |    73187691 |   445605796 |     2604442 |    67112839 |   144396571 |   350463040
  num incorrect                      |       51482 |     6500447 |     4400563 |   114155651 |       44138 |     2206880 |     1199969 |    58863714
  misprediction rate                 |       0.67% |       9.99% |       5.67% |      20.39% |       1.67% |       3.18% |       0.82% |      14.38%
  mpki                               |        0.06 |       26.00 |        9.98 |       39.18 |        0.02 |        2.03 |        0.38 |       13.51
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    74931899 |    21135842 |    74237383 |   379137968 |   228850055 |   103313007 |   239895879 |   638381329
    num misses                       |           3 |       17441 |           4 |          19 |           6 |          22 |          43 |          65
    miss rate                        |       0.00% |       0.08% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.07 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   230819017 |    86633855 |   133742494 |   980813159 |  1494567981 |   359213861 |  1804441167 |  2089409563
    num misses                       |      412084 |     1331686 |      159907 |     4336358 |    53897150 |     3014673 |      242615 |    11655469
    miss rate                        |       0.18% |       1.54% |       0.12% |       0.44% |       3.61% |       0.84% |       0.01% |       0.56%
    mpki                             |        0.49 |        5.33 |        0.36 |        1.49 |       26.98 |        2.77 |        0.08 |        2.67
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      412087 |     1349127 |      159911 |     4336377 |    53897156 |     3014695 |      242658 |    11655534
    num misses                       |      411775 |     1140462 |      159911 |      908491 |    38471956 |      281272 |       70490 |       74231
    miss rate                        |      99.92% |      84.53% |     100.00% |      20.95% |      71.38% |       9.33% |      29.05% |       0.64%
    mpki                             |        0.49 |        4.56 |        0.36 |        0.31 |       19.26 |        0.26 |        0.02 |        0.02
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |    74931899 |    21135842 |    74237383 |   379137968 |   228850055 |   103313007 |   239895879 |   638381329
    num cache misses                 |      582202 |      402900 |       12226 |     1973329 |      962193 |      680525 |      215968 |    21224974
    miss rate                        |       0.78% |       1.91% |       0.02% |       0.52% |       0.42% |       0.66% |       0.09% |       3.32%
    mpki                             |        0.69 |        1.61 |        0.03 |        0.68 |        0.48 |        0.63 |        0.07 |        4.87
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   230819017 |    86633855 |   133742494 |   980813159 |  1494567981 |   359213861 |  1804441167 |  2089409563
    num cache misses                 |    43533752 |     7451761 |    10236859 |     4063928 |    16452123 |    21314775 |    16971388 |    70425246
    miss rate                        |      18.86% |       8.60% |       7.65% |       0.41% |       1.10% |       5.93% |       0.94% |       3.37%
    mpki                             |       51.35 |       29.81 |       23.22 |        1.39 |        8.23 |       19.61 |        5.41 |       16.16
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    44115966 |     7874326 |    13582721 |     6836485 |    17415334 |    23518472 |    17216314 |    91682091
    num cache misses                 |    28670179 |     7525901 |    10249085 |     2763565 |    12165999 |    10178009 |    11887046 |    14492368
    miss rate                        |      64.99% |      95.58% |      75.46% |      40.42% |      69.86% |      43.28% |      69.05% |      15.81%
    mpki                             |       33.82 |       30.10 |       23.25 |        0.95 |        6.09 |        9.36 |        3.79 |        3.33
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    28670191 |     7546134 |    13582721 |     3577096 |    12167283 |    11708244 |    11918009 |    14531289
    num cache misses                 |    26345103 |     7265586 |    10230638 |     1286225 |    10604419 |     5789705 |     7663217 |      710606
    miss rate                        |      91.89% |      96.28% |      75.32% |      35.96% |      87.16% |      49.45% |      64.30% |       4.89%
    mpki                             |       31.07 |       29.06 |       23.21 |        0.44 |        5.31 |        5.33 |        2.44 |        0.16
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |   106954918 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      267.36 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      157.35 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      94.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
