                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      
  Instructions                       |  6338494997 |  1689522884 |   249999989 |  2194867159 |   890291540 |  6459138912 |  5581055294 |  11195726457
  Cycles                             |  6917013609 |  6917014178 |  6917012150 |  6917014231 |  6917013609 |  6917013609 |  6917013624 |   6917013609
  IPC                                |        0.92 |        0.24 |        0.04 |        0.32 |        0.13 |        0.93 |        0.81 |         1.62
  Time (ns)                          |  2305671203 |  2305671393 |  2305670717 |  2305671411 |  2305671203 |  2305671203 |  2305671208 |   2305671203
Branch predictor stats               |             |             |             |             |             |             |             |             
  num correct                        |   361350179 |    15321790 |    43244780 |   117152688 |   122361838 |   297447573 |   841405093 |    746171573
  num incorrect                      |    61121781 |      102598 |    11689069 |     2740601 |    16819029 |     2474877 |    94606164 |    127998365
  misprediction rate                 |      14.47% |       0.67% |      21.28% |       2.29% |      12.08% |       0.83% |      10.11% |       14.64%
  mpki                               |        9.64 |        0.06 |       46.76 |        1.25 |       18.89 |        0.38 |       16.95 |        11.43
TLB Summary                          |             |             |             |             |             |             |             |             
  I-TLB                              |             |             |             |             |             |             |             |             
    num accesses                     |   712342334 |   149321193 |    23761816 |   218649520 |   155955615 |   494153897 |   893697848 |   1358504459
    num misses                       |          56 |           3 |           3 |          47 |         105 |          43 |       32913 |           18
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |         0.00
  D-TLB                              |             |             |             |             |             |             |             |             
    num accesses                     |  2978276009 |   459976254 |    88558906 |   764105229 |   414866071 |  3716801142 |  2248872905 |   4720745274
    num misses                       |     1925255 |      821214 |    21159700 |     1164033 |    16140575 |      501002 |    12600481 |     33515020
    miss rate                        |       0.06% |       0.18% |      23.89% |       0.15% |       3.89% |       0.01% |       0.56% |        0.71%
    mpki                             |        0.30 |        0.49 |       84.64 |        0.53 |       18.13 |        0.08 |        2.26 |         2.99
  L2 TLB                             |             |             |             |             |             |             |             |             
    num accesses                     |     1925311 |      821217 |    21159703 |     1164080 |    16140680 |      501045 |    12633394 |     33515038
    num misses                       |      303208 |      820593 |    10898458 |      361250 |     4829691 |      143798 |     1799310 |       256051
    miss rate                        |      15.75% |      99.92% |      51.51% |      31.03% |      29.92% |      28.70% |      14.24% |        0.76%
    mpki                             |        0.05 |        0.49 |       43.59 |        0.16 |        5.42 |        0.02 |        0.32 |         0.02
Cache Summary                        |             |             |             |             |             |             |             |             
  Cache L1-I                         |             |             |             |             |             |             |             |             
    num cache accesses               |   712342334 |   149321193 |    23761816 |   218649520 |   155955615 |   494153897 |   893697848 |   1358504459
    num cache misses                 |     2073370 |     1160161 |      190202 |      218088 |     3405278 |      447349 |    17079014 |     11908640
    miss rate                        |       0.29% |       0.78% |       0.80% |       0.10% |       2.18% |       0.09% |       1.91% |        0.88%
    mpki                             |        0.33 |        0.69 |        0.76 |        0.10 |        3.82 |        0.07 |        3.06 |         1.06
  Cache L1-D                         |             |             |             |             |             |             |             |             
    num cache accesses               |  2978276009 |   459976254 |    88558906 |   764105229 |   414866071 |  3716801142 |  2248872905 |   4720745274
    num cache misses                 |    18279285 |    86758442 |    28760561 |    26926229 |    23664772 |    34957019 |    21127558 |     22545500
    miss rate                        |       0.61% |      18.86% |      32.48% |       3.52% |       5.70% |       0.94% |       0.94% |        0.48%
    mpki                             |        2.88 |       51.35 |      115.04 |       12.27 |       26.58 |        5.41 |        3.79 |         2.01
  Cache L2                           |             |             |             |             |             |             |             |             
    num cache accesses               |    20375186 |    87918623 |    32671024 |    31191633 |    31893459 |    35462306 |    38960859 |     34640911
    num cache misses                 |    14319527 |    57136081 |    24336401 |    21932351 |    23252051 |    24484442 |    20512959 |      3910021
    miss rate                        |      70.28% |      64.99% |      74.49% |      70.31% |      72.91% |      69.04% |      52.65% |       11.29%
    mpki                             |        2.26 |       33.82 |       97.35 |        9.99 |       26.12 |        3.79 |        3.68 |         0.35
  Cache L3                           |             |             |             |             |             |             |             |             
    num cache accesses               |    14344264 |    57136101 |    28082082 |    26043056 |    28083529 |    24546435 |    21270143 |      4101301
    num cache misses                 |     9130336 |    52502434 |    17790356 |    19434463 |    16281375 |    15843701 |     6585006 |      1267577
    miss rate                        |      63.65% |      91.89% |      63.35% |      74.62% |      57.97% |      64.55% |      30.96% |       30.91%
    mpki                             |        1.44 |       31.08 |       71.16 |        8.85 |       18.29 |        2.45 |        1.18 |         0.11
DRAM summary                         |             |             |             |             |             |             |             |             
  num dram accesses                  |   218444778 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  average dram access latency (ns)   |      264.17 |         inf |         inf |         inf |         inf |         inf |         inf |          inf
  average dram queueing delay        |      154.16 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |         0.00
  average dram bandwidth utilization |      94.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
