                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1046687156 |   249999981 |   449216633 |  2262439210 |  1809626998 |  1012640177 |  2383500017 |  2739672612
  Cycles                             |  3386807132 |  3386804014 |  3386808095 |  3386806800 |  3386807053 |  3386808300 |  3386808316 |  3386806800
  IPC                                |        0.31 |        0.07 |        0.13 |        0.67 |        0.53 |        0.30 |        0.70 |        0.81
  Time (ns)                          |  1128935711 |  1128934671 |  1128936032 |  1128935600 |  1128935684 |  1128936100 |  1128936105 |  1128935600
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |     9502016 |    58565837 |    74573996 |   345765242 |     2355752 |    62741575 |   109754185 |   220283364
  num incorrect                      |       63648 |     6500447 |     4515863 |    88686445 |       39923 |     2132122 |      911795 |    37007913
  misprediction rate                 |       0.67% |       9.99% |       5.71% |      20.41% |       1.67% |       3.29% |       0.82% |      14.38%
  mpki                               |        0.06 |       26.00 |       10.05 |       39.20 |        0.02 |        2.11 |        0.38 |       13.51
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    92507635 |    21135842 |    75738993 |   294362029 |   207290355 |    96149451 |   182343507 |   401314307
    num misses                       |           3 |       17441 |           4 |          19 |           6 |          22 |          43 |          65
    miss rate                        |       0.00% |       0.08% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.07 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   285099408 |    86633855 |   136052585 |   761561607 |  1353673569 |   335267897 |  1371546099 |  1313508100
    num misses                       |      509604 |     1331683 |      162843 |     3374268 |    48838023 |     2694113 |      184210 |     7325470
    miss rate                        |       0.18% |       1.54% |       0.12% |       0.44% |       3.61% |       0.80% |       0.01% |       0.56%
    mpki                             |        0.49 |        5.33 |        0.36 |        1.49 |       26.99 |        2.66 |        0.08 |        2.67
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      509607 |     1349124 |      162847 |     3374287 |    48838029 |     2694135 |      184253 |     7325535
    num misses                       |      509223 |     1140471 |      162847 |      706383 |    34864935 |      264797 |       53784 |       46767
    miss rate                        |      99.92% |      84.53% |     100.00% |      20.93% |      71.39% |       9.83% |      29.19% |       0.64%
    mpki                             |        0.49 |        4.56 |        0.36 |        0.31 |       19.27 |        0.26 |        0.02 |        0.02
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |    92507635 |    21135842 |    75738993 |   294362029 |   207290355 |    96149451 |   182343507 |   401314307
    num cache misses                 |      146009 |      430425 |        8772 |     1702368 |      530078 |      267529 |      156031 |    12412560
    miss rate                        |       0.16% |       2.04% |       0.01% |       0.58% |       0.26% |       0.28% |       0.09% |       3.09%
    mpki                             |        0.14 |        1.72 |        0.02 |        0.75 |        0.29 |        0.26 |        0.07 |        4.53
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   285099408 |    86633855 |   136052585 |   761561607 |  1353673569 |   335267897 |  1371546099 |  1313508100
    num cache misses                 |    53763040 |     7469280 |    10430505 |     3521480 |    15041950 |    19380714 |    12934743 |    43883514
    miss rate                        |      18.86% |       8.62% |       7.67% |       0.46% |       1.11% |       5.78% |       0.94% |       3.34%
    mpki                             |       51.36 |       29.88 |       23.22 |        1.56 |        8.31 |       19.14 |        5.43 |       16.02
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    53909063 |     7927538 |    13820305 |     5999110 |    15622428 |    21220545 |    13187241 |    56452553
    num cache misses                 |    32743987 |     7510166 |    10439277 |     2530301 |    10741675 |     6672527 |     8248014 |     3019128
    miss rate                        |      60.74% |      94.74% |      75.54% |      42.18% |      68.76% |      31.44% |      62.55% |       5.35%
    mpki                             |       31.28 |       30.04 |       23.24 |        1.12 |        5.94 |        6.59 |        3.46 |        1.10
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    32744001 |     7539040 |    13820305 |     3324719 |    10792359 |     8287989 |     8358369 |     3196634
    num cache misses                 |    24418155 |     7481350 |    10436213 |     2504135 |    10575276 |     6578866 |     8082560 |     2993571
    miss rate                        |      74.57% |      99.23% |      75.51% |      75.32% |      97.99% |      79.38% |      96.70% |      93.65%
    mpki                             |       23.33 |       29.93 |       23.23 |        1.11 |        5.84 |        6.50 |        3.39 |        1.09
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |   106302065 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      258.48 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      148.47 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      94.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
