                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  2855275155 |  3694288544 |  2247118946 |   463673471 |  1130708017 |  8694848354 |  3926956290 |  6896684269 |  1742035661 |   249999981 |  6985582366 |   663763622 |  4285341059 |  9829170789 |   851985827 |  1962784802
  Cycles                             |  5371282093 |  5371281648 |  5371281945 |  5371282983 |  5371282196 |  5371281180 |  5371281180 |  5371281210 |  5371281402 |  5371278988 |  5371281180 |  5371281197 |  5371282109 |  5371281187 |  5371281563 |  5371282625
  IPC                                |        0.53 |        0.69 |        0.42 |        0.09 |        0.21 |        1.62 |        0.73 |        1.28 |        0.32 |        0.05 |        1.30 |        0.12 |        0.80 |        1.83 |        0.16 |        0.37
  Time (ns)                          |  1790427365 |  1790427216 |  1790427315 |  1790427661 |  1790427399 |  1790427060 |  1790427060 |  1790427070 |  1790427134 |  1790426330 |  1790427060 |  1790427066 |  1790427370 |  1790427063 |  1790427188 |  1790427542
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   309252255 |   196726778 |   136615206 |    63763799 |    60879161 |   579560056 |   505256600 |   554642324 |    40153089 |    58565837 |   308535564 |    12403147 |   197346497 |  1813978869 |     7725466 |   297970369
  num incorrect                      |    47142413 |   141208354 |    82207515 |     8768093 |     1424049 |    99392346 |   118111779 |    93155832 |      716195 |     6500447 |    17507204 |    17248583 |     1642527 |   123747663 |       51730 |    64605859
  misprediction rate                 |      13.23% |      41.79% |      37.57% |      12.09% |       2.29% |      14.64% |      18.95% |      14.38% |       1.75% |       9.99% |       5.37% |      58.17% |       0.83% |       6.39% |       0.67% |      17.82%
  mpki                               |       16.51 |       38.22 |       36.58 |       18.91 |        1.26 |       11.43 |       30.08 |       13.51 |        0.41 |       26.00 |        2.51 |       25.99 |        0.38 |       12.59 |        0.06 |       32.92
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   335998874 |   299101225 |   268248813 |    81216045 |   113387670 |  1055023929 |   550766693 |  1010309051 |   155709190 |    21135842 |   665235300 |    72218227 |   327853245 |  1611737418 |    75298998 |   271346927
