                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  2396323270 |  3643195224 |  1891415661 |   458097120 |  1161854563 |  7914349734 |  3095798405 |  5739889583 |  1739285960 |   249999981 |  6389202877 |   689210701 |  3702369878 |  9538394619 |  1156232196 |  1861425250
  Cycles                             |  5408076890 |  5408076449 |  5408076600 |  5408076600 |  5408076992 |  5408076337 |  5408077301 |  5408076421 |  5408076905 |  5408071574 |  5408076339 |  5408076450 |  5408077079 |  5408076344 |  5408076853 |  5408076669
  IPC                                |        0.44 |        0.67 |        0.35 |        0.08 |        0.21 |        1.46 |        0.57 |        1.06 |        0.32 |        0.05 |        1.18 |        0.13 |        0.68 |        1.76 |        0.21 |        0.34
  Time (ns)                          |  1802692297 |  1802692150 |  1802692200 |  1802692200 |  1802692331 |  1802692113 |  1802692434 |  1802692141 |  1802692302 |  1802690525 |  1802692113 |  1802692150 |  1802692360 |  1802692115 |  1802692285 |  1802692223
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   259862122 |   195101488 |   114957691 |    62979130 |    62105563 |   527543766 |   398870172 |   461531098 |    40075687 |    58565837 |   281430184 |    12687790 |   170487227 |  1760315880 |    10481949 |   283256683
  num incorrect                      |    39660744 |   138791233 |    69176449 |     8663576 |     1452969 |    90455400 |    93091300 |    77539416 |      714765 |     6500447 |    15978300 |    17704012 |     1417106 |   120086966 |       70180 |    60937083
  misprediction rate                 |      13.24% |      41.57% |      37.57% |      12.09% |       2.29% |      14.64% |      18.92% |      14.38% |       1.75% |       9.99% |       5.37% |      58.25% |       0.82% |       6.39% |       0.67% |      17.70%
  mpki                               |       16.55 |       38.10 |       36.57 |       18.91 |        1.25 |       11.43 |       30.07 |       13.51 |        0.41 |       26.00 |        2.50 |       25.69 |        0.38 |       12.59 |        0.06 |       32.74
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   282005487 |   295992689 |   225704715 |    80235145 |   116051866 |   960242550 |   434082334 |   840790161 |   155478029 |    21135842 |   609075406 |    74438439 |   283240957 |  1564058756 |   102188436 |   256850069
    num misses                       |          10 |          52 |          10 |          92 |          47 |          18 |         234 |          65 |           4 |       17441 |           8 |          14 |          43 |          39 |           3 |         369
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.07 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |  1075982356 |  1073023096 |   869756713 |   213480177 |   406015841 |  3336798387 |  1208986236 |  2751973322 |   683459357 |    86633855 |  1945136201 |   250362585 |  2130473486 |  3108550936 |   314737651 |   722407580
    num misses                       |    10941200 |       63471 |     5967812 |     8304397 |      612542 |    23670043 |     2161858 |    15346179 |      364709 |     1331681 |      618976 |     1729180 |      286977 |          23 |      561705 |     3836793
    miss rate                        |       1.02% |       0.01% |       0.69% |       3.89% |       0.15% |       0.71% |       0.18% |       0.56% |       0.05% |       1.54% |       0.03% |       0.69% |       0.01% |       0.00% |       0.18% |       0.53%
    mpki                             |        4.57 |        0.02 |        3.16 |       18.13 |        0.53 |        2.99 |        0.70 |        2.67 |        0.21 |        5.33 |        0.10 |        2.51 |        0.08 |        0.00 |        0.49 |        2.06
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    10941210 |       63523 |     5967822 |     8304489 |      612589 |    23670061 |     2162092 |    15346244 |      364713 |     1349122 |      618984 |     1729194 |      287020 |          62 |      561708 |     3837162
    num misses                       |      976037 |       56600 |     4742731 |     2477577 |      191463 |      180622 |      344684 |       97913 |      190018 |     1140468 |       15421 |     1729175 |       82804 |          62 |      561284 |      363405
    miss rate                        |       8.92% |      89.10% |      79.47% |      29.83% |      31.25% |       0.76% |      15.94% |       0.64% |      52.10% |      84.53% |       2.49% |     100.00% |      28.85% |     100.00% |      99.92% |       9.47%
    mpki                             |        0.41 |        0.02 |        2.51 |        5.41 |        0.16 |        0.02 |        0.11 |        0.02 |        0.11 |        4.56 |        0.00 |        2.51 |        0.02 |        0.00 |        0.49 |        0.20
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   282005487 |   295992689 |   225704715 |    80235145 |   116051866 |   960242550 |   434082334 |   840790161 |   155478029 |    21135842 |   609075406 |    74438439 |   283240957 |  1564058756 |   102188436 |   256850069
    num cache misses                 |      107000 |       83057 |       83420 |     1224665 |       71025 |     8081606 |    12770785 |    24963804 |      101567 |      362379 |       63540 |       28846 |      191731 |    14857076 |      328226 |    14795644
    miss rate                        |       0.04% |       0.03% |       0.04% |       1.53% |       0.06% |       0.84% |       2.94% |       2.97% |       0.07% |       1.71% |       0.01% |       0.04% |       0.07% |       0.95% |       0.32% |       5.76%
    mpki                             |        0.04 |        0.02 |        0.04 |        2.67 |        0.06 |        1.02 |        4.13 |        4.35 |        0.06 |        1.45 |        0.01 |        0.04 |        0.05 |        1.56 |        0.28 |        7.95
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
