                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5       | Core 6      | Core 7       | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15     
  Instructions                       |  1497272749 |  7496536087 |  1025385197 |  6795140635 |  3618237824 |  11293021555 |  2167486901 |  13986937496 |  5872805546 |  6164669083 |  6331377831 |  3212072263 |  1177722199 |   249999989 |  6290720277 |  10437038467
  Cycles                             |  7936261217 |  7936261287 |  7936261455 |  7936261200 |  7936260994 |   7936261083 |  7936261081 |   7936260985 |  7936261211 |  7936261065 |  7936261133 |  7936262829 |  7936262624 |  7936250202 |  7936261216 |   7936261353
  IPC                                |        0.19 |        0.94 |        0.13 |        0.86 |        0.46 |         1.42 |        0.27 |         1.76 |        0.74 |        0.78 |        0.80 |        0.40 |        0.15 |        0.03 |        0.79 |         1.32
  Time (ns)                          |  2645420406 |  2645420429 |  2645420485 |  2645420400 |  2645420332 |   2645420361 |  2645420361 |   2645420329 |  2645420404 |  2645420355 |  2645420378 |  2645420943 |  2645420875 |  2645416734 |  2645420406 |   2645420451
Branch predictor stats               |             |             |             |             |             |              |             |              |             |             |             |             |             |             |             |             
  num correct                        |    13589666 |   427213201 |   173930234 |   875722365 |     4715970 |   1001171744 |   133829165 |   2581295207 |   317696715 |   114299440 |   686119815 |   488676868 |    93414986 |    43244780 |   961546844 |    460471827
  num incorrect                      |       90993 |    72257670 |    15982637 |   204216630 |       79920 |    166986814 |     4699313 |    176092224 |   222520567 |    17358271 |   104584620 |   105205126 |     7658395 |    11689069 |   246545011 |     26150856
  misprediction rate                 |       0.67% |      14.47% |       8.42% |      18.91% |       1.67% |       14.29% |       3.39% |        6.39% |      41.19% |      13.18% |      13.23% |      17.71% |       7.58% |      21.28% |      20.41% |        5.37%
  mpki                               |        0.06 |        9.64 |       15.59 |       30.05 |        0.02 |        14.79 |        2.17 |        12.59 |       37.89 |        2.82 |       16.52 |       32.75 |        6.50 |       46.76 |       39.19 |         2.51
TLB Summary                          |             |             |             |             |             |              |             |              |             |             |             |             |             |             |             |             
  I-TLB                              |             |             |             |             |             |              |             |              |             |             |             |             |             |             |             |             
    num accesses                     |   132332781 |   841748828 |   118889199 |   952706453 |   414447563 |   1282411319 |   205963638 |   2293505357 |   479225194 |   586759551 |   745547115 |   443283818 |    98349765 |    23761816 |   818441807 |    994228650
    num misses                       |           3 |          56 |          42 |         398 |           6 |         3791 |          22 |           39 |          52 |         154 |          10 |         584 |          42 |           3 |          19 |            8
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00% |       0.00% |        0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |         0.00 |        0.00 |         0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |         0.00
  D-TLB                              |             |             |             |             |             |              |             |              |             |             |             |             |             |             |             |             
    num accesses                     |   407798291 |  3522757998 |   354946988 |  2652555780 |  2706644404 |   4721837959 |   721116634 |   4558314203 |  1732883991 |  3132643628 |  2845668567 |  1246577262 |   324360285 |    88558906 |  2117569998 |   3174549862
    num misses                       |      728732 |     2274509 |     5976537 |     4771842 |    97697741 |      2480934 |     5764964 |           23 |      104051 |     6983211 |    28698061 |     6618313 |     1596345 |    21159679 |     9377277 |      1018003
    miss rate                        |       0.18% |       0.06% |       1.68% |       0.18% |       3.61% |        0.05% |       0.80% |        0.00% |       0.01% |       0.22% |       1.01% |       0.53% |       0.49% |      23.89% |       0.44% |        0.03%
    mpki                             |        0.49 |        0.30 |        5.83 |        0.70 |       27.00 |         0.22 |        2.66 |         0.00 |        0.02 |        1.13 |        4.53 |        2.06 |        1.36 |       84.64 |        1.49 |         0.10
  L2 TLB                             |             |             |             |             |             |              |             |              |             |             |             |             |             |             |             |             
    num accesses                     |      728735 |     2274565 |     5976579 |     4772240 |    97697747 |      2484725 |     5764986 |           62 |      104103 |     6983365 |    28698071 |     6618897 |     1596387 |    21159682 |     9377296 |      1018011
    num misses                       |      728183 |      358599 |     1636479 |      759172 |    69792684 |        78361 |      557063 |           62 |       92815 |       95248 |     2542061 |      627813 |      497394 |    10898283 |     1963162 |        25180
    miss rate                        |      99.92% |      15.77% |      27.38% |      15.91% |      71.44% |        3.15% |       9.66% |      100.00% |      89.16% |       1.36% |       8.86% |       9.49% |      31.16% |      51.50% |      20.94% |        2.47%
    mpki                             |        0.49 |        0.05 |        1.60 |        0.11 |       19.29 |         0.01 |        0.26 |         0.00 |        0.02 |        0.02 |        0.40 |        0.20 |        0.42 |       43.59 |        0.31 |         0.00
Cache Summary                        |             |             |             |             |             |              |             |              |             |             |             |             |             |             |             |             
  Cache L1-I                         |             |             |             |             |             |              |             |              |             |             |             |             |             |             |             |             
    num cache accesses               |   132332781 |   841748828 |   118889199 |   952706453 |   414447563 |   1282411319 |   205963638 |   2293505357 |   479225194 |   586759551 |   745547115 |   443283818 |    98349765 |    23761816 |   818441807 |    994228650
    num cache misses                 |     1028287 |     2458786 |      133940 |    29572186 |     1913627 |     17543823 |     1344299 |     21811100 |       79148 |     1058218 |      546810 |    25836585 |      191642 |      190054 |     4346038 |       165230
    miss rate                        |       0.78% |       0.29% |       0.11% |       3.10% |       0.46% |        1.37% |       0.65% |        0.95% |       0.02% |       0.18% |       0.07% |       5.83% |       0.19% |       0.80% |       0.53% |        0.02%
    mpki                             |        0.69 |        0.33 |        0.13 |        4.35 |        0.53 |         1.55 |        0.62 |         1.56 |        0.01 |        0.17 |        0.09 |        8.04 |        0.16 |        0.76 |        0.69 |         0.02
  Cache L1-D                         |             |             |             |             |             |              |             |              |             |             |             |             |             |             |             |             
    num cache accesses               |   407798291 |  3522757998 |   354946988 |  2652555780 |  2706644404 |   4721837959 |   721116634 |   4558314203 |  1732883991 |  3132643628 |  2845668567 |  1246577262 |   324360285 |    88558906 |  2117569998 |   3174549862
    num cache misses                 |    76986415 |    21625898 |    41581531 |    33172760 |    30082655 |     43764315 |    41229268 |       620781 |     6246551 |    48079463 |    91214421 |    28599479 |    17415894 |    28754886 |     8900508 |     84502775
    miss rate                        |      18.88% |       0.61% |      11.71% |       1.25% |       1.11% |        0.93% |       5.72% |        0.01% |       0.36% |       1.53% |       3.21% |       2.29% |       5.37% |      32.47% |       0.42% |        2.66%
    mpki                             |       51.42 |        2.88 |       40.55 |        4.88 |        8.31 |         3.88 |       19.02 |         0.04 |        1.06 |        7.80 |       14.41 |        8.90 |       14.79 |      115.02 |        1.41 |         8.10
  Cache L2                           |             |             |             |             |             |              |             |              |             |             |             |             |             |             |             |             
    num cache accesses               |    78014724 |    24109582 |    45355123 |    63975003 |    32012275 |     61349123 |    45654572 |     22569862 |     6415465 |    49653851 |    92590959 |    55746197 |    17784976 |    32610194 |    14958636 |     85027426
    num cache misses                 |    50704153 |    16932430 |    36829196 |    28453947 |    22555369 |     24314704 |    20011635 |      1063313 |     6078675 |    25672332 |    64342963 |    27837353 |    16329382 |    24336094 |     6119387 |      3151298
    miss rate                        |      64.99% |      70.23% |      81.20% |      44.48% |      70.46% |       39.63% |      43.83% |        4.71% |      94.75% |      51.70% |      69.49% |      49.94% |      91.82% |      74.63% |      40.91% |        3.71%
    mpki                             |       33.86 |        2.26 |       35.92 |        4.19 |        6.23 |         2.15 |        9.23 |         0.08 |        1.04 |        4.16 |       10.16 |        8.67 |       13.87 |       97.34 |        0.97 |         0.30
  Cache L3                           |             |             |             |             |             |              |             |              |             |             |             |             |             |             |             |             
    num cache accesses               |    50704175 |    16959544 |    40470474 |    29688112 |    22571880 |     24355990 |    23107083 |      1201295 |     6171023 |    26188907 |    65219930 |    29148769 |    16507216 |    28026318 |     7860419 |      3514467
    num cache misses                 |    46594927 |     7303507 |    20884555 |     3005743 |    19501505 |       969433 |    10933754 |       975773 |     6031335 |     4181109 |     7119820 |     7348938 |    14634032 |    16636381 |     2806944 |      2066369
    miss rate                        |      91.90% |      43.06% |      51.60% |      10.12% |      86.40% |        3.98% |      47.32% |       81.23% |      97.74% |      15.97% |      10.92% |      25.21% |      88.65% |      59.36% |      35.71% |       58.80%
    mpki                             |       31.12 |        0.97 |       20.37 |        0.44 |        5.39 |         0.09 |        5.04 |         0.07 |        1.03 |        0.68 |        1.12 |        2.29 |       12.43 |       66.55 |        0.45 |         0.20
DRAM summary                         |             |             |             |             |             |              |             |              |             |             |             |             |             |             |             |             
  num dram accesses                  |   252067702 |           0 |           0 |           0 |           0 |            0 |           0 |            0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  average dram access latency (ns)   |      354.14 |         inf |         inf |         inf |         inf |          inf |         inf |          inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |          inf
  average dram queueing delay        |      244.13 |        0.00 |        0.00 |        0.00 |        0.00 |         0.00 |        0.00 |         0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |         0.00
  average dram bandwidth utilization |      95.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00% |       0.00% |        0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00%
Coherency Traffic                    |             |             |             |             |             |              |             |              |             |             |             |             |             |             |             |             
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |            0 |           0 |            0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |            0 |           0 |            0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |            0 |           0 |            0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
