                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      
  Instructions                       |  6076636255 |  1599713604 |   249999989 |  2116126948 |   866567008 |  6015751703 |  5399337141 |  10711685404
  Cycles                             |  6658702473 |  6658702765 |  6658698488 |  6658702616 |  6658703080 |  6658702357 |  6658702900 |   6658702874
  IPC                                |        0.91 |        0.24 |        0.04 |        0.32 |        0.13 |        0.90 |        0.81 |         1.61
  Time (ns)                          |  2219567491 |  2219567588 |  2219566163 |  2219567539 |  2219567693 |  2219567452 |  2219567633 |   2219567625
Branch predictor stats               |             |             |             |             |             |             |             |             
  num correct                        |   346220558 |    14518419 |    43244780 |   113079302 |   119130054 |   277030187 |   814365340 |    713801132
  num incorrect                      |    58598520 |       97242 |    11689069 |     2645718 |    16368806 |     2305639 |    91470372 |    122476201
  misprediction rate                 |      14.48% |       0.67% |      21.28% |       2.29% |      12.08% |       0.83% |      10.10% |       14.65%
  mpki                               |        9.64 |        0.06 |       46.76 |        1.25 |       18.89 |        0.38 |       16.94 |        11.43
TLB Summary                          |             |             |             |             |             |             |             |             
  I-TLB                              |             |             |             |             |             |             |             |             
    num accesses                     |   682662929 |   141384506 |    23761816 |   211110749 |   151837651 |   460233970 |   864395614 |   1299800079
    num misses                       |          56 |           3 |           3 |          47 |         105 |          43 |       31466 |           18
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |         0.00
  D-TLB                              |             |             |             |             |             |             |             |             
    num accesses                     |  2855780510 |   435677913 |    88558906 |   735065397 |   403815403 |  3461656818 |  2173761321 |   4516776380
    num misses                       |     1845019 |      778499 |    21159850 |     1136718 |    15722492 |      466369 |    12053458 |     32081127
    miss rate                        |       0.06% |       0.18% |      23.89% |       0.15% |       3.89% |       0.01% |       0.55% |        0.71%
    mpki                             |        0.30 |        0.49 |       84.64 |        0.54 |       18.14 |        0.08 |        2.23 |         2.99
  L2 TLB                             |             |             |             |             |             |             |             |             
    num accesses                     |     1845075 |      778502 |    21159853 |     1136765 |    15722597 |      466412 |    12084924 |     32081145
    num misses                       |      290681 |      777912 |    10898453 |      348903 |     4712827 |      133719 |     1720973 |       245168
    miss rate                        |      15.75% |      99.92% |      51.51% |      30.69% |      29.97% |      28.67% |      14.24% |        0.76%
    mpki                             |        0.05 |        0.49 |       43.59 |        0.16 |        5.44 |        0.02 |        0.32 |         0.02
Cache Summary                        |             |             |             |             |             |             |             |             
  Cache L1-I                         |             |             |             |             |             |             |             |             
    num cache accesses               |   682662929 |   141384506 |    23761816 |   211110749 |   151837651 |   460233970 |   864395614 |   1299800079
    num cache misses                 |     1989239 |     1098646 |      190144 |      209427 |     3319862 |      416986 |    16335512 |     11434644
    miss rate                        |       0.29% |       0.78% |       0.80% |       0.10% |       2.19% |       0.09% |       1.89% |        0.88%
    mpki                             |        0.33 |        0.69 |        0.76 |        0.10 |        3.83 |        0.07 |        3.03 |         1.07
  Cache L1-D                         |             |             |             |             |             |             |             |             
    num cache accesses               |  2855780510 |   435677913 |    88558906 |   735065397 |   403815403 |  3461656818 |  2173761321 |   4516776380
    num cache misses                 |    17529693 |    82244439 |    28760591 |    26025030 |    23062465 |    32567507 |    20214766 |     21613921
    miss rate                        |       0.61% |      18.88% |      32.48% |       3.54% |       5.71% |       0.94% |       0.93% |        0.48%
    mpki                             |        2.88 |       51.41 |      115.04 |       12.30 |       26.61 |        5.41 |        3.74 |         2.02
  Cache L2                           |             |             |             |             |             |             |             |             
    num cache accesses               |    19540990 |    83343105 |    32669061 |    30071258 |    31074789 |    33039464 |    37274569 |     33231596
    num cache misses                 |    13749668 |    54247444 |    24339757 |    21184888 |    22655183 |    22816513 |    19648858 |      3828054
    miss rate                        |      70.36% |      65.09% |      74.50% |      70.45% |      72.91% |      69.06% |      52.71% |       11.52%
    mpki                             |        2.26 |       33.91 |       97.36 |       10.01 |       26.14 |        3.79 |        3.64 |         0.36
  Cache L3                           |             |             |             |             |             |             |             |             
    num cache accesses               |    13773889 |    54247464 |    28083377 |    25079640 |    27355327 |    22875348 |    20376065 |      4015698
    num cache misses                 |     8777859 |    49855512 |    17710652 |    18755617 |    15775321 |    14907790 |     6333189 |      1259045
    miss rate                        |      63.73% |      91.90% |      63.06% |      74.78% |      57.67% |      65.17% |      31.08% |       31.35%
    mpki                             |        1.44 |       31.17 |       70.84 |        8.86 |       18.20 |        2.48 |        1.17 |         0.12
DRAM summary                         |             |             |             |             |             |             |             |             
  num dram accesses                  |   209400374 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  average dram access latency (ns)   |      267.51 |         inf |         inf |         inf |         inf |         inf |         inf |          inf
  average dram queueing delay        |      157.50 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |         0.00
  average dram bandwidth utilization |      94.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
