                                     | Core 0      | Core 1     | Core 2      | Core 3      | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  1240041504 |  571092907 |  1029373602 |  1280388036 |  413471472 |  249999888 |  645201990 |  783393876
  Cycles                             |   745343700 |  745344094 |   745343704 |   745343709 |  745343700 |  745341090 |  745344014 |  745343708
  IPC                                |        1.66 |       0.77 |        1.38 |        1.72 |       0.55 |       0.34 |       0.87 |       1.05
  Time (ns)                          |   248447900 |  248448032 |   248447902 |   248447903 |  248447900 |  248447030 |  248448005 |  248447903
Branch predictor stats               |             |            |             |             |            |            |            |           
  num correct                        |   164425496 |   13025980 |    82775573 |    84976569 |   22194335 |   19818647 |     838898 |  117917464
  num incorrect                      |    16786304 |     230647 |    13911745 |    14636825 |     519155 |    1620730 |      14218 |   13348805
  misprediction rate                 |       9.26% |      1.74% |      14.39% |      14.69% |      2.29% |      7.56% |      1.67% |     10.17%
  mpki                               |       13.54 |       0.40 |       13.51 |       11.43 |       1.26 |       6.48 |       0.02 |      17.04
TLB Summary                          |             |            |             |             |            |            |            |           
  I-TLB                              |             |            |             |             |            |            |            |           
    num accesses                     |   186274964 |   51594095 |   150800126 |   155261448 |   41514606 |   20925725 |   73909973 |  125572281
    num misses                       |         848 |          4 |          65 |          18 |         47 |         42 |          6 |       4945
    miss rate                        |       0.00% |      0.00% |       0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |       0.00 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |             |            |             |             |            |            |            |           
    num accesses                     |   485266672 |  223044220 |   493497687 |   539568181 |  146715679 |   68803936 |  482626864 |  316428353
    num misses                       |      148437 |     112465 |     2756202 |     3813572 |     213034 |     336446 |   17466161 |    1823665
    miss rate                        |       0.03% |      0.05% |       0.56% |       0.71% |      0.15% |      0.49% |      3.62% |      0.58%
    mpki                             |        0.12 |       0.20 |        2.68 |        2.98 |       0.52 |       1.35 |      27.07 |       2.33
  L2 TLB                             |             |            |             |             |            |            |            |           
    num accesses                     |      149285 |     112469 |     2756267 |     3813590 |     213081 |     336488 |   17466167 |    1828610
    num misses                       |        4514 |      61966 |       17632 |       29392 |      69345 |     104711 |   12544200 |     262216
    miss rate                        |       3.02% |     55.10% |       0.64% |       0.77% |     32.54% |     31.12% |     71.82% |     14.34%
    mpki                             |        0.00 |       0.11 |        0.02 |        0.02 |       0.17 |       0.42 |      19.44 |       0.33
Cache Summary                        |             |            |             |             |            |            |            |           
  Cache L1-I                         |             |            |             |             |            |            |            |           
    num cache accesses               |   186274964 |   51594095 |   150800126 |   155261448 |   41514606 |   20925725 |   73909973 |  125572281
    num cache misses                 |     3860253 |      65704 |     5015082 |     1354147 |      42648 |      40041 |     313654 |    2470884
    miss rate                        |       2.07% |      0.13% |       3.33% |       0.87% |      0.10% |      0.19% |      0.42% |      1.97%
    mpki                             |        3.11 |       0.12 |        4.87 |        1.06 |       0.10 |       0.16 |       0.49 |       3.15
  Cache L1-D                         |             |            |             |             |            |            |            |           
    num cache accesses               |   485266672 |  223044220 |   493497687 |   539568181 |  146715679 |   68803936 |  482626864 |  316428353
    num cache misses                 |     6271762 |    5557753 |    16678606 |     2559057 |    5156286 |    3685136 |    5309948 |    3053053
    miss rate                        |       1.29% |      2.49% |       3.38% |       0.47% |      3.51% |      5.36% |      1.10% |      0.96%
    mpki                             |        5.06 |       9.73 |       16.20 |        2.00 |      12.47 |      14.74 |       8.23 |       3.90
  Cache L2                           |             |            |             |             |            |            |            |           
    num cache accesses               |    10180374 |    5623814 |    21700884 |     3934055 |    5871941 |    3755515 |    5623857 |    5628388
    num cache misses                 |      624828 |    4036309 |     3430995 |      447591 |    4212176 |    3453971 |    3949449 |    2982387
    miss rate                        |       6.14% |     71.77% |      15.81% |      11.38% |     71.73% |     91.97% |     70.23% |     52.99%
    mpki                             |        0.50 |       7.07 |        3.33 |        0.35 |      10.19 |      13.82 |       6.12 |       3.81
  Cache L3                           |             |            |             |             |            |            |            |           
    num cache accesses               |      673304 |    4037299 |     3439805 |      468941 |    4896550 |    3484387 |    3949780 |    3087240
    num cache misses                 |      341056 |    3888499 |      163535 |      144302 |    3657021 |    2988023 |    3351994 |     939338
    miss rate                        |      50.65% |     96.31% |       4.75% |      30.77% |     74.69% |     85.75% |     84.87% |     30.43%
    mpki                             |        0.28 |       6.81 |        0.16 |        0.11 |       8.84 |      11.95 |       5.20 |       1.20
DRAM summary                         |             |            |             |             |            |            |            |           
  num dram accesses                  |    19592769 |          0 |           0 |           0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      149.98 |        inf |         inf |         inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       39.97 |       0.00 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      78.00% |      0.00% |       0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |            |             |             |            |            |            |           
  num loads from dram                |           0 |          0 |           0 |           0 |          0 |          0 |          0 |          0
  num loads from dram cache          |           0 |          0 |           0 |           0 |          0 |          0 |          0 |          0
  num loads from remote cache        |           0 |          0 |           0 |           0 |          0 |          0 |          0 |          0
