                                     | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7       | Core 8       | Core 9       | Core 10      | Core 11      | Core 12      | Core 13      | Core 14      | Core 15     
  Instructions                       |   1705739892 |   7657533678 |  15738056106 |   9681011448 |   1340924886 |    249999989 |   2264218348 |    850307705 |   5965553138 |   3424328744 |   3405450309 |   6022780274 |  13944731275 |   7163060477 |  11362440183 |    484340370
  Cycles                             |  11152819273 |  11152818608 |  11152818600 |  11152818600 |  11152820352 |  11152801313 |  11152818678 |  11152820148 |  11152819323 |  11152818600 |  11152818982 |  11152819498 |  11152818605 |  11152818609 |  11152818600 |  11152820794
  IPC                                |         0.15 |         0.69 |         1.41 |         0.87 |         0.12 |         0.02 |         0.20 |         0.08 |         0.53 |         0.31 |         0.31 |         0.54 |         1.25 |         0.64 |         1.02 |         0.04
  Time (ns)                          |   3717606424 |   3717606203 |   3717606200 |   3717606200 |   3717606784 |   3717600438 |   3717606226 |   3717606716 |   3717606441 |   3717606200 |   3717606327 |   3717606499 |   3717606202 |   3717606203 |   3717606200 |   3717606931
Branch predictor stats               |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  num correct                        |     15466893 |   1170809278 |   1247652322 |    857227080 |     26161633 |     43244780 |    121283732 |    116956792 |    647884299 |     78621706 |    518630168 |    908294721 |    929346015 |    387092686 |    500881074 |    113460219
  num incorrect                      |       103564 |    300002842 |    102028014 |    142961948 |     35956559 |     11689069 |      2837066 |     16061962 |     98849837 |      1401283 |    111282085 |    102127557 |    159439441 |    271565927 |     28446032 |     12609414
  misprediction rate                 |        0.67% |       20.40% |        7.56% |       14.29% |       57.88% |       21.28% |        2.29% |       12.07% |       13.24% |        1.75% |       17.67% |       10.11% |       14.64% |       41.23% |        5.37% |       10.00%
  mpki                               |         0.06 |        39.18 |         6.48 |        14.77 |        26.81 |        46.76 |         1.25 |        18.89 |        16.57 |         0.41 |        32.68 |        16.96 |        11.43 |        37.91 |         2.50 |        26.03
TLB Summary                          |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  I-TLB                              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |    150754361 |    996263863 |   1317333188 |   1099020167 |    148476988 |     23761816 |    225824063 |    149015348 |    702254965 |    306396282 |    469505991 |    964326063 |   1692095892 |    584246115 |   1082741151 |     40963400
    num misses                       |            3 |           19 |           42 |         3266 |           14 |            3 |           47 |          101 |           10 |            4 |          616 |        34963 |           18 |           52 |            8 |        33448
    miss rate                        |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.08%
    mpki                             |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.01 |         0.00 |         0.00 |         0.00 |         0.07
  D-TLB                              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |    464364433 |   2577665192 |   4331425485 |   4048541467 |    502697711 |     88558906 |    784672225 |    396229414 |   2675124236 |   1346710627 |   1321259635 |   2425796585 |   5880013197 |   2113205246 |   3457646242 |    167813130
    num misses                       |       828929 |     11405107 |     21168824 |      2138470 |      3563724 |     21159721 |      1217492 |     15433255 |     26940832 |       714159 |      7002944 |     13534000 |     41761283 |       126597 |      1098156 |      2571221
    miss rate                        |        0.18% |        0.44% |        0.49% |        0.05% |        0.71% |       23.89% |        0.16% |        3.90% |        1.01% |        0.05% |        0.53% |        0.56% |        0.71% |        0.01% |        0.03% |        1.53%
    mpki                             |         0.49 |         1.49 |         1.35 |         0.22 |         2.66 |        84.64 |         0.54 |        18.15 |         4.52 |         0.21 |         2.06 |         2.25 |         2.99 |         0.02 |         0.10 |         5.31
  L2 TLB                             |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |       828932 |     11405126 |     21168866 |      2141736 |      3563738 |     21159724 |      1217539 |     15433356 |     26940842 |       714163 |      7003560 |     13568963 |     41761301 |       126649 |      1098164 |      2604669
    num misses                       |       828303 |      2388864 |      6582048 |        67495 |      3563695 |     10898368 |       372467 |      4630324 |      2376591 |       374860 |       670210 |      1928379 |       319120 |       112936 |        27285 |      2202667
    miss rate                        |       99.92% |       20.95% |       31.09% |        3.15% |      100.00% |       51.51% |       30.59% |       30.00% |        8.82% |       52.49% |        9.57% |       14.21% |        0.76% |       89.17% |        2.48% |       84.57%
    mpki                             |         0.49 |         0.31 |         0.42 |         0.01 |         2.66 |        43.59 |         0.16 |         5.45 |         0.40 |         0.11 |         0.20 |         0.32 |         0.02 |         0.02 |         0.00 |         4.55
Cache Summary                        |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  Cache L1-I                         |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num cache accesses               |    150754361 |    996263863 |   1317333188 |   1099020167 |    148476988 |     23761816 |    225824063 |    149015348 |    702254965 |    306396282 |    469505991 |    964326063 |   1692095892 |    584246115 |   1082741151 |     40963400
    num cache misses                 |      1188124 |      5748836 |      2499390 |     15379974 |       109205 |       201022 |       231373 |      3386249 |       529436 |       462484 |     27754715 |     18457809 |     15671594 |       263707 |       309233 |       787302
    miss rate                        |        0.79% |        0.58% |        0.19% |        1.40% |        0.07% |        0.85% |        0.10% |        2.27% |        0.08% |        0.15% |        5.91% |        1.91% |        0.93% |        0.05% |        0.03% |        1.92%
    mpki                             |         0.70 |         0.75 |         0.16 |         1.59 |         0.08 |         0.80 |         0.10 |         3.98 |         0.09 |         0.14 |         8.15 |         3.06 |         1.12 |         0.04 |         0.03 |         1.63
  Cache L1-D                         |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num cache accesses               |    464364433 |   2577665192 |   4331425485 |   4048541467 |    502697711 |     88558906 |    784672225 |    396229414 |   2675124236 |   1346710627 |   1321259635 |   2425796585 |   5880013197 |   2113205246 |   3457646242 |    167813130
    num cache misses                 |     87577278 |     11140943 |    231694798 |     37957439 |     39176141 |     28810561 |     27762935 |     22756049 |     86396440 |     34856910 |     31090448 |     22834054 |     29134519 |      7982704 |     92408654 |     14458243
    miss rate                        |       18.86% |        0.43% |        5.35% |        0.94% |        7.79% |       32.53% |        3.54% |        5.74% |        3.23% |        2.59% |        2.35% |        0.94% |        0.50% |        0.38% |        2.67% |        8.62%
    mpki                             |        51.34 |         1.45 |        14.72 |         3.92 |        29.22 |       115.24 |        12.26 |        26.76 |        14.48 |        10.18 |         9.13 |         3.79 |         2.09 |         1.11 |         8.13 |        29.85
  Cache L2                           |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num cache accesses               |     88767285 |     19120546 |    234342865 |     53709348 |     44475546 |     32880590 |     32160389 |     31226582 |     87728488 |     35377308 |     60475007 |     42346790 |     45209682 |      8650953 |     93304022 |     15286305
    num cache misses                 |     57714324 |      8276437 |    217227335 |     22093473 |     39285346 |     24587125 |     22734573 |     22502418 |     61100818 |     24756353 |     31140648 |     22497324 |      7109687 |      7973922 |      4777173 |     14618655
    miss rate                        |       65.02% |       43.29% |       92.70% |       41.14% |       88.33% |       74.78% |       70.69% |       72.06% |       69.65% |       69.98% |       51.49% |       53.13% |       15.73% |       92.17% |        5.12% |       95.63%
    mpki                             |        33.84 |         1.08 |        13.80 |         2.28 |        29.30 |        98.35 |        10.04 |        26.46 |        10.24 |         7.23 |         9.14 |         3.74 |         0.51 |         1.11 |         0.42 |        30.18
  Cache L3                           |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num cache accesses               |     57716207 |     10551028 |    217376463 |     22489827 |     44475546 |     28482044 |     27008333 |     27595686 |     61945752 |     24835232 |     32775214 |     23557687 |      7525904 |      8386267 |      5386773 |     14660552
    num cache misses                 |     52883278 |      4419278 |      5319719 |      6645942 |     39172152 |     19513183 |     20244635 |     16972151 |     13126701 |     23746313 |      9199324 |      8614020 |      3361286 |      7919141 |      3910069 |     14187555
    miss rate                        |       91.63% |       41.88% |        2.45% |       29.55% |       88.08% |       68.51% |       74.96% |       61.50% |       21.19% |       95.62% |       28.07% |       36.57% |       44.66% |       94.43% |       72.59% |       96.77%
    mpki                             |        31.00 |         0.58 |         0.34 |         0.69 |        29.21 |        78.05 |         8.94 |        19.96 |         2.20 |         6.93 |         2.70 |         1.43 |         0.24 |         1.11 |         0.34 |        29.29
DRAM summary                         |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  num dram accesses                  |    357146050 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  average dram access latency (ns)   |       437.64 |          inf |          inf |          inf |          inf |          inf |          inf |          inf |          inf |          inf |          inf |          inf |          inf |          inf |          inf |          inf
  average dram queueing delay        |       327.63 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  average dram bandwidth utilization |       96.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
Coherency Traffic                    |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  num loads from dram                |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from dram cache          |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from remote cache        |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
