                                   | Core 0    
  Instructions                     |  499999988
  Cycles                           |  321741904
  IPC                              |       1.55
  Time (ns)                        |  107247301
Branch predictor stats             |           
  num correct                      |   27991202
  num incorrect                    |    4784151
  misprediction rate               |     14.60%
  mpki                             |       9.57
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   55470952
    num misses                     |         56
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  236294951
    num misses                     |     329175
    miss rate                      |      0.14%
    mpki                           |       0.66
  L2 TLB                           |           
    num accesses                   |     329231
    num misses                     |      32373
    miss rate                      |      9.83%
    mpki                           |       0.06
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   55470952
    num cache misses               |     158133
    miss rate                      |      0.29%
    mpki                           |       0.32
  Cache L1-D                       |           
    num cache accesses             |  236294951
    num cache misses               |    1476583
    miss rate                      |      0.62%
    mpki                           |       2.95
  Cache L2                         |           
    num cache accesses             |    1637069
    num cache misses               |    1205984
    miss rate                      |     73.67%
    mpki                           |       2.41
  Cache L3                         |           
    num cache accesses             |    1208606
    num cache misses               |     799240
    miss rate                      |     66.13%
    mpki                           |       1.60
DRAM summary                       |           
  num dram accesses                |    1136780
  average dram access latency (ns) |      50.15
  average dram queueing delay      |       0.15
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
